structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.4161238613528794	-56.95599020377143	C14H11N	[M + H]+	KLLLJCACIRKBDT	InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H	Stabilizer I	C1=CC=C(C=C1)C2=CC3=CC=CC=C3N2	3.67284226	13698;59664083;101143312;134906676;134975896;138396206	NORMAN:(NS00019928);database;PubChem:(13698 59664083 101143312 134906676 134975896 138396206);CHEBI:(113541);additional;MeSH:(13698);PubChem class - safety and toxic;Training Set;PubMed	68787388518
2	1	N/A	-63.09174447996615	C14H11N	[M + H]+	NEWKHUASLBMWRE	InChI=1S/C14H11N/c1-12-6-5-9-14(15-12)11-10-13-7-3-2-4-8-13/h2-9H,1H3	MPEP cation	CC1=NC(=CC=C1)C#CC2=CC=CC=C2	3.29999995	3025961;23644001;54586378;56927824	database;PubChem:(3025961 23644001 54586378 56927824);CHEBI:(64160 64159);additional;PubChem class - bio and metabolites;MeSH:(3025961);PubMed	68736778342
3	1	N/A	-79.7522682108211	C14H11N	[M + H]+	FLDRLXJNISEWNZ	InChI=1S/C14H11N/c1-10-11-6-2-4-8-13(11)15-14-9-5-3-7-12(10)14/h2-9H,1H3	9-Methylakridin	CC1=C2C=CC=CC2=NC3=CC=CC=C13	3.9000001	11913;19816709	NORMAN:(NS00042821);database;PubChem class - safety and toxic;PubChem:(11913 19816709);PubMed;KEGG Mine	77376782402
4	1	N/A	-82.97550201743259	C14H11N	[M + H]+	HVZWBVZEZZJOKQ	InChI=1S/C14H11N/c1-10-6-7-14-12(8-10)9-11-4-2-3-5-13(11)15-14/h2-9H,1H3	2-Methylacridine	CC1=CC2=CC3=CC=CC=C3N=C2C=C1	3.70331478	11938	NORMAN:(NS00034640);COCONUT:(CNP0341160);Natural Products:(UNPD61675);database;PubChem:(11938);KEGG Mine	77311803394
5	1	N/A	-86.81833766456116	C14H11N	[M + H]+	SUHRSZJZYUCLOD	InChI=1S/C14H11N/c1-10-6-8-13-12-5-3-2-4-11(12)7-9-14(13)15-10/h2-9H,1H3	beta-Naphthoquinaldine	CC1=NC2=C(C=C1)C3=CC=CC=C3C=C2	3.70331478	6797	NORMAN:(NS00038751);COCONUT:(CNP0278696);Natural Products:(UNPD149213);database;PubChem class - safety and toxic;PubChem:(6797)	68788977666
6	1	N/A	-117.34222720291045	C14H11N	[M + H]+	KKFHAJHLJHVUDM	InChI=1S/C14H11N/c1-2-15-13-9-5-3-7-11(13)12-8-4-6-10-14(12)15/h2-10H,1H2	Tuvical 210	C=CN1C2=CC=CC=C2C3=CC=CC=C31	3.9000001	15143;16686641	NORMAN:(NS00024857);MeSH:(15143);database;PubChem class - safety and toxic;PubChem:(15143 16686641);PubMed	68786847814
7	1	N/A	-198.1720687672331	C14H11N	[M + H]+	YCSBALJAGZKWFF	InChI=1S/C14H11N/c15-14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H,15H2	2-Anthramine	C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N	3.29755068	11937;60042324;138396043	SuperNatural:(SN00119641);ZINC bio:(ZINC01593346);additional;HSDB:(613-13-8);MeSH:(11937);PubMed;NORMAN:(NS00010865);COCONUT:(CNP0050117);database;PubChem:(11937 60042324 138396043);CHEBI:(34260);KEGG:(C14417);PubChem class - safety and toxic	68790526822
8	1	N/A	-203.1912356401011	C14H11N	[M + H]+	CXZOCEZMGWOOFD	InChI=1S/C14H11N/c15-14-7-3-6-12-11-5-2-1-4-10(11)8-9-13(12)14/h1-9H,15H2	1-Phenanthrenamine	C1=CC=C2C(=C1)C=CC3=C2C=CC=C3N	3.29755068	77838;21546533	COCONUT:(CNP0166844);Natural Products:(UNPD167311);database;PubChem:(77838 21546533);PubMed	68721606722
9	1	N/A	-205.50500970345286	C14H11N	[M + H]+	YUENFNPLGJCNRB	InChI=1S/C14H11N/c15-14-7-3-6-12-8-10-4-1-2-5-11(10)9-13(12)14/h1-9H,15H2	1-Anthramine	C1=CC=C2C=C3C(=CC2=C1)C=CC=C3N	3.29755068	11885	NORMAN:(NS00042792);COCONUT:(CNP0021535);database;PubChem:(11885);CHEBI:(40678);additional;PubChem class - bio and metabolites;MeSH:(11885);PubChem class - safety and toxic;PubMed	68806246502
10	1	N/A	-206.8558321043272	C14H11N	[M + H]+	HUWRJSZODLRHMY	InChI=1S/C14H11N/c15-12-8-7-11-6-5-10-3-1-2-4-13(10)14(11)9-12/h1-9H,15H2	3-Phenanthrenamine	C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)N	3.29755068	74691	COCONUT:(CNP0178919);Natural Products:(UNPD147166);database;PubChem class - safety and toxic;PubChem:(74691);PubMed	68788715586
11	1	N/A	-207.70667271884815	C14H11N	[M + H]+	KIHQWOBUUIPWAN	InChI=1S/C14H11N/c15-14-9-10-5-1-2-6-11(10)12-7-3-4-8-13(12)14/h1-9H,15H2	ACMC-20alvr	C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)N	3.29755068	13695	NORMAN:(NS00042844);COCONUT:(CNP0062592);database;PubChem:(13695);CHEBI:(50475);PubChem class - bio and metabolites;MeSH:(13695);PubChem class - safety and toxic;PubMed	68805722214
12	1	N/A	-212.13480349838204	C14H11N	[M + H]+	LHNICELDCMPPDE	InChI=1S/C14H11N/c15-14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,15H2	9-Anthracenamine	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2N	3.29755068	13069	database;PubChem class - safety and toxic;PubChem:(13069);PubMed;CHEBI:(50472)	68786585698
13	1	N/A	-216.34508279302645	C14H11N	[M + H]+	LCGTWRLJTMHIQZ	InChI=1S/C14H11N/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)15-13/h1-10,15H	Iminostilbene	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2	4.0	9212;21585617;21789822;45039557;138396232	NORMAN:(NS00000328);database;PubChem:(9212 21585617 21789822 45039557 138396232);CHEBI:(47802);additional;PubChem class - bio and metabolites;MeSH:(9212);PubChem class - safety and toxic;PubMed;KEGG Mine	77394083942
14	1	N/A	-217.81762562669513	C14H11N	[M + H]+	QIBWMVSMTSYUSK	InChI=1S/C14H11N/c1-11-2-6-13(7-3-11)14-8-4-12(10-15)5-9-14/h2-9H,1H3	4-Cyano-4''-methylbipheny	CC1=CC=C(C=C1)C2=CC=C(C=C2)C#N	3.5999999	170889	NORMAN:(NS00032117);database;PubChem class - safety and toxic;PubChem:(170889)	68786847746
15	1	N/A	-221.87020776855036	C14H11N	[M + H]+	NEBPTMCRLHKPOB	InChI=1S/C14H11N/c15-11-14(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-10,14H	Dipan	C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2	3.45850015	6837;12207466	NORMAN:(NS00039120);database;PubChem class - safety and toxic;PubChem:(6837 12207466);PubMed	68786847810
16	1	N/A	-222.0507392174438	C14H11N	[M + H]+	YCSOWXPYKGFJBX	InChI=1S/C14H11N/c15-11-14-9-5-4-8-13(14)10-12-6-2-1-3-7-12/h1-9H,10H2	null	C1=CC=C(C=C1)CC2=CC=CC=C2C#N	3.5999999	10856342	COCONUT:(CNP0275325);Natural Products:(UNPD142297);database;PubChem:(10856342)	68721606658
17	1	N/A	-236.7408736924869	C14H11N	[M + H]+	DBMZUEAQDRCJDL	InChI=1S/C14H11N/c15-14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,15H2/q+1	null	[NH2+]c1c2ccccc2cc2ccccc12	0.0	""	""	0
18	1	N/A	-404.9196948128784	C14H11N	[M + H]+	XYNHQVIVVBWVAG	InChI=1S/C14H11N/c1-2-5-11-8-9-14-13(7-4-10-15-14)12(11)6-3-1/h1-10,15H	null	C1=CC=C2C(=CC=C3C2=CC=CN3)C=C1	2.9000001	87079834	MeSH:(87079834);database;PubChem:(87079834);PubMed	68719476806
