structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.23874079334840514	-12.480716624610565	C15H10O6	[M + H]+	IQPNAANSBPBGFQ	InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H	luteolin	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O	1.81215119	5280445;12359024;12359025;25201972	HMDB:(5800);SuperNatural:(SN00024306);ZINC bio:(ZINC18185774);additional;MeSH:(5280445);Plantcyc:(5734-TETRAHYDROXYFLAVONE);PubMed;NORMAN:(NS00015143);COCONUT:(CNP0279503 CNP0303945 CNP0423218);KNApSAcK:(674);Natural Products:(UNPD149880);database;PubChem:(5280445 12359024 12359025 25201972);CHEBI:(15864 57545);PubChem class - bio and metabolites;KEGG:(C01514);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(5734-TETRAHYDROXYFLAVONE)	68841040254
2	1	N/A	-15.410842941295487	C15H10O6	[M + H]+	IYRMWMYZSQPJKC	InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H	Campherol	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	1.78977811	5280863;18661268;25202062;49849755	HMDB:(5801);SuperNatural:(SN00005730);ZINC bio:(ZINC03869768);additional;HSDB:(520-18-3);MeSH:(5280863);Plantcyc:(CPD1F-90);PubMed;NORMAN:(NS00001605);COCONUT:(CNP0076076 CNP0090877 CNP0292269);KNApSAcK:(4565);Natural Products:(UNPD161634);database;PubChem:(5280863 18661268 25202062 49849755);CHEBI:(28499 58573);PubChem class - bio and metabolites;KEGG:(C05903);PubChem class - safety and toxic;YMDB:(1722);Training Set;PubChem class - drug;Biocyc:(CPD1F-90)	68841106302
3	1	N/A	-30.049995004997893	C15H10O6	[M + H]+	WJXXUIYFPVIHDH	InChI=1S/C15H10O6/c16-7-4-10(19)15-11(20)6-13(21-12(15)5-7)14-8(17)2-1-3-9(14)18/h1-6,16-19H	5,7,2'',6''-Tetrahydroxyflavone	C1=CC(=C(C(=C1)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	1.81215119	5321865	COCONUT:(CNP0253153 CNP0361148);KNApSAcK:(13308);Natural Products:(UNPD150958);database;PubChem:(5321865);SuperNatural:(SN00159132);PubMed	68722655314
4	1	N/A	-30.87054923903862	C15H10O6	[M + H]+	ZSYPIPFQOQGYHH	InChI=1S/C15H10O6/c16-7-1-2-9(10(18)3-7)13-6-12(20)15-11(19)4-8(17)5-14(15)21-13/h1-6,16-19H	Norartocarpetin	C1=CC(=C(C=C1O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	1.81215119	5481970	COCONUT:(CNP0376829 CNP0417821);HMDB:(30543);KNApSAcK:(3859);Natural Products:(UNPD194848);database;PubChem:(5481970);SuperNatural:(SN00159130);PubChem class - bio and metabolites;PubMed;KEGG Mine	77329367130
5	1	N/A	-31.586757246769043	C15H10O6	[M + H]+	WCNLFPKXBGWWDS	InChI=1S/C15H10O6/c16-7-5-10(18)12-11(6-7)21-15(14(20)13(12)19)8-3-1-2-4-9(8)17/h1-6,16-18,20H	Datiscetin	C1=CC=C(C(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	1.78977811	5281610	SuperNatural:(SN00013911);ZINC bio:(ZINC06095498);additional;PubMed;NORMAN:(NS00021168);COCONUT:(CNP0399551);KNApSAcK:(4562);Natural Products:(UNPD43853);database;PubChem:(5281610);CHEBI:(75107);PubChem class - bio and metabolites;KEGG:(C10036);PubChem class - safety and toxic;Training Set	68807352690
6	1	N/A	-35.612371899971315	C15H10O6	[M + H]+	LRDGATPGVJTWLJ	InChI=1S/C15H10O6/c16-8-1-7(2-9(17)3-8)13-6-12(20)15-11(19)4-10(18)5-14(15)21-13/h1-6,16-19H	2-(3,5-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	C1=C(C=C(C=C1O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	1.81215119	5487757	COCONUT:(CNP0269044);HMDB:(126034);Natural Products:(UNPD207599);database;PubChem:(5487757);PubChem class - bio and metabolites	68738383882
7	1	N/A	-43.93158571486048	C15H10O6	[M + H]+	IOYHCQBYQJQBSK	InChI=1S/C15H10O6/c16-8-4-12(19)14-13(5-8)21-6-9(15(14)20)7-1-2-10(17)11(18)3-7/h1-6,16-19H	Norsantal	C1=CC(=C(C=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O)O	2.29999995	5281801	HMDB:(41658);SuperNatural:(SN00157806);MeSH:(5281801);PubMed;COCONUT:(CNP0049443 CNP0157770);KNApSAcK:(2554);Natural Products:(UNPD174476);database;PubChem:(5281801);CHEBI:(69437);PubChem class - bio and metabolites;KEGG:(C10510);PubChem class - safety and toxic	68806541694
8	1	N/A	-55.62015669881944	C15H10O6	[M + H]+	GSSOWCUOWLMMRJ	InChI=1S/C15H10O6/c16-7-1-2-9(11(18)3-7)10-6-21-13-5-8(17)4-12(19)14(13)15(10)20/h1-6,16-19H	2''-Hydroxygenistein	C1=CC(=C(C=C1O)O)C2=COC3=CC(=CC(=C3C2=O)O)O	2.29999995	5282074;25243884	HMDB:(34014);SuperNatural:(SN00014147);ZINC bio:(ZINC06525249);Plantcyc:(CPD-6641);PubMed;COCONUT:(CNP0287703);KNApSAcK:(9453);Natural Products:(UNPD156931);database;PubChem:(5282074 25243884);CHEBI:(70031 140306);PubChem class - bio and metabolites;KEGG:(C12134);Biocyc:(CPD-6641)	68739574138
9	1	N/A	-58.79048474368217	C15H10O6	[M + H]+	CFICGXRYLHEUQQ	InChI=1S/C15H10O6/c16-7-1-2-10(18)9(3-7)13-6-12(20)15-11(19)4-8(17)5-14(15)21-13/h1-6,16-19H	5,7,2'',5''-Tetrahydroxyflavone	C1=CC(=C(C=C1O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	1.81215119	5487756	COCONUT:(CNP0391817);KNApSAcK:(13305);Natural Products:(UNPD118959);database;PubChem:(5487756);SuperNatural:(SN00235315);PubMed	68722655314
10	1	N/A	-65.01936663405947	C15H10O6	[M + H]+	STAGATUVRDVEAT	InChI=1S/C15H10O6/c16-7-4-10(18)14-11(19)6-12(21-13(14)5-7)8-2-1-3-9(17)15(8)20/h1-6,16-18,20H	5,7,2'',3''-Tetrahydroxyflavone	C1=CC(=C(C(=C1)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	1.81215119	5321864	COCONUT:(CNP0298654);KNApSAcK:(13561);Natural Products:(UNPD54472);database;PubChem:(5321864);SuperNatural:(SN00159129);MeSH:(5321864);PubMed	68722655318
