structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.4525753200008831	-46.06265997288282	C16H14O5	[M + H]+	QTAGQHZOLRFCBU	InChI=1S/C16H14O5/c1-16(2)13(21-16)8-19-15-9-3-4-14(17)20-12(9)7-11-10(15)5-6-18-11/h3-7,13H,8H2,1-2H3	Oxypeucedanin	CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C	2.5999999	33306;160544;928465	HMDB:(30622);SuperNatural:(SN00155844 SN00001580);ZINC bio:(ZINC00518643 ZINC00518644);additional;MeSH:(33306 160544);PubMed;COCONUT:(CNP0096403 CNP0282547);KNApSAcK:(2490);Natural Products:(UNPD33110 UNPD120863);database;PubChem:(33306 160544 928465);CHEBI:(70473 69830);PubChem class - bio and metabolites;KEGG:(C09282);PubChem class - safety and toxic;Training Set;PubChem class - drug	68840644990
2	1	N/A	-65.07971657109589	C16H14O5	[M + H]+	BVMOMQJYQYBMKL	InChI=1S/C16H14O5/c1-9(2)12(17)8-20-16-10-3-4-15(18)21-14(10)7-13-11(16)5-6-19-13/h3-7,12,17H,1,8H2,2H3	4-(2-hydroxy-3-methylbut-3-enoxy)furo[3,2-g]chromen-7-one	CC(=C)C(COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)O	2.9000001	511358;3009225;44144315	COCONUT:(CNP0177600 CNP0179035);HMDB:(34438);Natural Products:(UNPD150556 UNPD189680);database;PubChem:(511358 3009225 44144315);SuperNatural:(SN00156738 SN00156739);PubChem class - bio and metabolites;MeSH:(3009225);PubMed	68739432526
3	1	N/A	-81.74727021477425	C16H14O5	[M + H]+	USLPJJIUMAKBIU	InChI=1S/C16H14O5/c1-9(2)12(17)8-20-16-10-3-4-15(18)21-14(10)7-13-11(16)5-6-19-13/h3-7,9H,8H2,1-2H3	4-(3-methyl-2-oxobutoxy)furo[3,2-g]chromen-7-one	CC(C)C(=O)COC1=C2C=CC(=O)OC2=CC3=C1C=CO3	3.0999999	625383	COCONUT:(CNP0261716);KNApSAcK:(33066);Natural Products:(UNPD50480);database;PubChem:(625383);SuperNatural:(SN00156726);MeSH:(625383);PubMed	68722655318
4	1	N/A	-94.09577609602053	C16H14O5	[M + H]+	CTJZWFCPUDPLME	InChI=1S/C16H14O5/c1-16(2)11(21-16)8-19-15-13-10(5-6-18-13)7-9-3-4-12(17)20-14(9)15/h3-7,11H,8H2,1-2H3	Prangenin	CC1(C(O1)COC2=C3C(=CC4=C2OC=C4)C=CC(=O)O3)C	2.51608348	17897;182251;458010	COCONUT:(CNP0192245 CNP0279064);KNApSAcK:(37261);Natural Products:(UNPD985 UNPD70250);database;PubChem:(17897 182251 458010);SuperNatural:(SN00001583 SN00001582);ZINC bio:(ZINC00518797 ZINC00518798);additional;MeSH:(458010);Training Set;PubMed;KEGG Mine	77313138774
5	1	N/A	-115.27960344393752	C16H14O5	[M + H]+	RTUPRHIHXSAWDP	InChI=1S/C16H14O5/c1-9(2)12(17)8-20-16-14-11(5-6-19-14)7-10-3-4-13(18)21-15(10)16/h3-7,12,17H,1,8H2,2H3	9-(2-hydroxy-3-methylbut-3-enoxy)furo[3,2-g]chromen-7-one	CC(=C)C(COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)O	2.62944984	148619;91895301;131636642	COCONUT:(CNP0126452);KNApSAcK:(30531);Natural Products:(UNPD12954 UNPD12449);database;PubChem:(148619 91895301 131636642);SuperNatural:(SN00157412 SN00375874)	68722655250
6	1	N/A	-122.02290301087137	C16H14O5	[M + H]+	JVSZRLLMMKOISF	InChI=1S/C16H14O5/c1-9(2)5-7-20-16-14-11(6-8-19-14)13(18)10-3-4-12(17)21-15(10)16/h3-6,8,18H,7H2,1-2H3	null	CC(=CCOC1=C2C(=C(C3=C1OC(=O)C=C3)O)C=CO2)C	3.06143284	""	COCONUT:(CNP0333423);Natural Products:(UNPD99178);database;KEGG Mine	77311541248
7	1	N/A	-137.30592710482446	C16H14O5	[M + H]+	SVPDNNKLQWHTPC	InChI=1S/C16H14O5/c1-9(2)12(17)8-20-16-14-11(5-6-19-14)7-10-3-4-13(18)21-15(10)16/h3-7,9H,8H2,1-2H3	isoheraclenin	CC(C)C(=O)COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	2.92455316	14521099	COCONUT:(CNP0229773);Natural Products:(UNPD31748);database;PubChem:(14521099);SuperNatural:(SN00404232);additional;Training Set;PubMed	68723195970
8	1	N/A	-143.6084447539818	C16H14O5	[M + H]+	BEYIWVKWKJROGZ	InChI=1S/C16H14O5/c1-9(2)5-7-19-14-10-3-4-12(17)21-16(10)13(18)15-11(14)6-8-20-15/h3-6,8,18H,7H2,1-2H3	9-hydroxy-4-(3-methylbut-2-enoxy)furo[3,2-g]chromen-7-one	CC(=CCOC1=C2C=COC2=C(C3=C1C=CC(=O)O3)O)C	3.4000001	21826766	COCONUT:(CNP0264187);Natural Products:(UNPD33187);database;PubChem:(21826766);PubMed;KEGG Mine	77311541314
9	1	N/A	-149.01562538224584	C16H14O5	[M + H]+	SYEZZRGTJNNHEL	InChI=1S/C16H14O5/c1-10(9-17)4-6-20-16-14-12(5-7-19-14)8-11-2-3-13(18)21-15(11)16/h2-5,7-8,17H,6,9H2,1H3	Z-trichoclin	CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)CO	2.54279661	10265978;44559565	COCONUT:(CNP0277109);KNApSAcK:(43493);Natural Products:(UNPD9719);database;PubChem:(10265978 44559565);SuperNatural:(SN00228341 SN00020682);ZINC bio:(ZINC14516509);additional;Training Set;PubMed;KEGG Mine	77313138770
10	1	N/A	-149.4061428485678	C16H14O5	[M + H]+	NUCBCBCPICFGMZ	InChI=1S/C16H14O5/c1-16(2)14(21-16)8-19-12-7-15(17)20-13-6-11-9(3-4-18-11)5-10(12)13/h3-7,14H,8H2,1-2H3	(+)-Oxypeucedanin	CC1(C(O1)COC2=CC(=O)OC3=C2C=C4C=COC4=C3)C	2.29999995	608854;53316971;92138201	COCONUT:(CNP0192834);Natural Products:(UNPD103226);database;PubChem:(608854 53316971 92138201);SuperNatural:(SN00278976);PubMed	68722655298
