structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.9063921996286037	-13.277830394827127	C7H6N2S	[M + H]+	YHMYGUUIMTVXNW	InChI=1S/C7H6N2S/c10-7-8-5-3-1-2-4-6(5)9-7/h1-4H,(H2,8,9,10)	Antigen MB	C1=CC=C2C(=C1)NC(=S)N2	1.79917991	707035;23169285;45039702;91168545;101417634;101417635;138396219	NORMAN:(NS00007923);database;PubChem:(707035 23169285 45039702 91168545 101417634 101417635 138396219);SuperNatural:(SN00132462);ZINC bio:(ZINC12341568);additional;MeSH:(707035);PubChem class - safety and toxic;PubMed	68788428870
2	1	N/A	-105.16506355499335	C7H6N2S	[M + H]+	KSAPYRIVHFAQGR	InChI=1S/C7H6N2S/c10-9-5-8-6-3-1-2-4-7(6)9/h1-5,10H	1-sulfanylbenzimidazole	C1=CC=C2C(=C1)N=CN2S	2.0	18362478	PubChem:(18362478);PubMed;database	68719476802
3	1	N/A	-133.24036593063656	C7H6N2S	[M + H]+	UJZYHMZRXGNDFB	InChI=1S/C7H6N2S/c8-5-1-2-7-6(3-5)9-4-10-7/h1-4H,8H2	5-Benzothiazolamine	C1=CC2=C(C=C1N)N=CS2	1.373245	70749	NORMAN:(NS00023633);database;PubChem class - safety and toxic;PubChem:(70749)	68786847746
4	1	N/A	-169.5671548061862	C7H6N2S	[M + H]+	UHGULLIUJBCTEF	InChI=1S/C7H6N2S/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H2,8,9)	2-Aminobenzthiazole	C1=CC=C2C(=C1)N=C(S2)N	1.71061766	8706;4680474;5212812	SuperNatural:(SN00132459);ZINC bio:(ZINC12341454);additional;HSDB:(136-95-8);MeSH:(8706);PubMed;NORMAN:(NS00010260);COCONUT:(CNP0256238);database;PubChem:(8706 4680474 5212812);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubChem class - drug;KEGG Mine	77430792774
5	1	N/A	-190.54080059269918	C7H6N2S	[M + H]+	OQEOPQIPVXGRAT	InChI=1S/C7H6N2S/c1-2-7(10-3-1)6-4-8-5-9-6/h1-5H,(H,8,9)	Ambcb4034945	C1=CSC(=C1)C2=CN=CN2	1.39999998	11423685	PubChem:(11423685);PubMed;database	68719476802
6	1	N/A	-193.39685081731497	C7H6N2S	[M + H]+	TVNDPZYOQCCHTJ	InChI=1S/C7H6N2S/c1-2-7(10-5-1)6-3-4-8-9-6/h1-5H,(H,8,9)	Maybridge3_000135	C1=CSC(=C1)C2=CC=NN2	1.60000002	340711	database;PubChem class - safety and toxic;PubChem:(340711);PubMed	68786585666
7	1	N/A	-194.7801641021752	C7H6N2S	[M + H]+	BDSYDRBQHFQOQG	InChI=1S/C7H6N2S/c10-6-9-5-7-2-1-3-8-4-7/h1-4H,5H2	3-Picolylisothiocyanate;	C1=CC(=CN=C1)CN=C=S	1.89490688	2760420	NORMAN:(NS00030101);database;PubChem class - safety and toxic;PubChem:(2760420);PubMed	68786847810
8	1	N/A	-233.00963591330287	C7H6N2S	[M + H]+	NJYFRQQXXXRJHK	InChI=1S/C7H6N2S/c8-5-10-7-3-1-6(9)2-4-7/h1-4H,9H2	Rhodan	C1=CC(=CC=C1N)SC#N	1.79999995	76336	database;PubChem class - safety and toxic;PubChem:(76336);PubMed	68786585666
9	1	N/A	-290.5325321201669	C7H6N2S	[M + H]+	PJYFUONTPGCKST	InChI=1S/C7H6N2S/c1-2-4-7-6(3-1)5-8-9-10-7/h1-4H,5H2	4H-1,2,3-benzothiadiazine	C1C2=CC=CC=C2SN=N1	2.20000005	21690862	PubChem:(21690862);PubMed;database	68719476802
10	1	N/A	-296.35080865579755	C7H6N2S	[M + H]+	PHQVXPYZZSPBHC	InChI=1S/C7H6N2S/c1-2-6-7(10-3-1)4-8-5-9-6/h1-2,4-5H,3H2	6H-Thiopyrano[3,2-d]pyrimidine	C1C=CC2=NC=NC=C2S1	1.10000002	54189720	PubChem:(54189720);database	68719476738
11	1	N/A	-344.69162037370035	C7H6N2S	[M + H]+	CCDMBTCSHSROMD	InChI=1S/C7H6N2S/c1-2-7-6(3-5-10-7)9-8-4-1/h1-4H,5H2	null	C1C=C2C(=CC=CN=N2)S1	1.70000005	66708587	PubChem:(66708587);database	68719476738
12	1	N/A	-348.3198520348444	C7H6N2S	[M + H]+	QRKDOAWSBBGNLE	InChI=1S/C7H6N2S/c1-2-4-7-6(3-1)8-5-9-10-7/h1-5H,(H,8,9)	2H-1,2,4-benzothiadiazine	C1=CC=C2C(=C1)N=CNS2	1.29999995	473368	PubChem:(473368);PubMed;database	68719476802
13	1	N/A	-365.32945603389527	C7H6N2S	[M + H]+	HAVZTGSQJIEKPI	InChI=1S/C7H6N2S/c1-2-4-7-6(3-1)5-8-9-10-7/h1-5,9H	2H-1,2,3-benzothiadiazine	C1=CC=C2C(=C1)C=NNS2	1.89999998	19816131	PubChem:(19816131);database	68719476738
