structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.37908640341822797	-20.543593753814246	C12H22O4	[M - H]-	TVIDDXQYHWJXFK	InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)	Corfree M 2	C(CCCCCC(=O)O)CCCCC(=O)O	3.06134129	12736;6991984;12400841;11665832;11229952;16212954;71309580;90477850	HMDB:(623);PubChem class - food;SuperNatural:(SN00002058 SN00283277);ZINC bio:(ZINC01529497);additional;HSDB:(693-23-2);MeSH:(12736);PubMed;NORMAN:(NS00010129);COCONUT:(CNP0282563 CNP0293008);Natural Products:(UNPD31013);database;PubChem:(12736 6991984 12400841 11665832 11229952 16212954 71309580 90477850);CHEBI:(76273 4676);PubChem class - bio and metabolites;KEGG:(C02678);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-10670)	68941572974
2	1	N/A	-77.52125164434385	C12H22O4	[M - H]-	PEUGOJXLBSIJQS	InChI=1S/C12H22O4/c1-3-15-11(13)9-7-5-6-8-10-12(14)16-4-2/h3-10H2,1-2H3	Ambap2050-23-9	CCOC(=O)CCCCCCC(=O)OCC	2.4000001	16301;11447587	NORMAN:(NS00026650);COCONUT:(CNP0110680);Natural Products:(UNPD33363);database;PubChem:(16301 11447587);SuperNatural:(SN00249155);ZINC bio:(ZINC01691312);additional;MeSH:(16301);PubMed	68723449926
3	1	N/A	-78.01586704014868	C12H22O4	[M - H]-	ZGBRBBXWSHUHMK	InChI=1S/C12H22O4/c1-10(16-11(2)13)8-6-4-3-5-7-9-12(14)15/h10H,3-9H2,1-2H3,(H,14,15)	Decanoic acid, 9-(acetyloxy)-	CC(CCCCCCCC(=O)O)OC(=O)C	2.70000005	11470259;121007001	COCONUT:(CNP0118107);Natural Products:(UNPD22719);database;PubChem:(11470259 121007001);SuperNatural:(SN00299626)	68722655234
4	1	N/A	-78.5428183781047	C12H22O4	[M - H]-	KHKUUQIMOYQNHB	InChI=1S/C12H22O4/c1-11(13)16-10-8-6-4-2-3-5-7-9-12(14)15/h2-10H2,1H3,(H,14,15)	ACMC-20lvdj	CC(=O)OCCCCCCCCCC(=O)O	2.9000001	13497206	COCONUT:(CNP0256330);Natural Products:(UNPD110269);database;PubChem:(13497206);SuperNatural:(SN00290130);ZINC bio:(ZINC02564481);PubMed	68722663490
5	1	N/A	-97.39569622696696	C12H22O4	[M - H]-	MDHIGESKEUQAEO	InChI=1S/C12H22O4/c1-11(13)15-9-7-5-3-4-6-8-10-16-12(2)14/h3-10H2,1-2H3	1,8-Diacetoxyoctane	CC(=O)OCCCCCCCCOC(=O)C	2.5	5216131	PubChem:(5216131);database	68719476738
6	1	N/A	-98.34200146251588	C12H22O4	[M - H]-	ZDQWESQEGGJUCH	InChI=1S/C12H22O4/c1-9(2)15-11(13)7-5-6-8-12(14)16-10(3)4/h9-10H,5-8H2,1-4H3	beta dia	CC(C)OC(=O)CCCCC(=O)OC(C)C	2.20000005	23368	HMDB:(41613);PubChem class - food;SuperNatural:(SN00214501);ZINC bio:(ZINC01687490);MeSH:(23368);PubMed;NORMAN:(NS00009336);COCONUT:(CNP0183610);database;PubChem:(23368);CHEBI:(34711);PubChem class - bio and metabolites;KEGG:(C14523);PubChem class - safety and toxic	68940996974
7	1	N/A	-99.5071168719389	C12H22O4	[M - H]-	FLXFNIBELQCRPA	InChI=1S/C12H22O4/c13-10-6-8-11(14)7-4-2-1-3-5-9-12(15)16/h6,8,11,13-14H,1-5,7,9-10H2,(H,15,16)	null	O=C(O)CCCCCCCC(O)/C=C/CO	2.0821637652142133	""	""	0
8	1	N/A	-103.60540899234877	C12H22O4	[M - H]-	NNXXCBGYPOEXLL	InChI=1S/C12H22O4/c1-10(13)6-4-2-3-5-7-11(14)8-9-12(15)16/h8-11,13-14H,2-7H2,1H3,(H,15,16)	null	CC(CCCCCCC(C=CC(=O)O)O)O	1.70000005	10561452;122186343	COCONUT:(CNP0236951);Natural Products:(UNPD138865);database;PubChem:(10561452 122186343);SuperNatural:(SN00332701);PubMed	68722655298
9	1	N/A	-106.61879443210931	C12H22O4	[M - H]-	ALOUNLDAKADEEB	InChI=1S/C12H22O4/c1-15-11(13)9-7-5-3-4-6-8-10-12(14)16-2/h3-10H2,1-2H3	Methyl sebacate	COC(=O)CCCCCCCCC(=O)OC	2.982373	7829	NORMAN:(NS00011508);COCONUT:(CNP0302547);Natural Products:(UNPD58834);database;PubChem class - food;PubChem:(7829);SuperNatural:(SN00002516);ZINC bio:(ZINC01699974);additional;MeSH:(7829);PubChem class - safety and toxic;PubMed	68924776518
10	1	N/A	-111.86213601362097	C12H22O4	[M - H]-	NKOUWLLFHNBUDW	InChI=1S/C12H22O4/c1-3-9-15-11(13)7-5-6-8-12(14)16-10-4-2/h3-10H2,1-2H3	Dipropyl adipate	CCCOC(=O)CCCCC(=O)OCCC	2.4000001	7790	NORMAN:(NS00013608);COCONUT:(CNP0002393);HMDB:(41614);database;PubChem class - food;PubChem:(7790);ZINC bio:(ZINC01680439);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed	68939948106
11	1	N/A	-115.32829897672285	C12H22O4	[M - H]-	BAFMYYVGHUWMQJ	InChI=1S/C12H22O4/c1-10(13)6-3-2-4-7-11(14)8-5-9-12(15)16/h5,9-11,13-14H,2-4,6-8H2,1H3,(H,15,16)	null	CC(O)CCCCCC(O)C/C=C/C(=O)O	2.367173955842108	""	""	0
