,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,10-oxocapric acid,C10H18O3,O=CCCCCCCCCC(=O)O,FYURGFQVSMALOD-UHFFFAOYSA-N,CHEBI:17130;;C02217;;PMHub:MS000017498,0.9999999999998473,0.999999999011553,0.9999999993080413
1,4-Oxodecanoic acid,C10H18O3,CCCCCCC(=O)CCC(=O)O,SPUWOYCLMKSXKU-UHFFFAOYSA-N,PMHub:MS000057049,0.9999999999998473,0.9386509435378829,0.9570556604764722
2,2-oxodecanoic acid,C10H18O3,CCCCCCCCC(=O)C(=O)O,JBFDBSZCFDASAE-UHFFFAOYSA-N,CHEBI:34301;;C13945;;PMHub:MS000023474,0.9999999999998473,0.9080314816621112,0.9356220371634321
3,5-Oxodecanoic acid,C10H18O3,CCCCCC(=O)CCCC(=O)O,SDKDCMWTAOZNGB-UHFFFAOYSA-N,PMHub:MS000043882,0.9999999999998473,0.8678863716367791,0.9075204601456995
4,(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate,C10H18O3,C=C(C)[C@@H](CO)CCC(C)C(=O)O,QJXGZJIBSSFJPK-YGPZHTELSA-N,C11406,0.9999999999998473,0.8530206250688606,0.8971144375481566
5,8-methyl-5-oxo-nonanoic acid,C10H18O3,CC(C)CCC(=O)CCCC(=O)O,CVTYGALEXWGUJW-UHFFFAOYSA-N,NPA021560,0.9999999999998473,0.8514853624268139,0.8960397536987239
6,(E)-10-Hydroxy-8-decenoic acid,C10H18O3,O=C(O)CCCCCC/C=C/CO,RCXJFGCVOBRFEH-FNORWQNLSA-N,FDB019149;;HMDB0039533,0.9999999999998473,0.8485351160310978,0.8939745812217226
7,Methyl 9-oxononanoate,C10H18O3,COC(=O)CCCCCCCC=O,JMLYDLZRFNYHHO-UHFFFAOYSA-N,PMHub:MS000087659;;TCMSP:MOL008615,0.9999999999998473,0.7968539420374328,0.8577977594261571
8,Methyl 4-oxononanoate,C10H18O3,CCCCCC(=O)CCC(=O)OC,IOSJUDSPZQHSKG-UHFFFAOYSA-N,PMHub:MS000225267,0.9999999999998473,0.7960046353060691,0.8572032447142025
9,3-oxodecanoic acid,C10H18O3,CCCCCCCC(=O)CC(=O)O,YXTHWTPUTHTODU-UHFFFAOYSA-N,CHEBI:37157;;FDB027872;;HMDB0010724;;C20714;;PMHub:MS000028125;;PW_C006731,0.9999999999998473,0.7782894143961706,0.8448025900772735
10,Valeric anhydride,C10H18O3,CCCCC(=O)OC(=O)CCCC,DUCKXCGALKOSJF-UHFFFAOYSA-N,PMHub:MS000177428,0.9999999999998473,0.7732252805972223,0.8412576964180097
11,6-hydroxy-3-isopropenylheptanoic acid,C10H18O3,C=C(C)C(CCC(C)O)CC(=O)O,NQYDFAGFKCSWGI-UHFFFAOYSA-N,CHEBI:50452;;PMHub:MS000022298,0.9999999999998473,0.7556510767535474,0.8289557537274373
12,cyclobutyrol,C10H18O3,CCC(C(=O)O)C1(O)CCCCC1,NIVFTEMPSCMWDE-UHFFFAOYSA-N,CHEBI:61024;;DB13493,0.9999999999998473,0.7312106820820932,0.8118474774574194
13,"1-hydroxydecane-2,5-dione",C10H18O3,CCCCCC(=O)CCC(=O)CO,ZIPAJLAJDLJIGY-UHFFFAOYSA-N,NPA006635;;PMHub:MS000186135,0.9999999999998473,0.7230048324700009,0.8061033827289548
14,(+/-)-Pinolic acid,C10H18O3,CC(O)C1CC(CC(=O)O)C1(C)C,JYNRDUMRXYBIKG-UHFFFAOYSA-N,NIST:CASNone,0.9999999999998473,0.7195959426085184,0.8037171598259171
15,"(E)-8-hydroxy-3,7-dimethyl-6-octenoic acid",C10H18O3,CC(=CCCC(C)CC(=O)O)CO,FXJVPEWBULIKRY-UHFFFAOYSA-N,PMHub:MS000140868,0.9999999999998473,0.71897864709628,0.8032850529673502
16,"(2E,9R)-9-hydroxydec-2-enoic acid",C10H18O3,C[C@@H](O)CCCCC/C=C/C(=O)O,DZBLNYYGAKHAOJ-BNICOGTQSA-N,CHEBI:78853,0.9999999999998473,0.7094629895355794,0.7966240926748598
17,"(2E,6R)-8-hydroxy-2,6-dimethyl-2-octenoic acid",C10H18O3,C/C(=C\CC[C@@H](C)CCO)C(=O)O,CDAJACJYYZHNJA-CBVZUMJXSA-N,CHEBI:66026,0.9999999999998473,0.7058928275258722,0.7941249792680647
18,(E)-10-hydroxydec-2-enoic acid,C10H18O3,O=C(O)/C=C/CCCCCCCO,QHBZHVUGQROELI-SOFGYWHQSA-N,CHEBI:78668,0.9999999999998473,0.6846286942621905,0.7792400859834876
19,"Ethyl (3R,5Z)-3-hydroxy-5-octenoate",C10H18O3,CC/C=C\CC(O)CC(=O)OCC,UIWVSNIRNXLEKC-WAYWQWQTSA-N,FDB002213;;HMDB0030367,0.9999999999998473,0.6715699178335146,0.7700989424834144
20,"Heptanoic acid, 2,2-dimethyl-6-oxo-, methyl ester",C10H18O3,COC(=O)C(C)(C)CCCC(C)=O,WMAHWHYQGFDCIQ-UHFFFAOYSA-N,PMHub:MS000210660,0.9999999999998473,0.6695518339458777,0.7686862837620685
21,,C10H18O3,CCC=CCCC(O)C(=O)OCC,GNHKHKQNMVSHRT-UHFFFAOYSA-N,PMHub:MS000034060,0.9999999999998473,0.6690316316242967,0.7683221421369618
22,ethyl 7-hydroxyoct-2-enoate,C10H18O3,CCOC(=O)C=CCCCC(C)O,IMWMUIJDODQYOR-UHFFFAOYSA-N,PMHub:MS000067478,0.9999999999998473,0.6685532731229152,0.7679872911859948
23,3-Hydroxycitronellic acid,C10H18O3,CC(C)=CCC[C@@](C)(O)CC(=O)O,BGEHAKLYDDCRJH-SNVBAGLBSA-N,NPA007979,0.9999999999998473,0.6681067002527293,0.7676746901768647
24,2-Methylbutyl 3-hydroxy-2-methylidenebutanoate,C10H18O3,C=C(C(=O)OCC(C)CC)C(C)O,BAAJXLRVWJHRQH-UHFFFAOYSA-N,FDB019916;;HMDB0040204;;PMHub:MS000135038,0.9999999999998473,0.6657679601671294,0.7660375721169448
25,Cyclohexyl propan-2-yl carbonate,C10H18O3,CC(C)OC(=O)OC1CCCCC1,VTDCYOLLYVAJSY-UHFFFAOYSA-N,BloodExp:CID22123692;;HMDB0250658,0.9999999999998473,0.6607912289691501,0.7625538602783593
26,"Methoxyacetic acid,1-cyclopentylethyl ester",C10H18O3,COCC(=O)O[C@@H](C)C1CCCC1,HVXPTHLVNAUCBU-QMMMGPOBSA-N,TCMSP:MOL011629,0.9999999999998473,0.6587412552403239,0.7611188786681808
27,3-Ketopropylpentanoic acid ethyl ester,C10H18O3,CCCC(C(=O)CC)C(=O)OCC,HCXSKCDZELJTAM-UHFFFAOYSA-N,BloodExp:CID128760,0.9999999999998473,0.6556307558052211,0.758941529063609
28,3-Hydroxy-5Z-octenyl acetate,C10H18O3,CC/C=C\CC(O)CCOC(C)=O,WWZCBOHSNDHUER-PLNGDYQASA-N,FDB002215;;HMDB0030369,0.9999999999998473,0.6472523937192581,0.7530766756034348
29,3-Methylbutyl 3-hydroxy-2-methylidenebutanoate,C10H18O3,C=C(C(=O)OCCC(C)C)C(C)O,URBTVTZTLQVLCO-UHFFFAOYSA-N,FDB019917;;HMDB0040205;;PMHub:MS000202884,0.9999999999998473,0.6462773277213834,0.7523941294049226
30,Trimethylacetic anhydride,C10H18O3,CC(C)(C)C(=O)OC(=O)C(C)(C)C,PGZVFRAEAAXREB-UHFFFAOYSA-N,BloodExp:CID15234,0.9999999999998473,0.6441786558861144,0.7509250591202343
31,"(3S, 8E)‐1,3‐Dihydroxy‐8‐decen‐5‐one",C10H18O3,C/C=C/CCC(=O)C[C@@H](O)CCO,SHHVNLZCXWAKNG-PBKGFPTLSA-N,NPA019179,0.9999999999998473,0.6305097764281203,0.7413568434996384
32,"2,3,10-Bornanetriol",C10H18O3,CC1(C)C2CCC1(CO)C(O)C2O,LAEKGIZYJDGWSB-UHFFFAOYSA-N,PMHub:MS000167250,0.9999999999998473,0.6289011746084324,0.7402308222258569
33,Not named,C10H18O3,CCCC[C@H](O)C#C[C@@H](O)CCO,DLCTXXKSBPVAJA-VHSXEESVSA-N,NPA007272,0.9999999999998473,0.6281432631946381,0.7397002842362008
34,"2alpha,9-dihydroxy-1,8-cineole",C10H18O3,CC12CCC(CC1O)C(C)(CO)O2,YBBFHZOLGNSKEP-UHFFFAOYSA-N,PMHub:MS000044308,0.9999999999998473,0.6270663299418984,0.738946430959283
35,MKN-004C,C10H18O3,CC(C)CC[C@@H]1C(=O)O[C@@H](C)[C@@H]1O,KBJCRTCKPJQWOP-CIUDSAMLSA-N,NPA002329,0.9999999999998473,0.619415196716316,0.7335906377013753
36,Ethyl (1-hydroxycyclohexyl)acetate,C10H18O3,CCOC(=O)CC1(O)CCCCC1,VEWIMVJKELSRSO-UHFFFAOYSA-N,NIST:CASNone,0.9999999999998473,0.6153911646367177,0.7307738152456567
37,5-(1-hydroxyhexyl)oxolan-2-one,C10H18O3,CCCCCC(O)C1CCC(=O)O1,WPWMAIDTZPLUGB-UHFFFAOYSA-N,PMHub:MS000064510,0.9999999999998473,0.6099384443793585,0.7269569110655052
38,"(2s,4s)-Alpha-Campholinic Acid",C10H18O3,C[C@@H]1C(=O)C[C@@H](CC(O)O)C1(C)C,KAXFPJKKGITBPU-RQJHMYQMSA-N,DB02906,0.9999999999998473,0.6046062963190787,0.7232244074233092
39,"2,9,10-Bornanetriol",C10H18O3,CC1(CO)C2CCC1(CO)C(O)C2,KYGHXTWAOGWUPT-UHFFFAOYSA-N,PMHub:MS000210277,0.9999999999998473,0.6011414082385054,0.7207989857669079
40,"(1beta,2beta,5beta)-p-Menth-3-ene-1,2,5-triol",C10H18O3,CC(C)C1=CC(O)C(C)(O)CC1O,SYRVWXFZYGDVTF-UHFFFAOYSA-N,FDB018464;;HMDB0038978;;PMHub:MS000107155,0.9999999999998473,0.5980434247372779,0.7186303973160487
41,lilac alcohol epoxide,C10H18O3,CC(CO)C1CCC(C)(C2CO2)O1,XZDUDSXRVQCEKT-UHFFFAOYSA-N,PMHub:MS000229069,0.9999999999998473,0.5880081596693093,0.7116057117684707
42,MKN-004D,C10H18O3,CCC(C)C[C@H]1C(=O)O[C@@H](C)[C@@H]1O,XLTJPTCOHHVWLA-HNACHXKJSA-N,NPA012222,0.9999999999998473,0.5858060283077764,0.7100642198153977
43,"(+)-(1R*,2R*,6S*)-trihydroxy-p-menth-3-ene",C10H18O3,CC(C)C1=CC(O)C(C)(O)C(O)C1,RMGKQNBOGFMCHX-UHFFFAOYSA-N,PMHub:MS000080165,0.9999999999998473,0.5809810421282096,0.7066867294897008
44,"(3Z,6E)-3,7-dimethyl-3,6-octadiene-1,2,8-triol",C10H18O3,CC(=CCC=C(C)C(O)CO)CO,WQHFKOVFPJSJFK-UHFFFAOYSA-N,PMHub:MS000141868,0.9999999999998473,0.5796031245098555,0.7057221871568531
45,"(1S,2S,4S,5R)-1,8-Epoxy-p-menthane-2,5-diol",C10H18O3,CC1(C)OC2(C)CC(O)C1CC2O,RLNNVCTYJJOQLN-UHFFFAOYSA-N,FDB011000;;HMDB0033010;;PMHub:MS000154324,0.9999999999998473,0.5771309737543443,0.7039916816279952
46,"5,8-epoxy-4,6-dihydroxy-santolin-1-ene",C10H18O3,C=C[C@H]1[C@@H](O)[C@](C)(CO)OC1(C)C,DNHGCTXLAMDJER-XKSSXDPKSA-N,NANPDB:1463,0.9999999999998473,0.5724213548970897,0.700694948427917
47,Sachalinol C,C10H18O3,CC(=CCO)C1CC(O)C(C)(C)O1,IHHQHUMLWMNJGX-UHFFFAOYSA-N,PMHub:MS000156245,0.9999999999998473,0.5709130765669987,0.6996391535968534
48,Diplodialide C,C10H18O3,CC1CCCCCC(O)CC(=O)O1,FYKUVQXVABYKIC-UHFFFAOYSA-N,PMHub:MS000035005,0.9999999999998473,0.5680472076163453,0.6976330453313959
49,NSC196142,C10H18O3,CC(C)C12CCC(C)(O1)C(O)C2O,WPCLDPUSTLKRAC-UHFFFAOYSA-N,PMHub:MS000188778,0.9999999999998473,0.5677345947032063,0.6974142162921986
50,"(+)-(3S*,4R*,5R*)-trihydroxysabinane",C10H18O3,CC(C)C12CC1C(C)(O)C(O)C2O,DDMXBVSMDXJGPL-UHFFFAOYSA-N,PMHub:MS000043483,0.9999999999998473,0.5662435950661282,0.6963705165462439
51,"(6E)-7-methyl-3-methylene-6-octene-1,2,8-triol",C10H18O3,C=C(CCC=C(C)CO)C(O)CO,KQEQOQFRAQMUKP-UHFFFAOYSA-N,PMHub:MS000143876,0.9999999999998473,0.5656413376297917,0.6959489363408085
52,SCHEMBL12683790,C10H18O3,CC(C)C1(O)C=CC(C)(O)C(O)C1,GSBPRYYMPSYZPX-UHFFFAOYSA-N,PMHub:MS000061649,0.9999999999998473,0.5606384911839896,0.6924469438287468
53,Phomopene,C10H18O3,CC(C)(O)[C@@H]1CC[C@@](C)(O)[C@H]2O[C@@H]12,DRAPOCVWVCKZRC-CHIQAWFVSA-N,NPA005769,0.9999999999998473,0.5579650952694262,0.6905755666885525
54,"(1R,2R,4R)-1,8-Epoxy-p-menthane-2,4-diol",C10H18O3,CC12CCC(O)(CC1O)C(C)(C)O2,PEWQMISWINPIPZ-UHFFFAOYSA-N,FDB021525;;HMDB0041545;;PMHub:MS000061518,0.9999999999998473,0.5555717197000756,0.688900203790007
