structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.24339516519118376	-110.96002713855596	C12H17NO	[M + H]+	UXDAWVUDZLBBAM	InChI=1S/C12H17NO/c1-3-13(4-2)12(14)10-11-8-6-5-7-9-11/h5-9H,3-4,10H2,1-2H3	N,N-Diethylphenylacetamide	CCN(CC)C(=O)CC1=CC=CC=C1	2.0999999	17076	HMDB:(32635);SuperNatural:(SN00262152);ZINC bio:(ZINC00389873);additional;MeSH:(17076);PubMed;NORMAN:(NS00027614);COCONUT:(CNP0242343);Natural Products:(UNPD120449);database;PubChem:(17076);PubChem class - bio and metabolites;KEGG:(C10938);PubChem class - safety and toxic;Training Set	68807352654
2	1	N/A	-133.7408026257296	C12H17NO	[M + H]+	UUJNHTZCROBQHX	InChI=1S/C12H17NO/c1-10(2)12(14)13-9-8-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3,(H,13,14)	2-methyl-N-phenethylpropanamide	CC(C)C(=O)NCCC1=CC=CC=C1	2.5	290550	COCONUT:(CNP0103437);Natural Products:(UNPD49342);database;PubChem:(290550);SuperNatural:(SN00238223);ZINC bio:(ZINC00405588);PubMed	68722663490
3	1	N/A	-136.58454447033392	C12H17NO	[M + H]+	WGOUDWYOCIOVMG	InChI=1S/C12H17NO/c1-10(11(2)14)13-9-8-12-6-4-3-5-7-12/h3-7,10,13H,8-9H2,1-2H3	3-(2-phenylethylamino)butan-2-one	CC(C(=O)C)NCCC1=CC=CC=C1	1.89999998	21786235;137333887	COCONUT:(CNP0204331);database;PubChem:(21786235 137333887);CHEBI:(143030 143110)	68721573922
4	1	N/A	-141.62929064118978	C12H17NO	[M + H]+	ZIOZMZMOOGVIFG	InChI=1S/C12H17NO/c1-2-6-12(14)13-10-9-11-7-4-3-5-8-11/h3-5,7-8H,2,6,9-10H2,1H3,(H,13,14)	Ambcb5102142	CCCC(=O)NCCC1=CC=CC=C1	2.29999995	221995	COCONUT:(CNP0403031);database;PubChem:(221995);SuperNatural:(SN00118011);PubMed;ZINC bio:(ZINC00270695)	68722630722
5	1	N/A	-156.5521866710205	C12H17NO	[M + H]+	LOQPFJRCXJZNQV	InChI=1S/C12H17NO/c1-4-13(3)10(2)12(14)11-8-6-5-7-9-11/h5-10H,4H2,1-3H3	null	CCN(C)C(C)C(=O)C1=CC=CC=C1	2.4000001	43794825;121489872;121489873	NORMAN:(NS00017549);database;PubChem class - safety and toxic;Training Set;PubChem:(43794825 121489872 121489873);additional	68787388418
6	1	N/A	-163.40617433056022	C12H17NO	[M + H]+	MFOCDFTXLCYLKU	InChI=1S/C12H17NO/c1-10-12(14-9-8-13(10)2)11-6-4-3-5-7-11/h3-7,10,12H,8-9H2,1-2H3	Bontril	CC1C(OCCN1C)C2=CC=CC=C2	1.89999998	12460;30487;6101744;12598290;12598291;12598292;71751567;76973509;133686998	HMDB:(15519);ZINC bio:(ZINC00001920 ZINC22010387);additional;HSDB:(634-03-7);MeSH:(12460 30487);PubMed;NORMAN:(NS00006244);COCONUT:(CNP0021642);database;PubChem:(12460 30487 6101744 12598290 12598291 12598292 71751567 76973509 133686998);CHEBI:(8059);PubChem class - bio and metabolites;KEGG:(C07904);PubChem class - safety and toxic;Training Set;PubChem class - drug	68839826286
7	1	N/A	-166.41648934341526	C12H17NO	[M + H]+	CZMUPZDWASDNHR	InChI=1S/C12H17NO/c1-10(2)9-13-12(14)8-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3,(H,13,14)	N-Isobutyl-2-phenyl-acetamide	CC(C)CNC(=O)CC1=CC=CC=C1	2.5	668859	PubChem:(668859);PubMed;database	68719476802
8	1	N/A	-169.63645106319723	C12H17NO	[M + H]+	ZOXZWYWOECCBSH	InChI=1S/C12H17NO/c1-4-13-10(3)12(14)11-7-5-9(2)6-8-11/h5-8,10,13H,4H2,1-3H3	4-Methylethcathinone	CCNC(C)C(=O)C1=CC=C(C=C1)C	2.29999995	52161145;52161147;52988259;71316457	NORMAN:(NS00007248);MeSH:(52988259);database;PubChem:(52161145 52161147 52988259 71316457);PubMed;additional	68720263238
9	1	N/A	-171.20907946259442	C12H17NO	[M + H]+	XCLNTWGFRQKLDT	InChI=1S/C12H17NO/c1-10(13(3)11(2)14)9-12-7-5-4-6-8-12/h4-8,10H,9H2,1-3H3	N-Acetylmethamphetamine	CC(CC1=CC=CC=C1)N(C)C(=O)C	2.0999999	526655;12850262;58923345	MeSH:(526655);database;PubChem class - safety and toxic;PubChem:(526655 12850262 58923345);PubMed	68786585670
10	1	N/A	-175.01124547503784	C12H17NO	[M + H]+	PUZORFQMRDHKBT	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-10(3)7-9-11/h6-9H,4-5H2,1-3H3	p-Toluamide,N-diethyl-	CCN(CC)C(=O)C1=CC=C(C=C1)C	2.8057642	75946;24798842	NORMAN:(NS00010687);database;PubChem class - safety and toxic;PubChem:(75946 24798842);PubMed;ZINC bio:(ZINC00114637)	68786856002
