,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,Eriodictyol monoglucuronide,C21H18O11,O=C(O)C1OC(c2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1O,UXSJYLHWPORWQF-UHFFFAOYSA-N,BloodExp:CID102030156,1.0,0.9999999992440503,0.9999999994708351
1,apigenin 7-O-glucuronide|Scutellarein-7-O-beta-D-Glucuronid (Scutellarin),C21H18O11,O=C(Oc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1)C1OC(O)C(O)C(O)C1O,LFYKLMBWGAMUQU-UHFFFAOYSA-N,PMHub:MS000202651,1.0,0.9463321576511632,0.9624325103558142
2,"3,4,5-Trihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid",C21H18O11,O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)C(O)C(O)C1O,JBFOLLJCGUCDQP-UHFFFAOYSA-N,BloodExp:CID5387370;;BloodExp:CID5319484;;BloodExp:CID12912214;;FDB021631;;PMHub:MS000010795,1.0,0.9187658754971393,0.9431361128479974
3,Norwogonin 8-glucuronide,C21H18O11,O=C(O)C1OC(Oc2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)C(O)C(O)C1O,YFWMSXQNCPRTKO-UHFFFAOYSA-N,PMHub:MS000049458,1.0,0.9126497554048488,0.9388548287833942
4,Oprea1_092553,C21H18O11,O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2O)C(O)C(O)C1O,MOFOLNOWFPVLGZ-UHFFFAOYSA-N,PMHub:MS000053836,1.0,0.9086291043739579,0.9360403730617706
5,"6-[(5,7-dihydroxy-4-oxo-2-phenyl-4H-chromen-6-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",C21H18O11,O=C(O)C1OC(Oc2c(O)cc3oc(-c4ccccc4)cc(=O)c3c2O)C(O)C(O)C1O,OJLSRRUAFRVUSN-UHFFFAOYSA-N,PMHub:MS000079511,1.0,0.9036924560326556,0.9325847192228589
6,baicalin,C21H18O11,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,IKIIZLYTISPENI-ZFORQUDYSA-N,CHEBI:2981;;C10025;;TCMSP:MOL002776,1.0,0.9036807775024371,0.932576544251706
7,CID 68980674,C21H18O11,O=C(O)C1OC(Oc2cc(O)c3c(=O)c(-c4ccc(O)cc4)coc3c2)C(O)C(O)C1O,JIVINIISUDEORF-UHFFFAOYSA-N,BloodExp:CID68980674;;BloodExp:CID15940724;;HMDB0257973;;PMHub:MS000176036,1.0,0.8849363419336114,0.9194554393535279
8,Rhein-8-glucoside,C21H18O11,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,WYKUTTFFZMQCGO-UHFFFAOYSA-N,BloodExp:CID5320961;;FDB010857;;HMDB0032877;;PMHub:MS000178428,1.0,0.8805500253963852,0.9163850177774695
9,"4-beta-D-Glucopyranosyloxy-5-hydroxy-9,10-dioxo-9,10-dihydro-anthracen-2-carbonsaeure|4-beta-D-glucopyranosyloxy-5-hydroxy-9,10-dioxo-9,10-dihydro-anthracene-2-carboxylic acid|4-O-beta-D-Glucopyranosyl-rhein",C21H18O11,O=C(O)c1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1)C(=O)c1cccc(O)c1C2=O,MNWWMLASERAKEI-UHFFFAOYSA-N,PMHub:MS000060754,1.0,0.8776045247933657,0.914323167355356
10,"1,3,9-trihydroxycoumestan-1-O-beta-glucopyranoside|hedysarimcoumestan C",C21H18O11,O=c1oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2c2oc3cc(O)ccc3c12,QDMKNHNZUGGVFN-UHFFFAOYSA-N,PMHub:MS000188590,1.0,0.8757707638389727,0.9130395346872808
11,"6-{[2-(3,4-dihydroxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",C21H18O11,O=C(O)C1OC(Oc2ccc3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1O,MSNBYHUUQKCKLR-UHFFFAOYSA-N,PMHub:MS000045171,1.0,0.874830023449477,0.9123810164146338
12,"6-[4-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",C21H18O11,O=C(O)C1OC(Oc2ccc(-c3cc(=O)c4c(O)cc(O)cc4o3)cc2)C(O)C(O)C1O,NKRGFKAFZUDVES-UHFFFAOYSA-N,PMHub:MS000118051,1.0,0.8727185353019564,0.9109029747113695
13,apigenin 7-O-beta-D-glucuronide,C21H18O11,O=C(O)C1OC(Oc2ccc3c(=O)cc(-c4ccc(O)cc4)oc3c2O)C(O)C(O)C1O,GTDSSCNJWWPJHR-UHFFFAOYSA-N,PMHub:MS000056626,1.0,0.8655821564614405,0.9059075095230082
14,CID 68979249,C21H18O11,O=C(O)C1OC(Oc2ccc(-c3coc4cc(O)cc(O)c4c3=O)cc2)C(O)C(O)C1O,NHEBJNCJBWUPCK-UHFFFAOYSA-N,BloodExp:CID68979249;;BloodExp:CID45782816;;BloodExp:CID124934066;;HMDB0257972,1.0,0.8595287049434218,0.9016700934603952
15,rhein-11-O-beta-D-glucoside|Rhein-acyl-beta-D-glucopyranosid,C21H18O11,O=C(OC1OC(CO)C(O)C(O)C1O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,JUXOHCYMNRGFMT-UHFFFAOYSA-N,PMHub:MS000070347,1.0,0.8491148804249538,0.8943804162974676
16,CID 53926842,C21H18O11,O=C(O)C1OC(Oc2cc(O)cc3occ(-c4ccc(O)cc4)c(=O)c23)C(O)C(O)C1O,IOJNOBYNWXBNBY-UHFFFAOYSA-N,BloodExp:CID53926842;;BloodExp:CID90925259;;HMDB0257878,1.0,0.8473078001303643,0.893115460091255
17,"4,5-dihydroxy-9,10-dioxo-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]anthracene-2-carboxylic acid",C21H18O11,O=C(O)c1cc(O)c2c(c1)C(=O)c1c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(O)c1C2=O,PGCSZXDXCSIDPZ-YCHGOBFUSA-N,TCMSP:MOL002367,1.0,0.8386721421642875,0.8870704995150012
18,"5,7,2'-Trihydroxyflavone 7-glucuronide",C21H18O11,O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccccc4O)oc3c2)C(O)C(O)C1O,ZUWLOUKBEQEHEC-UHFFFAOYSA-N,PMHub:MS000059545,1.0,0.8265117431342065,0.8785582201939446
19,Luteolinidin 4'-glucuronide,C21H18O11,O=C([O-])C1OC(Oc2ccc(-c3ccc4c(O)cc(O)cc4[o+]3)cc2O)C(O)C(O)C1O,JDGSZQVMIJJDBI-UHFFFAOYSA-N,PMHub:MS000244619,1.0,0.7064596998254282,0.7945217898777996
