formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C25H38O9	[M + Cl]-	C25H38O9	4.973071713224824	4.973071713224824	0.0	2	0.3957292302243031	-22.848308490860372	22.848308490860372	0.0014308978587231965		517.22098	NaN	1_challenge_0_	N/A
1	C46H74O18	[M + CH2O2 - H]-	C47H76O20	31.908896372933583	31.908896372933583	0.0	16	0.8396486705210019	-5.587071194693475	5.587071194693475	-0.002972331349067642		959.48572	NaN	2_challenge_1_	N/A
1	C33H44N4O10	[M + H]+	C33H44N4O10	53.5922313160073	53.5922313160073	0.0	33	0.9005533636563532	-0.8802768625117912	1.1900988169765503	-6.877856911438054E-4		657.31302	NaN	3_challenge_10_	N/A
1	C27H24O11	[M + H3N + H]+	C27H27NO11	64.29509205440309	64.29509205440309	0.0	12	0.9861861176896062	-0.636281648283152	1.2540220200304595	0.008211344277141739		542.16569	NaN	4_challenge_100_	N/A
1	C14H14Cl2N2O3	[M - H]-	C14H14Cl2N2O3	39.91137744114808	39.91137744114808	0.0	9	0.8811924218032371	-11.223763369195305	11.223763369195305	0.0013824093854701545		327.03087	NaN	5_challenge_101_	N/A
1	C21H22O8	[M - H]-	C21H22O8	105.19258813274124	105.19258813274124	0.0	46	0.9082366932210539	-4.2535553189731665	4.2535553189731665	0.001127058648877507		401.12419	NaN	6_challenge_102_	N/A
1	C6H7NO	[M + H]+	C6H7NO	37.90670035487313	37.90670035487313	0.0	17	0.959049280169891	1.6965261314115618	1.6965261314115618	-0.004107671892198757		110.06004	NaN	7_challenge_103_	N/A
1	C22H28N6O3S	[M + H]+	C22H28N6O3S	75.01618118747886	75.01618118747886	0.0	37	0.7565802485901669	-0.9313729474437954	1.047614507683109	-9.888206806127073E-4		457.20164	NaN	8_challenge_104_	N/A
1	C28H29N5OS	[M + H]+	C28H29N5OS	13.609400864217239	13.609400864217239	0.0	3	0.9575614894656205	-1.0686778847570402	1.0686778847570402	-9.336536293216562E-4		484.21656	NaN	9_challenge_105_	N/A
1	C33H46O19	[M + CH2O2 - H]-	C34H48O21	66.2816742568509	66.2816742568509	0.0	19	0.9055430722506708	-10.77883172690858	10.77883172690858	-0.003604256307336991		791.26153	NaN	10_challenge_106_	N/A
