,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,"2',6'-dihydroxy-4'-methoxydihydrochalcone",C16H16O4,COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1,MDMCODCJMHTFIZ-UHFFFAOYSA-N,CHEBI:28523;;FDB012836;;HMDB0034435;;C09644;;PMHub:MS000011499,1.0,0.9999999988465725,0.9999999991926007
1,Uvangoletin,C16H16O4,COc1cc(O)cc(O)c1C(=O)CCc1ccccc1,FYPYWIYWMVCNCS-UHFFFAOYSA-N,BloodExp:CID6483649;;NANPDB:6453;;PMHub:MS000097087;;TCMSP:MOL007748,1.0,0.9754730281042633,0.9828311196729842
2,"1-(2,4-dihydroxy-3-methoxyphenyl)-3-phenylpropan-1-one",C16H16O4,COc1c(O)ccc(C(=O)CCc2ccccc2)c1O,ITPFPXSYJTYULR-UHFFFAOYSA-N,PMHub:MS000074819,1.0,0.9681348991383426,0.9776944293968397
3,"2',4'-dihydroxy-3-(p-methoxyphenyl)-propiophenone",C16H16O4,COc1ccc(CCC(=O)c2ccc(O)cc2O)cc1,WHIXVXRRHPHWRQ-UHFFFAOYSA-N,PMHub:MS000218072,1.0,0.9625267148968969,0.9737687004278277
4,"3'-Methyl-2',4',6'-trihydroxydihydrochalcone",C16H16O4,Cc1c(O)cc(O)c(C(=O)CCc2ccccc2)c1O,NZHVJQHIGVGIBI-UHFFFAOYSA-N,PMHub:MS000200809,1.0,0.9597829403260298,0.9718480582282207
5,4'-O-Methyldavidigenin,C16H16O4,COc1ccc(C(=O)CCc2ccc(O)cc2)c(O)c1,MEZSKKITJGNMJJ-UHFFFAOYSA-N,PMHub:MS000033495,1.0,0.9561764332006221,0.9693235032404355
6,1-(4-hydroxy-2-methoxyphenyl)-3-(4-hydroxyphenyl)-1-propanone,C16H16O4,COc1cc(O)ccc1C(=O)CCc1ccc(O)cc1,FBRQAFNOISTEME-UHFFFAOYSA-N,PMHub:MS000229147,1.0,0.942667281098055,0.9598670967686385
7,"2',6'-dihydroxy-4'-methoxydihydrochalcone",C16H16O4,COc1cc(O)c(CCC(=O)c2ccccc2)c(O)c1,YKQDHGLAIZBHEU-UHFFFAOYSA-N,PMHub:MS000037200,1.0,0.9379579638072089,0.9565705746650461
8,SCHEMBL8115827,C16H16O4,COc1ccc(CCC(=O)c2c(O)cccc2O)cc1,JKGBZWLZBRANMY-UHFFFAOYSA-N,PMHub:MS000046838,1.0,0.9362299810891631,0.9553609867624142
9,Angolensin,C16H16O4,COc1ccc(C(C)C(=O)c2ccc(O)cc2O)cc1,CCOJFDRSZSSKOG-UHFFFAOYSA-N,BloodExp:CID3584988;;PMHub:MS000011417,1.0,0.9328172781152698,0.9529720946806888
