structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.3812062405668766	-23.21596291155794	C23H26O11	[M + H]+	LFKQVVDFNHDYNK	InChI=1S/C23H26O11/c24-14-4-1-12(9-16(14)26)3-6-19(28)33-11-18-20(29)21(30)22(31)23(34-18)32-8-7-13-2-5-15(25)17(27)10-13/h1-6,9-10,18,20-27,29-31H,7-8,11H2	Calceolarioside B	C1=CC(=C(C=C1CCOC2C(C(C(C(O2)COC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O)O)O	0.600000024	5273567;6320302;13962912;78380900	COCONUT:(CNP0167672);KNApSAcK:(33686);Natural Products:(UNPD213734 UNPD34469 UNPD13755 UNPD216219 UNPD48538 UNPD58733 UNPD93179);database;PubChem:(5273567 6320302 13962912 78380900);SuperNatural:(SN00257400 SN00158730 SN00020671 SN00285990 SN00369669 SN00354409);CHEBI:(68345);ZINC bio:(ZINC14512219);additional;MeSH:(5273567);Training Set;PubMed	68723204214
2	1	N/A	-31.803859573362576	C23H26O11	[M + H]+	UHIGZYLCYRQESL	InChI=1S/C23H26O11/c24-11-18-22(34-19(29)6-3-12-1-4-14(25)16(27)9-12)20(30)21(31)23(33-18)32-8-7-13-2-5-15(26)17(28)10-13/h1-6,9-10,18,20-28,30-31H,7-8,11H2	Calceolarioside A	C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O)O	0.600000024	5273566;10457774;78380899;117724332;117725316;123981689;133568297;135034771	COCONUT:(CNP0257381);KNApSAcK:(33685);Natural Products:(UNPD72808 UNPD135298 UNPD182055 UNPD226334);database;PubChem:(5273566 10457774 78380899 117724332 117725316 123981689 133568297 135034771);SuperNatural:(SN00346053 SN00028599 SN00160976);ZINC bio:(ZINC31156700);additional;MeSH:(5273566);Training Set;PubMed;KEGG Mine	77313138774
3	1	N/A	-52.00057840999321	C23H26O11	[M + H]+	KOZSJSLASZUUFT	InChI=1S/C23H26O11/c24-11-18-20(30)22(34-19(29)6-3-12-1-4-14(25)16(27)9-12)21(31)23(33-18)32-8-7-13-2-5-15(26)17(28)10-13/h1-6,9-10,18,20-28,30-31H,7-8,11H2	[(2R,3R,4S,5R,6R)-2-[2-(3,4-dihydroxyphenyl)ethoxy]-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O	1.10000002	5320625;6915840	COCONUT:(CNP0273704);KNApSAcK:(34207);Natural Products:(UNPD82240 UNPD28420);database;PubChem:(5320625 6915840);SuperNatural:(SN00278648 SN00272051 SN00168109)	68722655250
4	1	N/A	-78.94471490343592	C23H26O11	[M + H]+	BBKABLKRAVQMPE	InChI=1S/C23H26O11/c24-11-18-20(30)21(31)22(34-19(29)6-3-12-1-4-14(25)16(27)9-12)23(33-18)32-8-7-13-2-5-15(26)17(28)10-13/h1-6,9-10,18,20-28,30-31H,7-8,11H2	null	C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O	1.10000002	9847922	COCONUT:(CNP0241548);KNApSAcK:(33312);Natural Products:(UNPD24015 UNPD192357 UNPD137490);database;PubChem:(9847922);SuperNatural:(SN00329631 SN00298855)	68722655250
5	1	N/A	-83.1896181763031	C23H26O11	[M + H]+	GVSSDFQBUMXNHV	InChI=1S/C23H26O11/c24-11-18-20(29)21(30)22(31)23(34-18)32-8-7-13-2-5-17(16(27)10-13)33-19(28)6-3-12-1-4-14(25)15(26)9-12/h1-6,9-10,18,20-27,29-31H,7-8,11H2	null	C1=CC(=C(C=C1CCOC2C(C(C(C(O2)CO)O)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O	0.796790361	""	COCONUT:(CNP0233047);Natural Products:(UNPD137368);database;SuperNatural:(SN00261294)	68722655232
6	1	N/A	-89.77751781061075	C23H26O11	[M + H]+	OGOZNIDPPAXEHW	InChI=1S/C23H26O11/c24-8-7-13-2-5-17(16(27)10-13)33-23-22(31)21(30)20(29)18(34-23)11-32-19(28)6-3-12-1-4-14(25)15(26)9-12/h1-6,9-10,18,20-27,29-31H,7-8,11H2	Ibotanolide B	C1=CC(=C(C=C1CCO)O)OC2C(C(C(C(O2)COC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O	0.400000006	6442827	COCONUT:(CNP0275228);Natural Products:(UNPD52786);database;PubChem:(6442827);SuperNatural:(SN00356400)	68722655234
7	1	N/A	-108.21397271181199	C23H26O11	[M + H]+	UOIKECDNPFWDAD	InChI=1S/C23H26O11/c24-15-5-1-13(2-6-15)4-8-19(27)31-12-18-20(28)21(29)22(30)23(33-18)34-32-10-9-14-3-7-16(25)17(26)11-14/h1-8,11,18,20-26,28-30H,9-10,12H2	null	C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OOCCC3=CC(=C(C=C3)O)O)O)O)O)O	1.38475657	""	COCONUT:(CNP0075227);database	68721573888
8	1	N/A	-134.8007535672752	C23H26O11	[M + H]+	JWAHEYRSTXPNMP	InChI=1S/C23H26O11/c1-31-17-9-13(11-32-19(27)7-4-12-2-5-14(25)15(26)8-12)3-6-16(17)33-23-22(30)21(29)20(28)18(10-24)34-23/h2-9,18,20-26,28-30H,10-11H2,1H3	null	COC1=C(C=CC(=C1)COC(=O)C=CC2=CC(=C(C=C2)O)O)OC3C(C(C(C(O3)CO)O)O)O	0.757306099	101243962	COCONUT:(CNP0153442);Natural Products:(UNPD43750);database;PubChem:(101243962);SuperNatural:(SN00305753)	68722655234
9	1	N/A	-137.60731597728795	C23H26O11	[M + H]+	STEZVHWESYNLGU	InChI=1S/C23H26O11/c24-10-18-20(30)21(31)22(32)23(34-18)33-17(19(29)12-5-7-14(26)16(28)9-12)3-1-2-11-4-6-13(25)15(27)8-11/h4-9,17-32H,3,10H2	Nyasicoside	C1=CC(=C(C=C1C#CCC(C(C2=CC(=C(C=C2)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O)O	-0.200000003	10648327;10096607;13886494;13886495	COCONUT:(CNP0138356);KNApSAcK:(37565);Natural Products:(UNPD193769);database;PubChem:(10648327 10096607 13886494 13886495)	68721606674
10	1	N/A	-153.32090755364746	C23H26O11	[M + H]+	KUBJCXIFHMGBHZ	InChI=1S/C23H26O11/c24-14-5-7-23(31,8-6-14)9-10-32-22-21(30)20(29)19(28)17(34-22)12-33-18(27)4-2-13-1-3-15(25)16(26)11-13/h1-8,11,17,19-22,25-26,28-31H,9-10,12H2	null	C1=CC(=C(C=C1C=CC(=O)OCC2C(C(C(C(O2)OCCC3(C=CC(=O)C=C3)O)O)O)O)O)O	-0.699999988	14015431	COCONUT:(CNP0238635);Natural Products:(UNPD87683 UNPD180306);database;PubChem:(14015431);SuperNatural:(SN00238954 SN00330761)	68722655234
