Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C20H28O4/c1-11(2)16-6-13-7-19(10-22)15-5-4-12(3)14(15)8-18(13,9-21)20(16,19)17(23)24/h6,10-15,21H,4-5,7-9H2,1-3H3,(H,23,24)",1392.0;696.0;696.0;808.0;696.0;348.0,2,332.1987594,46794,C20H28O4,N,CC(C)C1=CC2CC3(C=O)C4CCC(C)C4CC2(CO)C13C(=O)O,83.0487442:[C5H6O]+H+;257.1903992:[C18H24O]+H+;259.2067871:[C18H26O]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H22O3]+H+;287.2012024:[C19H27O2]+,UHFFFAOYSA,QIMCUSGGYZHVEF,346.93243390006586,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,QIMCUSGGYZHVEF-UHFFFAOYSA-N,6,13
0.9923905473021967,"InChI=1S/C20H28O4/c1-13(12-21)14-7-10-20(24)15(11-14)5-6-16-18(2,17(22)23)8-4-9-19(16,20)3/h11-12,16,24H,4-10H2,1-3H3,(H,22,23)",696.0;796.0;696.0;808.0;796.0;348.0,2,332.1987594,380910,C20H28O4,N,CC(C=O)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2(O)CC1,83.0487442:[C5H6O]+H+;257.1903992:[C18H26O-H]+;259.2067871:[C18H26O]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H24O3-H]+;287.2012024:[C19H27O2]+,UHFFFAOYSA,DTLNNBJPRNNBTE,344.29246795496954,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,DTLNNBJPRNNBTE-UHFFFAOYSA-N,6,13
0.9916613184573647,"InChI=1S/C20H28O4/c1-12-9-19-11-20(12,24)8-5-14(19)17(2)6-4-7-18(3,16(22)23)15(17)13(19)10-21/h10,13-15,24H,1,4-9,11H2,2-3H3,(H,22,23)",1044.0;796.0;696.0;808.0;796.0;348.0,2,332.1987594,353591,C20H28O4,N,C=C1CC23CC1(O)CCC2C1(C)CCCC(C)(C(=O)O)C1C3C=O,83.0487442:[C5H7O]+;257.1903992:[C18H26O-H]+;259.2067871:[C18H26O]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H24O3-H]+;287.2012024:[C19H27O2]+,UHFFFAOYSA,DHEPJQQWDJWPJY,344.03947481696184,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,DHEPJQQWDJWPJY-UHFFFAOYSA-N,6,13
0.9913866426871198,"InChI=1S/C20H28O4/c1-11-8-20-9-12(11)4-5-14(20)18(2)7-6-15(22)19(3,17(23)24)16(18)13(20)10-21/h10,12-16,22H,1,4-9H2,2-3H3,(H,23,24)",1244.0;796.0;696.0;808.0;796.0;348.0,2,332.1987594,353570,C20H28O4,N,C=C1CC23CC1CCC2C1(C)CCC(O)C(C)(C(=O)O)C1C3C=O,83.0487442:[C5H9O-2H]+;257.1903992:[C18H26O-H]+;259.2067871:[C18H26O]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H24O3-H]+;287.2012024:[C19H27O2]+,UHFFFAOYSA,YMDYUWHAQBYOMU,343.9441808834574,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,YMDYUWHAQBYOMU-UHFFFAOYSA-N,6,13
0.9842168581864991,"InChI=1S/C20H28O4/c1-18-8-5-13(21)11-12(18)3-4-14-15(18)6-9-19(2)16(14)7-10-20(19,24)17(22)23/h11,14-16,24H,3-10H2,1-2H3,(H,22,23)",1044.0;796.0;696.0;808.0;1056.0;348.0,2,332.1987594,45825,C20H28O4,N,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)O,83.0487442:[C5H7O]+;257.1903992:[C18H26O-H]+;259.2067871:[C18H26O]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H23O3]+;287.2012024:[C19H27O2]+,UHFFFAOYSA,WOUANBAHNXSTSL,341.45675009611807,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,WOUANBAHNXSTSL-UHFFFAOYSA-N,6,13
0.9829839369026871,"InChI=1S/C20H28O4/c1-14-6-10-20(13-21)16(18(22)23)4-3-5-17(20)19(14,2)9-7-15-8-11-24-12-15/h4,8,11-12,14,17,21H,3,5-7,9-10,13H2,1-2H3,(H,22,23)/t14-,17-,19+,20-/m1/s1",448.0;696.0;896.0;808.0;696.0;348.0,2,332.1987594,312098,C20H28O4,N,C[C@@H]1CC[C@@]2(CO)C(C(=O)O)=CCC[C@@H]2[C@@]1(C)CCc1ccoc1,83.0487442:[C5H5O+H]+H+;257.1903992:[C18H24O]+H+;259.2067871:[C18H24O+2H]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H22O3]+H+;287.2012024:[C19H27O2]+,SIKIZQCASA,PHKSUFCCGLWIMC,341.029009714318,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,PHKSUFCCGLWIMC-SIKIZQCASA-N,6,13
0.9829839369026871,"InChI=1S/C20H28O4/c1-19-9-3-10-20(2,18(22)23)17(19)7-5-15(12-21)16(19)6-4-14-8-11-24-13-14/h5,8,11,13,16-17,21H,3-4,6-7,9-10,12H2,1-2H3,(H,22,23)",448.0;696.0;896.0;808.0;696.0;348.0,2,332.1987594,401529,C20H28O4,N,CC1(C(=O)O)CCCC2(C)C(CCc3ccoc3)C(CO)=CCC12,83.0487442:[C5H5O+H]+H+;257.1903992:[C18H24O]+H+;259.2067871:[C18H24O+2H]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H22O3]+H+;287.2012024:[C19H27O2]+,UHFFFAOYSA,ULGOGUNTFIHPHP,341.029009714318,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,ULGOGUNTFIHPHP-UHFFFAOYSA-N,6,13
0.9817600608291814,"InChI=1S/C20H28O4/c1-12(11-21)5-4-6-13(2)16-8-7-14(3)19-17(16)9-15(20(23)24)10-18(19)22/h5,9-10,13-14,16,21-22H,4,6-8,11H2,1-3H3,(H,23,24)",796.0;696.0;896.0;808.0;696.0;348.0,2,332.1987594,400897,C20H28O4,N,CC(=CCCC(C)C1CCC(C)c2c(O)cc(C(=O)O)cc21)CO,83.0487442:[C5H8O-H]+;257.1903992:[C18H24O]+H+;259.2067871:[C18H24O+2H]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H22O3]+H+;287.2012024:[C19H27O2]+,UHFFFAOYSA,NXCRMGUYKIJISM,340.6044074093446,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,NXCRMGUYKIJISM-UHFFFAOYSA-N,6,13
0.9815465862006233,"InChI=1S/C20H28O4/c1-13(2)16-6-5-14(3)17(20(16,4)9-7-19(22)23)11-18-15(12-21)8-10-24-18/h8,10,16-17,21H,1,3,5-7,9,11-12H2,2,4H3,(H,22,23)",896.0;696.0;896.0;808.0;696.0;348.0,2,332.1987594,435709,C20H28O4,N,C=C(C)C1CCC(=C)C(Cc2occc2CO)C1(C)CCC(=O)O,83.0487442:[C5H4O+2H]+H+;257.1903992:[C18H24O]+H+;259.2067871:[C18H24O+2H]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H22O3]+H+;287.2012024:[C19H27O2]+,UHFFFAOYSA,OOHQVMRGBAAJIU,340.53034613688305,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,OOHQVMRGBAAJIU-UHFFFAOYSA-N,6,13
0.9815397889554965,"InChI=1S/C20H28O4/c1-2-3-13-18(21)15-11-12-16-19(22)14-9-7-5-4-6-8-10-17-20(23)24/h3-4,6-7,9,11-13,15-16,19,22H,2,5,8,10,14,17H2,1H3,(H,23,24)",348.0;708.0;908.0;808.0;708.0;348.0,2,332.1987594,377822,C20H28O4,N,CCC=CC(=O)C=CC=CC(O)CC=CCC=CCCCC(=O)O,83.0487442:[C5H7O]+;257.1903992:[C18H24O]+H+;259.2067871:[C18H24O+2H]+H+;269.1911011:[C19H26O-H]+;287.1651611:[C18H22O3]+H+;287.2012024:[C19H27O2]+,UHFFFAOYSA,ZHQGOCLBNWZRIU,340.5279879520874,83.0487442_20.0;257.1903992_86.5;259.2067871_307.4;269.1911011_142.6;287.1651611_41.9;287.2012024_999.0,ZHQGOCLBNWZRIU-UHFFFAOYSA-N,6,13
