structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.857469007144841	-8.162632260850492	C24H30O8	[M - H]-	FJAZVHYPASAQKM	InChI=1S/C24H30O8/c1-24-9-8-14-13-5-3-12(10-11(13)2-4-15(14)16(24)6-7-17(24)25)31-23-20(28)18(26)19(27)21(32-23)22(29)30/h3,5,10,14-16,18-21,23,26-28H,2,4,6-9H2,1H3,(H,29,30)	Estrone glucuronide	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OC5C(C(C(C(O5)C(=O)O)O)O)O	2.22491431	115255;3616752;3616753;13783434;13783435;18602704;40473222;67518397;71316492;102255419;131705451;133688318;134081560;138114514;138402691	HMDB:(4483);SuperNatural:(SN00007006);ZINC bio:(ZINC04099004 ZINC13538750);additional;MeSH:(115255);PubMed;NORMAN:(NS00014415);COCONUT:(CNP0177844 CNP0297667);database;PubChem:(115255 3616752 3616753 13783434 13783435 18602704 40473222 67518397 71316492 102255419 131705451 133688318 134081560 138114514 138402691);CHEBI:(136634 28919);PubChem class - bio and metabolites;KEGG:(C11133);Training Set	68740211054
2	1	N/A	-129.65104373283512	C24H30O8	[M - H]-	ONSFTKIAPLNIDW	InChI=1S/C24H30O8/c1-24-9-8-14-13-5-3-12(10-11(13)2-4-15(14)16(24)6-7-17(24)25)31-23(30)21-19(27)18(26)20(28)22(29)32-21/h3,5,10,14-16,18-22,26-29H,2,4,6-9H2,1H3	null	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OC(=O)C5C(C(C(C(O5)O)O)O)O	2.22491431	""	COCONUT:(CNP0321596);Natural Products:(UNPD113827);database;SuperNatural:(SN00326943)	68722655232
3	1	N/A	-182.0641318900187	C24H30O8	[M - H]-	OZVKZCJKXSPBOI	InChI=1S/C24H30O8/c1-3-17(13-5-9-15(25)10-6-13)18(4-2)14-7-11-16(12-8-14)31-24-21(28)19(26)20(27)22(32-24)23(29)30/h5-12,17-22,24-28H,3-4H2,1-2H3,(H,29,30)	null	CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)OC3C(C(C(C(O3)C(=O)O)O)O)O	3.04857183	""	COCONUT:(CNP0243781);Natural Products:(UNPD166642);database;SuperNatural:(SN00380619)	68722655232
4	1	N/A	-325.1405885079783	C24H30O8	[M - H]-	HRLFUIXSXUASEX	InChI=1S/C24H30O8/c1-25-17-7-13(8-18(26-2)23(17)29-5)21-15-11-32-22(16(15)12-31-21)14-9-19(27-3)24(30-6)20(10-14)28-4/h7-10,15-16,21-22H,11-12H2,1-6H3	Yangabin	COC1=CC(=CC(=C1OC)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)OC)OC	2.9000001	1549056;99091;167452;443028;7098693;6560203;10049223;12697527;24838285;49855220;51407984;51407985;124514685;137470123;137705980	SuperNatural:(SN00024329 SN00036750 SN00036262 SN00020523 SN00011415 SN00357578 SN00228079 SN00011414);ZINC bio:(ZINC04098936 ZINC04897313 ZINC04897314 ZINC13660259 ZINC13660263 ZINC18285528);additional;MeSH:(99091 167452 443028 10049223 137705980);PubMed;COCONUT:(CNP0264911);KNApSAcK:(642);Natural Products:(UNPD190292 UNPD3158 UNPD109194 UNPD132367 UNPD196798);database;PubChem:(1549056 99091 167452 443028 7098693 6560203 10049223 12697527 24838285 49855220 51407984 51407985 124514685 137470123 137705980);CHEBI:(10088);KEGG:(C10894);Training Set	68723204470
5	1	N/A	-338.8460789146594	C24H30O8	[M - H]-	DZADNPBYQBBZIK	InChI=1S/C24H30O8/c1-15(25)31-13-19(9-17-5-7-21(27)23(11-17)29-3)20(14-32-16(2)26)10-18-6-8-22(28)24(12-18)30-4/h5-8,11-12,19-20,27-28H,9-10,13-14H2,1-4H3	null	CC(=O)OCC(CC1=CC(=C(C=C1)O)OC)C(CC2=CC(=C(C=C2)O)OC)COC(=O)C	3.70000005	10742020	COCONUT:(CNP0328524);Natural Products:(UNPD92299);database;PubChem:(10742020);SuperNatural:(SN00276197)	68722655234
6	1	N/A	-369.16029780363885	C24H30O8	[M - H]-	NKLSPZQYPWFUIO	InChI=1S/C24H30O8/c1-14(25)31-13-18-17(23(26)15-6-8-19(27-2)21(10-15)29-4)12-32-24(18)16-7-9-20(28-3)22(11-16)30-5/h6-11,17-18,23-24,26H,12-13H2,1-5H3	null	CC(=O)OCC1C(COC1C2=CC(=C(C=C2)OC)OC)C(C3=CC(=C(C=C3)OC)OC)O	2.5	10917282;102021577;102403083	COCONUT:(CNP0264226);Natural Products:(UNPD1707);database;PubChem:(10917282 102021577 102403083);SuperNatural:(SN00227987)	68722655234
7	1	N/A	-370.4037917146961	C24H30O8	[M - H]-	NUGNMKCLSNSPDK	InChI=1S/C24H30O8/c1-11-8-14-9-16(26)21(28-4)23(30-6)18(14)19-15(20(12(11)2)32-13(3)25)10-17(27)22(29-5)24(19)31-7/h9-12,20,26-27H,8H2,1-7H3	Marlignan E	CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C(C1C)OC(=O)C)O)OC)OC)OC)OC)O	4.0999999	46832249;102190028	COCONUT:(CNP0238515);Natural Products:(UNPD180986);database;PubChem:(46832249 102190028);SuperNatural:(SN00239283);PubMed	68722655298
8	1	N/A	-385.4911412734335	C24H30O8	[M - H]-	GTGWRSYHHGXYAS	InChI=1S/C24H30O8/c25-17-7-1-15(2-8-17)5-11-19(27)13-20(12-6-16-3-9-18(26)10-4-16)32-24-23(30)22(29)21(28)14-31-24/h1-4,7-10,20-26,28-30H,5-6,11-14H2	null	C1C(C(C(C(O1)OC(CCC2=CC=C(C=C2)O)CC(=O)CCC3=CC=C(C=C3)O)O)O)O	1.20000005	10599483;24013840	COCONUT:(CNP0313199);KNApSAcK:(31066);Natural Products:(UNPD71671);database;PubChem:(10599483 24013840);SuperNatural:(SN00029133 SN00029134);ZINC bio:(ZINC31160877 ZINC31160881);PubMed	68722663506
9	1	N/A	-386.6664895124284	C24H30O8	[M - H]-	AEHVJHNZMATJKQ	InChI=1S/C24H30O8/c1-8-9-16-10-18(27-4)24(19(11-16)28-5)31-14(2)22(26)17-12-20(29-6)23(30-7)21(13-17)32-15(3)25/h8-14,22,26H,1-7H3	null	CC=CC1=CC(=C(C(=C1)OC)OC(C)C(C2=CC(=C(C(=C2)OC(=O)C)OC)OC)O)OC	3.79999995	66552371	COCONUT:(CNP0118132);Natural Products:(UNPD227160);database;PubChem:(66552371)	68721606658
10	1	N/A	-388.274402235502	C24H30O8	[M - H]-	QWRNQLIWXKNUNM	InChI=1S/C24H30O8/c1-6-8-15(25)17-20(28)11(3)19(27)13(22(17)30)10-14-23(31)18(16(26)9-7-2)21(29)12(4)24(14)32-5/h27-31H,6-10H2,1-5H3	Margaspidin	CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(=C(C(=C2O)C(=O)CCC)O)C)OC)O)C)O	4.9000001	15854	COCONUT:(CNP0218843);KNApSAcK:(51483);Natural Products:(UNPD184518);database;PubChem class - safety and toxic;PubChem:(15854)	68788715538
