structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1342197843791973	-82.65077689182577	C16H28O7	[M + CH2O2 - H]-	BGHMHTHMLDKWCL	InChI=1S/C16H28O7/c1-15-5-3-9(4-6-15)16(2,23-15)8-21-14-13(20)12(19)11(18)10(7-17)22-14/h9-14,17-20H,3-8H2,1-2H3	null	CC12CCC(CC1)C(O2)(C)COC3C(C(C(C(O3)CO)O)O)O	-0.5	24769972	COCONUT:(CNP0184441);Natural Products:(UNPD67450);database;PubChem:(24769972);SuperNatural:(SN00161451)	68722655234
2	1	N/A	-85.8648759754472	C16H28O7	[M + CH2O2 - H]-	NWZYTZHMCGWGOF	InChI=1S/C16H28O7/c1-15(2)8-4-5-16(3,23-15)10(6-8)22-14-13(20)12(19)11(18)9(7-17)21-14/h8-14,17-20H,4-7H2,1-3H3	(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[[(1R,4S,5S)-2,2,4-trimethyl-3-oxabicyclo[2.2.2]octan-5-yl]oxy]oxane-3,4,5-triol	CC1(C2CCC(O1)(C(C2)OC3C(C(C(C(O3)CO)O)O)O)C)C	-0.400000006	10854025;21630948;21630950;23844043;51015079;51692989;51692990;51692991;51692992;73815050;101009026;101009027;101221138;100917677;110062415;124899924;124899925;124899926	COCONUT:(CNP0291100);HMDB:(33110);KNApSAcK:(31459);Natural Products:(UNPD4840 UNPD170433 UNPD2979 UNPD160480);database;PubChem:(10854025 21630948 21630950 23844043 51015079 51692989 51692990 51692991 51692992 73815050 101009026 101009027 101221138 100917677 110062415 124899924 124899925 124899926);SuperNatural:(SN00037537 SN00286124 SN00037263 SN00032780 SN00037538 SN00309736 SN00032779 SN00032781 SN00367810 SN00032782 SN00037539 SN00310692);ZINC bio:(ZINC15169388 ZINC31156872 ZINC31156876 ZINC31156880 ZINC35455284 ZINC35455288 ZINC35455293 ZINC35455296);PubChem class - bio and metabolites;Training Set	68739457050
3	1	N/A	-92.70022618565488	C16H28O7	[M + CH2O2 - H]-	GDLQRWXBAMRGNZ	InChI=1S/C16H28O7/c1-8(2)9-4-5-16(3,21)11(6-9)23-15-14(20)13(19)12(18)10(7-17)22-15/h9-15,17-21H,1,4-7H2,2-3H3	(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[(1S,2S,5R)-2-hydroxy-2-methyl-5-prop-1-en-2-ylcyclohexyl]oxyoxane-3,4,5-triol	CC(=C)C1CCC(C(C1)OC2C(C(C(C(O2)CO)O)O)O)(C)O	-0.100000001	11823766;101015654	COCONUT:(CNP0341177);Natural Products:(UNPD74255);database;PubChem:(11823766 101015654);SuperNatural:(SN00275499)	68722655234
4	1	N/A	-98.62665262173422	C16H28O7	[M + CH2O2 - H]-	WPVRGZPCRCFTNS	InChI=1S/C16H28O7/c1-15(2)8-4-5-16(3,23-15)6-9(8)21-14-13(20)12(19)11(18)10(7-17)22-14/h8-14,17-20H,4-7H2,1-3H3	(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(1R,4S,6R)-2,2,4-trimethyl-3-oxabicyclo[2.2.2]octan-6-yl]oxy]oxane-3,4,5-triol	CC1(C2CCC(O1)(CC2OC3C(C(C(C(O3)CO)O)O)O)C)C	-0.400000006	21630947;73815049;101208104;101717794;100934911	COCONUT:(CNP0107402);HMDB:(34772);Natural Products:(UNPD40481);database;PubChem:(21630947 73815049 101208104 101717794 100934911);SuperNatural:(SN00293048);PubChem class - bio and metabolites	68739432458
5	1	N/A	-105.66693303857757	C16H28O7	[M + CH2O2 - H]-	OCDWKDASQKOTIQ	InChI=1S/C16H28O7/c1-15-4-3-8(16(15,2)7-18)5-10(15)23-14-13(21)12(20)11(19)9(6-17)22-14/h8-14,17-21H,3-7H2,1-2H3	null	CC12CCC(C1(C)CO)CC2OC3C(C(C(C(O3)CO)O)O)O	-0.300000012	101371578	COCONUT:(CNP0183005);Natural Products:(UNPD147106 UNPD71463);database;PubChem:(101371578);SuperNatural:(SN00377211)	68722655234
6	1	N/A	-106.28459590979173	C16H28O7	[M + CH2O2 - H]-	KFYADNBPQFWEKA	InChI=1S/C16H28O7/c1-16(7-18)9-3-2-8(10(16)4-9)6-22-15-14(21)13(20)12(19)11(5-17)23-15/h8-15,17-21H,2-7H2,1H3	(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(1R,5R,6R)-6-(hydroxymethyl)-6-methyl-4-bicyclo[3.1.1]heptanyl]methoxy]oxane-3,4,5-triol	CC1(C2CCC(C1C2)COC3C(C(C(C(O3)CO)O)O)O)CO	-0.300000012	6325646;23304508;101606398	COCONUT:(CNP0312424);Natural Products:(UNPD78868 UNPD76193);database;PubChem:(6325646 23304508 101606398);SuperNatural:(SN00308643 SN00160919)	68722655234
7	1	N/A	-106.93118936573599	C16H28O7	[M + CH2O2 - H]-	MHVKRIHLNHCCSQ	InChI=1S/C16H28O7/c1-8(2)9-4-5-16(3,11(18)6-9)23-15-14(21)13(20)12(19)10(7-17)22-15/h9-15,17-21H,1,4-7H2,2-3H3	null	CC(=C)C1CCC(C(C1)O)(C)OC2C(C(C(C(O2)CO)O)O)O	-0.100000001	11099619	COCONUT:(CNP0175076);Natural Products:(UNPD101908);database;PubChem:(11099619);SuperNatural:(SN00336572)	68722655234
8	1	N/A	-108.5701405999476	C16H28O7	[M + CH2O2 - H]-	BWDNUPYHNRPALP	InChI=1S/C16H28O7/c1-10(2)4-3-5-11(6-7-17)9-22-16-15(21)14(20)13(19)12(8-18)23-16/h4,6,12-21H,3,5,7-9H2,1-2H3	null	CC(=CCCC(=CCO)COC1C(C(C(C(O1)CO)O)O)O)C	0.0945546329	""	COCONUT:(CNP0180500);Natural Products:(UNPD202634);database	68721606656
9	1	N/A	-109.10947326446163	C16H28O7	[M + CH2O2 - H]-	AOHQEWBMTRLCSX	InChI=1S/C16H28O7/c1-15(2)7-4-10(16(15,3)5-8(7)18)23-14-13(21)12(20)11(19)9(6-17)22-14/h7-14,17-21H,4-6H2,1-3H3	(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[(1R,2R,4R,5S)-2-hydroxy-4,7,7-trimethyl-5-bicyclo[2.2.1]heptanyl]oxy]oxane-3,4,5-triol	CC1(C2CC(C1(CC2O)C)OC3C(C(C(C(O3)CO)O)O)O)C	-0.200000003	10592671;11595149;21631082;23757177;101240503;101248933;100934914	COCONUT:(CNP0265012);Natural Products:(UNPD32274 UNPD139678 UNPD144496 UNPD41724);database;PubChem:(10592671 11595149 21631082 23757177 101240503 101248933 100934914);SuperNatural:(SN00393241 SN00160822)	68722655234
10	1	N/A	-112.36399879894522	C16H28O7	[M + CH2O2 - H]-	GMFYAZXWJRYMFV	InChI=1S/C16H28O7/c1-15-4-3-8(5-10(15)18)16(15,2)7-22-14-13(21)12(20)11(19)9(6-17)23-14/h8-14,17-21H,3-7H2,1-2H3	null	CC12CCC(C1(C)COC3C(C(C(C(O3)CO)O)O)O)CC2O	-0.300000012	11121133	COCONUT:(CNP0126062);Natural Products:(UNPD26477);database;PubChem:(11121133);SuperNatural:(SN00163391)	68722655234
