structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.20455950771255033	-91.74373371915242	C26H32O12	[M + CH2O2 - H]-	VXYKGOAXVHSLDD	InChI=1S/C26H32O12/c1-34-18-8-13(3-5-16(18)28)7-15-12-36-25(32)26(15,33)10-14-4-6-17(19(9-14)35-2)37-24-23(31)22(30)21(29)20(11-27)38-24/h3-6,8-9,15,20-24,27-31,33H,7,10-12H2,1-2H3	(-)-nortracheloside	COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O)O	0.699999988	45482323;75115391;101888307	COCONUT:(CNP0145459);KNApSAcK:(629);Natural Products:(UNPD84825 UNPD91529 UNPD186097);database;PubChem:(45482323 75115391 101888307);SuperNatural:(SN00393867 SN00310844);PubMed	68722655314
2	1	N/A	-91.74373371915242	C26H32O12	[M + CH2O2 - H]-	ITTBAZPFKIZCOW	InChI=1S/C26H32O12/c1-34-18-9-14(3-5-16(18)28)10-26(33)15(12-36-25(26)32)7-13-4-6-17(19(8-13)35-2)37-24-23(31)22(30)21(29)20(11-27)38-24/h3-6,8-9,15,20-24,27-31,33H,7,10-12H2,1-2H3	3-hydroxy-3-[(4-hydroxy-3-methoxyphenyl)methyl]-4-[[3-methoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl]oxolan-2-one	COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)OC4C(C(C(C(O4)CO)O)O)O	0.699999988	5320221;22524414	COCONUT:(CNP0301135);Natural Products:(UNPD57183);database;PubChem:(5320221 22524414);SuperNatural:(SN00167874)	68722655234
3	1	N/A	-104.90212282021999	C26H32O12	[M + CH2O2 - H]-	OCNGPRUKMVNWJN	InChI=1S/C26H32O12/c1-34-18-6-3-13(9-19(18)35-2)7-15-12-36-25(32)26(15,33)10-14-4-5-17(16(28)8-14)37-24-23(31)22(30)21(29)20(11-27)38-24/h3-6,8-9,15,20-24,27-31,33H,7,10-12H2,1-2H3	2(3H)-Furanone, 4-[(3,4-dimethoxyphenyl)methyl]-3-[[4-(.beta.-D-glucopyranosyloxy)-3-hydroxyphenyl]methyl]dihydro-3-hydroxy-, (3S,4S)-	COC1=C(C=C(C=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC	0.699999988	6482076;6482079	COCONUT:(CNP0259405);Natural Products:(UNPD12893);database;PubChem:(6482076 6482079);SuperNatural:(SN00238036);PubMed	68722655298
4	1	N/A	-122.4652432620445	C26H32O12	[M + CH2O2 - H]-	YAVQULWQXQRTKS	InChI=1S/C26H32O12/c1-34-18-8-13(3-5-16(18)28)7-15-12-36-25(33)26(15,10-14-4-6-17(29)19(9-14)35-2)38-24-23(32)22(31)21(30)20(11-27)37-24/h3-6,8-9,15,20-24,27-32H,7,10-12H2,1-2H3	null	COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)OC4C(C(C(C(O4)CO)O)O)O)O	0.899999976	72948060;89909564	COCONUT:(CNP0226997);Natural Products:(UNPD142281 UNPD228013);database;PubChem:(72948060 89909564);SuperNatural:(SN00370804);PubMed	68722655298
5	1	N/A	-133.93644405877646	C26H32O12	[M + CH2O2 - H]-	ORRYWOBRSQRASU	InChI=1S/C26H32O12/c1-33-17-7-12(3-5-15(17)28)23-14-10-35-24(26(14,32)11-36-23)13-4-6-16(18(8-13)34-2)37-25-22(31)21(30)20(29)19(9-27)38-25/h3-8,14,19-25,27-32H,9-11H2,1-2H3	(2S,3R,4S,5S,6R)-2-[4-[3a-hydroxy-6-(4-hydroxy-3-methoxyphenyl)-3,4,6,6a-tetrahydro-1H-furo[3,4-c]furan-3-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	COC1=C(C=CC(=C1)C2C3COC(C3(CO2)O)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)O	-0.600000024	5318328;14756313;14756314;22524283;46191689	COCONUT:(CNP0171099);HMDB:(33282);Natural Products:(UNPD94150);database;PubChem:(5318328 14756313 14756314 22524283 46191689);SuperNatural:(SN00177785 SN00166689);PubChem class - bio and metabolites;KEGG Mine	77329367050
6	1	N/A	-133.93644405877646	C26H32O12	[M + CH2O2 - H]-	GQLQVPZSTWXDBQ	InChI=1S/C26H32O12/c1-33-17-8-13(3-5-15(17)28)24-26(32)11-36-23(14(26)10-35-24)12-4-6-16(18(7-12)34-2)37-25-22(31)21(30)20(29)19(9-27)38-25/h3-8,14,19-25,27-32H,9-11H2,1-2H3	(2S,3R,4S,5S,6R)-2-[4-[3a-hydroxy-3-(4-hydroxy-3-methoxyphenyl)-3,4,6,6a-tetrahydro-1H-furo[3,4-c]furan-6-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	COC1=C(C=CC(=C1)C2C3COC(C3(CO2)O)C4=CC(=C(C=C4)O)OC)OC5C(C(C(C(O5)CO)O)O)O	-0.600000024	5318329;21591950;22524284;133556452	COCONUT:(CNP0182091);Natural Products:(UNPD115987);database;PubChem:(5318329 21591950 22524284 133556452);SuperNatural:(SN00038991);ZINC bio:(ZINC44431072);additional;Training Set;PubMed;KEGG Mine	77313138754
7	1	N/A	-145.51708189188122	C26H32O12	[M + CH2O2 - H]-	DRAPQDCEBKBPQE	InChI=1S/C26H32O12/c1-33-17-7-12(3-5-15(17)28)23-14-10-35-24(13-4-6-16(29)18(8-13)34-2)26(14,11-36-23)38-25-22(32)21(31)20(30)19(9-27)37-25/h3-8,14,19-25,27-32H,9-11H2,1-2H3	2-[[3,6-bis(4-hydroxy-3-methoxyphenyl)-3,4,6,6a-tetrahydro-1H-furo[3,4-c]furan-3a-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	COC1=C(C=CC(=C1)C2C3COC(C3(CO2)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)OC)O	-0.400000006	10098674;13995448;13995449;118723133;134715085;137705335	COCONUT:(CNP0134769);HMDB:(33281);KNApSAcK:(36439);Natural Products:(UNPD210944 UNPD54851);database;PubChem:(10098674 13995448 13995449 118723133 134715085 137705335);SuperNatural:(SN00310945);PubChem class - bio and metabolites;PubMed	68739432538
8	1	N/A	-178.96310171603236	C26H32O12	[M + CH2O2 - H]-	SLRXYRIKIJUNHR	InChI=1S/C26H32O12/c1-33-16-7-12(3-5-14(16)28)24-19-13(10-35-24)23(38-25(19)32)11-4-6-15(17(8-11)34-2)36-26-22(31)21(30)20(29)18(9-27)37-26/h3-8,13,18-32H,9-10H2,1-2H3	null	COC1=C(C=CC(=C1)C2C3C(CO2)C(OC3O)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)O	0.228256136	""	COCONUT:(CNP0210456);Natural Products:(UNPD120982);database;SuperNatural:(SN00268610);KEGG Mine	77312589824
9	1	N/A	-178.96310171603236	C26H32O12	[M + CH2O2 - H]-	BCIBSYKCKPSDSW	InChI=1S/C26H32O12/c1-33-16-7-11(3-5-14(16)28)23-13-10-35-24(19(13)25(32)38-23)12-4-6-15(17(8-12)34-2)36-26-22(31)21(30)20(29)18(9-27)37-26/h3-8,13,18-32H,9-10H2,1-2H3	null	COC1=C(C=CC(=C1)C2C3COC(C3C(O2)O)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)O	0.0	69652000;101376390	COCONUT:(CNP0111796);Natural Products:(UNPD31021);database;PubChem:(69652000 101376390);MeSH:(101376390);PubMed;KEGG Mine	77311541318
10	1	N/A	-181.69742814917228	C26H32O12	[M + CH2O2 - H]-	AUBYZINWDYPNHW	InChI=1S/C26H32O12/c1-33-16-7-11(3-5-14(16)28)23-13-10-35-24(12-4-6-15(29)17(8-12)34-2)19(13)25(37-23)38-26-22(32)21(31)20(30)18(9-27)36-26/h3-8,13,18-32H,9-10H2,1-2H3	(1R,3S,3aR,6R,6aS)-3,6-bis(4-hydroxy-3-methoxyphenyl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl beta-D-glucopyranoside	COC1=C(C=CC(=C1)C2C3COC(C3C(O2)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)OC)O	0.200000003	53359463;56678558;102384292;102449255	COCONUT:(CNP0127155);Natural Products:(UNPD43005 UNPD212796 UNPD229651);database;PubChem:(53359463 56678558 102384292 102449255);SuperNatural:(SN00249567);CHEBI:(68132);PubMed	68722655330
