structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.46679771514891044	-35.602589050964234	C21H28O2	[M + H]+	CHNXZKVNWQUJIB	InChI=1S/C21H28O2/c1-4-21(23)12-9-18-16-6-5-14-13-15(22)7-10-19(14,2)17(16)8-11-20(18,21)3/h1,13,16-18,23H,5-12H2,2-3H3	Colutoid	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C#C)O)C	4.11338854	3288;9901;657211;1415299;1415300;1415301;1415303;2754191;7059677;7061041;7148720;7148722;7210949;5284557;6604246;6984901;12016247;15558456;11869446;11869447;11869448;11869449;11885588;11885589;11885590;11890120;11890121;17756779;18530309;23968112;45357606;46781519;51414211;57270628;59976888;71316502;89336606;118055032;118198779;121232964;124896929;124303806;124362925;124428618;129009879;133688322	HMDB:(60580);ZINC bio:(ZINC03830794 ZINC03830795 ZINC03830796 ZINC03830797 ZINC03881635 ZINC04245645 ZINC04245646 ZINC04245647 ZINC04245648);additional;MeSH:(3288 5284557);PubMed;NORMAN:(NS00007266);COCONUT:(CNP0210481);database;PubChem:(3288 9901 657211 1415299 1415300 1415301 1415303 2754191 7059677 7061041 7148720 7148722 7210949 5284557 6604246 6984901 12016247 15558456 11869446 11869447 11869448 11869449 11885588 11885589 11885590 11890120 11890121 17756779 18530309 23968112 45357606 46781519 51414211 57270628 59976888 71316502 89336606 118055032 118198779 121232964 124896929 124303806 124362925 124428618 129009879 133688322);CHEBI:(34749);PubChem class - bio and metabolites;KEGG:(C14487);PubChem class - safety and toxic;Training Set	68806271342
2	1	N/A	-53.2574732686643	C21H28O2	[M + H]+	VRRHHTISESGZFN	InChI=1S/C21H28O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h6,12,16,18-19H,4-5,7-11H2,1-3H3	3,16-diene	CC(=O)C1=CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	3.9000001	101964;628507;13683359;24884291;44357420;91873440;124303800;124335862;124385918;134613222	HMDB:(995);SuperNatural:(SN00215888);ZINC bio:(ZINC00968157 ZINC04543816 ZINC05019996 ZINC05020000 ZINC05020002);additional;MeSH:(101964);PubMed;NORMAN:(NS00041680);COCONUT:(CNP0259051);database;PubChem:(101964 628507 13683359 24884291 44357420 91873440 124303800 124335862 124385918 134613222);CHEBI:(18204);PubChem class - bio and metabolites;KEGG:(C03207);PubChem class - safety and toxic;Training Set;Biocyc:(16-17-DIDEHYDROPROGESTERONE)	68807321966
3	1	N/A	-58.71527931329678	C21H28O2	[M + H]+	WAOKMNBZWBGYIK	InChI=1S/C21H28O2/c1-4-21(23)10-8-18-19-13(2)11-14-12-15(22)5-6-16(14)17(19)7-9-20(18,21)3/h1,12-13,16-19,23H,5-11H2,2-3H3	Isotibolone	CC1CC2=CC(=O)CCC2C3C1C4CCC(C4(CC3)C)(C#C)O	4.04950571	200224;285365;9818243;10064130;22814761;44264837;46783092;54420660;57346902;71752565;88054419;124918255;124918256;124918257;124918258;124936585;124936586;124936587;124936588;126968566;129009619;133687255;139025774	MeSH:(22814761);database;PubChem class - safety and toxic;PubChem:(200224 285365 9818243 10064130 22814761 44264837 46783092 54420660 57346902 71752565 88054419 124918255 124918256 124918257 124918258 124936585 124936586 124936587 124936588 126968566 129009619 133687255 139025774);PubMed	68786585670
4	1	N/A	-63.045628348408464	C21H28O2	[M + H]+	WDXRGPWQVHZTQJ	InChI=1S/C21H28O2/c1-4-16-19(23)12-18-15-6-5-13-11-14(22)7-9-20(13,2)17(15)8-10-21(16,18)3/h4,11,15,17-18H,5-10,12H2,1-3H3	GS, trans-	CC=C1C(=O)CC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	3.9000001	146898;3084731;6439929;6510278;6450277;6450278;6603858;13873622;16759145;21976524;53394010;66615119;68200208;73707425;125040600;125040601;122173093;122173119;124202152;124352385;126969187;134688871;139032010;139036141	SuperNatural:(SN00016233 SN00016252 SN00358930 SN00295494 SN00403594 SN00016251 SN00020535 SN00402134 SN00315902);ZINC bio:(ZINC08582051 ZINC08618455 ZINC08618457 ZINC13783214);additional;MeSH:(146898 6439929 6450278 53394010 122173093);PubMed;NORMAN:(NS00030501);COCONUT:(CNP0225987);KNApSAcK:(47241);Natural Products:(UNPD157926 UNPD9242 UNPD146749 UNPD126839 UNPD1250);database;PubChem:(146898 3084731 6439929 6510278 6450277 6450278 6603858 13873622 16759145 21976524 53394010 66615119 68200208 73707425 125040600 125040601 122173093 122173119 124202152 124352385 126969187 134688871 139032010 139036141);CHEBI:(94406 91934 135338);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubChem class - drug	68840906870
5	1	N/A	-65.60952964267995	C21H28O2	[M + H]+	JGMOKGBVKVMRFX	InChI=1S/C21H28O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4-5,12,16-19H,6-11H2,1-3H3	Dufaston	CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C	3.79999995	3181;9051;1547487;101994;1756576;461836;7001306;6604234;13657048;13657049;11875278;20056532;16399507;21146360;42602667;57236447;53954141;57369473;57369575;60148449;73759695;73896867;91873439;124514833;124514851;124935839;124935840;124225527;124304883;129009971;131708193;129897195;133587385;135134902;139024134;137704963	HMDB:(14522);SuperNatural:(SN00274600 SN00064472 SN00071036);ZINC bio:(ZINC03875998 ZINC04062252);additional;HSDB:(152-62-5);MeSH:(9051);PubMed;NORMAN:(NS00009687);COCONUT:(CNP0316697);Natural Products:(UNPD80351);database;PubChem:(3181 9051 1547487 101994 1756576 461836 7001306 6604234 13657048 13657049 11875278 20056532 16399507 21146360 42602667 57236447 53954141 57369473 57369575 60148449 73759695 73896867 91873439 124514833 124514851 124935839 124935840 124225527 124304883 129009971 131708193 129897195 133587385 135134902 139024134 137704963);CHEBI:(31527);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubChem class - drug;KEGG Mine	77430825582
6	1	N/A	-77.61114985788619	C21H28O2	[M + H]+	WWYNJERNGUHSAO	InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3	Capronor	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34	4.2690773	4542;13109;62929;188364;1201550;5702096;6552023;6604282;6973662;9938294;12598302;12598304;12598310;10335940;10470788;16051930;22796838;22798440;24212158;29985977;29985980;29985983;40517373;42052059;40469483;45040125;45040126;45357611;46782588;60148395;60162580;57514904;57514905;59072710;71751212;71751213;73707415;88617677;101591508;121231001;121231040;125117289;124079495;124903824;126968545;129009949;131708862;133686906;133686907;133686908;139025662;139025743;138106971;138402773	HMDB:(14511);ZINC bio:(ZINC03814395 ZINC03977930 ZINC03977931 ZINC03977932);additional;HSDB:(797-63-7 6533-00-2);MeSH:(4542 13109 62929 5702096 12598310 16051930 46782588 60148395 126968545);PubMed;NORMAN:(NS00002177);COCONUT:(CNP0335749);database;PubChem:(4542 13109 62929 188364 1201550 5702096 6552023 6604282 6973662 9938294 12598302 12598304 12598310 10335940 10470788 16051930 22796838 22798440 24212158 29985977 29985980 29985983 40517373 42052059 40469483 45040125 45040126 45357611 46782588 60148395 60162580 57514904 57514905 59072710 71751212 71751213 73707415 88617677 101591508 121231001 121231040 125117289 124079495 124903824 126968545 129009949 131708862 133686906 133686907 133686908 139025662 139025743 138106971 138402773);CHEBI:(6443 94795 7630 91741 50900);PubChem class - bio and metabolites;KEGG:(C08153 C08149);PubChem class - safety and toxic;PubChem class - drug	68839809902
7	1	N/A	-81.79086937817324	C21H28O2	[M + H]+	WZDGZWOAQTVYBX	InChI=1S/C21H28O2/c1-4-21(23)10-8-18-19-13(2)11-14-12-15(22)5-6-16(14)17(19)7-9-20(18,21)3/h1,13,17-19,23H,5-12H2,2-3H3	tibilone	CC1CC2=C(CCC(=O)C2)C3C1C4CCC(C4(CC3)C)(C#C)O	2.4000001	5470;21844;444008;16760228;20849285;40148203;44629797;49868163;54587893;57372431;60045497;60148444;58491104;71752564;71296931;73951793;88215804;87963580;89808865;94029866;117072362;119057247;124519220;125136780;124910562;124936624;124226320;124484332;129010162;131706269;133587891;133687253;133687254	ZINC bio:(ZINC03812889);additional;MeSH:(444008);PubMed;NORMAN:(NS00009920);COCONUT:(CNP0189316);database;PubChem:(5470 21844 444008 16760228 20849285 40148203 44629797 49868163 54587893 57372431 60045497 60148444 58491104 71752564 71296931 73951793 88215804 87963580 89808865 94029866 117072362 119057247 124519220 125136780 124910562 124936624 124226320 124484332 129010162 131706269 133587891 133687253 133687254);CHEBI:(32223);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubChem class - drug	68839825510
8	1	N/A	-82.94605082414975	C21H28O2	[M + H]+	IAIMXUPLBRRLGU	InChI=1S/C21H28O2/c1-4-13-12-21(3)14(11-18(13)22)5-6-15-16-7-8-19(23)20(16,2)10-9-17(15)21/h1,11,13,15-17,19,23H,5-10,12H2,2-3H3	(8R,9S,10R,13S,14S,17S)-2-ethynyl-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	CC12CCC3C(C1CCC2O)CCC4=CC(=O)C(CC34C)C#C	4.24595261	20610834	PubChem:(20610834);PubMed;database	68719476802
9	1	N/A	-89.64827137807222	C21H28O2	[M + H]+	UPKJTHPZSTZJNH	InChI=1S/C21H28O2/c1-4-21(23)12-9-18-16-6-5-14-13-15(22)7-10-19(14,2)17(16)8-11-20(18,21)3/h1,5,16-18,23H,6-13H2,2-3H3	null	CC12CCC(=O)CC1=CCC3C2CCC4(C3CCC4(C#C)O)C	2.9000001	12110102;54365373;54365374;54365375;57141687	PubChem:(12110102 54365373 54365374 54365375 57141687);database;KEGG Mine	77309411330
10	1	N/A	-92.44834783674514	C21H28O2	[M + H]+	CNHWGARUXXETPK	InChI=1S/C21H28O2/c1-4-13-5-6-16-15-12-19(23)18-11-14(22)7-9-21(18,3)17(15)8-10-20(13,16)2/h4,11,13,15-17H,1,5-10,12H2,2-3H3	(8S,9S,10R,13R,14S,17R)-17-ethenyl-10,13-dimethyl-2,7,8,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthrene-3,6-dione	CC12CCC3C(C1CCC2C=C)CC(=O)C4=CC(=O)CCC34C	4.5	15429665;18331135;53730153;53730154	MeSH:(15429665);database;PubChem:(15429665 18331135 53730153 53730154);PubMed	68719476806
