structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.2421286796972773	-21.90668381188193	C14H10O	[M + H]+	DZKIUEHLEXLYKM	InChI=1S/C14H10O/c15-14-9-10-5-1-2-6-11(10)12-7-3-4-8-13(12)14/h1-9,15H	9-Phenanthrenol	C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)O	3.49221206	10229;21337606;73056637	HMDB:(59801);ZINC bio:(ZINC00967824);additional;MeSH:(10229);PubMed;NORMAN:(NS00015630);COCONUT:(CNP0210210);database;PubChem:(10229 21337606 73056637);CHEBI:(28820);PubChem class - bio and metabolites;KEGG:(C11430);PubChem class - safety and toxic;Training Set	68806271342
2	1	N/A	-22.34840261846825	C14H10O	[M + H]+	NGPOABOEXMDQBT	InChI=1S/C14H10O/c15-12-8-7-11-6-5-10-3-1-2-4-13(10)14(11)9-12/h1-9,15H	3-Phenanthrol	C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)O	3.49221206	95724;46782718;73057263	HMDB:(59799);database;PubChem:(95724 46782718 73057263);PubMed;CHEBI:(20184);KEGG Mine	77309411434
3	1	N/A	-22.34840261846825	C14H10O	[M + H]+	YPWLZGITFNGGKW	InChI=1S/C14H10O/c15-12-7-8-14-11(9-12)6-5-10-3-1-2-4-13(10)14/h1-9,15H	2-Phenanthrol	C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)O	3.49221206	69061;73057264;71751562	NORMAN:(NS00034386);COCONUT:(CNP0400846);HMDB:(59798);Natural Products:(UNPD118116);database;PubChem:(69061 73057264 71751562);CHEBI:(19760);PubMed;KEGG Mine	77311803498
4	1	N/A	-22.369452035352584	C14H10O	[M + H]+	BQBWUVWMUXGILF	InChI=1S/C14H10O/c15-14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9,15H	2-Anthrol	C1=CC=C2C=C3C=C(C=CC3=CC2=C1)O	3.49221206	99503	database;PubChem:(99503);CHEBI:(37091);KEGG Mine	77309411362
5	1	N/A	-23.382590866530524	C14H10O	[M + H]+	SIMYIUXARJLHEA	InChI=1S/C14H10O/c15-13-7-3-5-11-9-8-10-4-1-2-6-12(10)14(11)13/h1-9,15H	4-Phenanthrol	C1=CC=C2C(=C1)C=CC3=C2C(=CC=C3)O	3.49221206	82105;73057262;131668277	NORMAN:(NS00046857);HMDB:(59800);database;PubChem:(82105 73057262 131668277);CHEBI:(20469);ZINC bio:(ZINC02558836);MeSH:(82105);PubMed;KEGG Mine	77309681774
6	1	N/A	-24.262159401293058	C14H10O	[M + H]+	GTBXZWADMKOZQJ	InChI=1S/C14H10O/c15-14-7-3-6-12-11-5-2-1-4-10(11)8-9-13(12)14/h1-9,15H	1-Phenanthrol	C1=CC=C2C(=C1)C=CC3=C2C=CC=C3O	3.49221206	98490;73057265;131668258	COCONUT:(CNP0172609);HMDB:(59797);database;PubChem:(98490 73057265 131668258);CHEBI:(27528);ZINC bio:(ZINC00967826);MeSH:(98490);KEGG:(C11432);PubMed	68721582446
7	1	N/A	-25.976591977383116	C14H10O	[M + H]+	MUVQKFGNPGZBII	InChI=1S/C14H10O/c15-14-7-3-6-12-8-10-4-1-2-5-11(10)9-13(12)14/h1-9,15H	1-Anthrol	C1=CC=C2C=C3C(=CC2=C1)C=CC=C3O	3.49221206	123077	database;PubChem:(123077);PubMed;CHEBI:(37090);KEGG Mine	77309411426
8	1	N/A	-30.631187900879382	C14H10O	[M + H]+	AUKRYONWZHRJRE	InChI=1S/C14H10O/c15-14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9,15H	9-Anthrol	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2O	3.49221206	10731;60075915	COCONUT:(CNP0113186);Natural Products:(UNPD24792);database;PubChem:(10731 60075915);SuperNatural:(SN00156371);CHEBI:(40753);ZINC bio:(ZINC01671624);PubChem class - bio and metabolites;MeSH:(10731);PubMed;KEGG Mine	77329375334
9	1	N/A	-169.22601086089435	C14H10O	[M + H]+	RJGDLRCDCYRQOQ	InChI=1S/C14H10O/c15-14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-8H,9H2	Anthranone	C1C2=CC=CC=C2C(=O)C3=CC=CC=C31	3.51565266	7018;129765853	NORMAN:(NS00014375);COCONUT:(CNP0144348);database;PubChem:(7018 129765853);CHEBI:(33835);ZINC bio:(ZINC01017610);additional;PubChem class - bio and metabolites;HSDB:(90-44-8);MeSH:(7018);PubChem class - safety and toxic;PubMed	68806255206
10	1	N/A	-171.14567729204575	C14H10O	[M + H]+	PXPGRGGVENWVBD	InChI=1S/C14H10O/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)14-13(11)15-14/h1-8,13-14H	9,10-Phenanthrene oxide	C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C42	2.5999999	104975;443196;124524308;124524309	MeSH:(104975);KEGG:(C11429);database;PubChem:(104975 443196 124524308 124524309);PubMed;CHEBI:(27950 25957)	68719477094
11	1	N/A	-173.9583650047427	C14H10O	[M + H]+	APMCUORPNXHBQK	InChI=1S/C14H10O/c1-2-7-13-10-15-14-8-4-3-6-12(14)9-11(13)5-1/h1-10H	Dibenz[b,e]oxepin	C1=CC=C2C(=C1)C=C3C=CC=CC3=CO2	3.20000005	20373272	PubChem:(20373272);PubMed;database	68719476802
12	1	N/A	-181.85318588211908	C14H10O	[M + H]+	SHJAOFFXDWCMOC	InChI=1S/C14H10O/c1-2-4-11-9(3-1)5-6-10-7-8-12-14(15-12)13(10)11/h1-8,12,14H	phenanthrene 3,4-oxide	C1=CC=C2C(=C1)C=CC3=C2C4C(O4)C=C3	3.0	148324;15619633;15619634;11966257;11966258	database;PubChem:(148324 15619633 15619634 11966257 11966258);PubMed;CHEBI:(37101 25955 37103);KEGG Mine	77309411426
13	1	N/A	-187.22586128080795	C14H10O	[M + H]+	ALTXUIJFJAHUPS	InChI=1S/C14H10O/c1-2-4-10-9(3-1)5-6-12-11(10)7-8-13-14(12)15-13/h1-8,13-14H	phenanthrene 1,2-oxide	C1=CC=C2C(=C1)C=CC3=C2C=CC4C3O4	3.0	148323;443197;11966259	KEGG:(C11431);database;PubChem:(148323 443197 11966259);PubMed;CHEBI:(37095 37094 28668)	68719477090
14	1	N/A	-188.6720121780995	C14H10O	[M + H]+	MNQGEQSXFDKAPY	InChI=1S/C14H10O/c15-9-10-5-6-14-12(7-10)8-11-3-1-2-4-13(11)14/h1-7,9H,8H2	Fluorene-2-carbaldehyde	C1C2=CC=CC=C2C3=C1C=C(C=C3)C=O	3.47825408	34804	NORMAN:(NS00050256);MeSH:(34804);database;PubChem:(34804);PubMed;ZINC bio:(ZINC01434605)	68719747142
15	1	N/A	-204.56636014346523	C14H10O	[M + H]+	HXMZLDUBSSPQIB	InChI=1S/C14H10O/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10H	2-phenylbenzofuran	C1=CC=C(C=C1)C2=CC3=CC=CC=C3O2	4.0	3517936;10488114;87149074	database;PubChem class - safety and toxic;PubChem:(3517936 10488114 87149074);PubMed	68786585666
