,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,Curvulide A,C10H14O4,C[C@@H]1CCC(O)C2OC2C=CC(=O)O1,HTBJFEKXOKTOLI-ACUKJOMKSA-N,NPA014675,1.0,0.999999998930547,0.9999999992513828
1,Modiolide A,C10H14O4,C[C@@H]1C[C@H](O)/C=C/[C@@H](O)/C=C\C(=O)O1,MKPZLFSGCUYQEY-JKPBTABPSA-N,NPA006477,1.0,0.9850695682139236,0.9895486977497465
2,"3,4-deoxy-3,4-didehydromultiplolide A",C10H14O4,C[C@H]1C[C@H](O)[C@H](O)/C=C/C=C\C(=O)O1,SAZJFRBQDIBJEF-NLCJYVHKSA-N,NPA013995,1.0,0.9776388063144651,0.9843471644201256
3,"(3aR,6S,7R,7aS)-6,7-dihydroxy-6-methyl-3-methylenehexahydrobenzofuran-2(3H)-one",C10H14O4,C=C1C(=O)O[C@H]2[C@@H]1CC[C@](C)(O)[C@@H]2O,ZVMVPIWZXUSVAO-JIOCBJNQSA-N,NPA000975,1.0,0.9410846049369336,0.9587592234558535
4,"3-(4-Hydroxy-3-methoxyphenyl)-1,2-propanediol",C10H14O4,COc1cc(CC(O)CO)ccc1O,QGFJORGLNPWXMK-UHFFFAOYSA-N,FDB011088;;HMDB0033093;;PMHub:MS000082566,1.0,0.9311009777780387,0.951770684444627
5,"threo-1-(4-Hydroxy-3-methoxyphenyl)propane-1,2-diol",C10H14O4,COc1cc(C(O)C(C)O)ccc1O,PZKYCBMLUGVAGH-UHFFFAOYSA-N,PMHub:MS000167370,1.0,0.9287441747940854,0.9501209223558598
6,Cephalosporolide B,C10H14O4,C[C@@H]1CCC(=O)/C=C\[C@@H](O)CC(=O)O1,OYHHNJLVXIIQGO-LEZDYHIDSA-N,NPA011504,1.0,0.9267770489755119,0.9487439342828583
7,Junipediol A,C10H14O4,COc1cc(C(CO)CO)ccc1O,UIDMTMWJXFPCFC-UHFFFAOYSA-N,PMHub:MS000120783,1.0,0.9034068672169678,0.9323848070518774
8,"4-(2-hydroxyethyl)-2,6-dimethoxyphenol",C10H14O4,COc1cc(CCO)cc(OC)c1O,BZMWVTKTSDHGBF-UHFFFAOYSA-N,PMHub:MS000233581;;TCMSP:MOL006777,1.0,0.8884962386940685,0.9219473670858478
9,Decarestrictine K,C10H14O4,CC1C/C=C\C(O)CC(=O)CC(=O)O1,YRYGUSBXGHCZEK-RQOWECAXSA-N,NPA007339,1.0,0.8827785545755366,0.9179449882028756
10,"2,6-Dimethoxy-4-(methoxymethyl)phenol",C10H14O4,COCc1cc(OC)c(O)c(OC)c1,LFAJIBQRSUUNSW-UHFFFAOYSA-N,PMHub:MS000154014,1.0,0.8768731700749359,0.913811219052455
11,"3,4,5-Trimethoxybenzyl alcohol",C10H14O4,COc1cc(CO)cc(OC)c1OC,QPHLRCUCFDXGLY-UHFFFAOYSA-N,PMHub:MS000059649,1.0,0.8754938651995532,0.9128457056396873
12,Decarestrictine H,C10H14O4,CC1CC(O)/C=C\CC(=O)CC(=O)O1,MVKKKYNXENCTKJ-IHWYPQMZSA-N,NPA012172,1.0,0.8751560458797503,0.9126092321158252
13,"5-(3-hydroxypropyl)-3-methoxybenzene-1,2-diol",C10H14O4,COc1cc(CCCO)cc(O)c1O,KMSAGIQULZSSAN-UHFFFAOYSA-N,PMHub:MS000217435,1.0,0.8747907992661652,0.9123535594863157
14,"1-(4-hydroxy-3,5-dimethoxyphenyl)ethanol",C10H14O4,COc1cc(C(C)O)cc(OC)c1O,DDDDTTULEBRRJZ-UHFFFAOYSA-N,CHEBI:86532,1.0,0.8582120925002231,0.9007484647501562
15,5-hydroxyramulosin,C10H14O4,CC1CC2C(=C(O)CCC2O)C(=O)O1,JWWNTVZAXCYTJC-UHFFFAOYSA-N,PMHub:MS000225221,1.0,0.8528033682751908,0.8969623577926336
16,"1,2,4,5-Tetramethoxybenzene",C10H14O4,COc1cc(OC)c(OC)cc1OC,JUVJUCAKSWHQEE-UHFFFAOYSA-N,BloodExp:CID97686;;HMDB0244146,1.0,0.8527348821628068,0.8969144175139647
17,Decarestrictine A1,C10H14O4,C[C@@H]1C[C@@H]2O[C@@H]2C=C[C@H](O)CC(=O)O1,JCWPVPJYCLLPQL-XAVMHZPKSA-N,NPA002014,1.0,0.85207470583759,0.8964522940863129
18,Stagonolide D,C10H14O4,C[C@@H]1OC(=O)CC[C@H](O)C=C[C@@H]2O[C@H]12,HKOAILQLQLJCFO-PYHGXSLLSA-N,NPA000589,1.0,0.8506359442097345,0.8954451609468141
19,"1-(3,4-dimethoxyphenyl)ethane-1,2-diol",C10H14O4,COc1ccc(C(O)CO)cc1OC,KFMXFWBXSCYUCM-UHFFFAOYSA-N,CHEBI:17007;;C16644;;PMHub:MS000025298,1.0,0.8500355619396961,0.8950248933577871
20,Decarestrictine I,C10H14O4,CC1CC(O)C2C=CC(CC(=O)O1)O2,BTLWKUIXHYMYIL-UHFFFAOYSA-N,NPA006685;;PMHub:MS000105643,1.0,0.849962163210914,0.8949735142476398
21,Norsantolinifolide B,C10H14O4,CC1C(=O)OC2C1CCC2(C)C(=O)O,OKNGZIPJMVOSQY-UHFFFAOYSA-N,PMHub:MS000212007,1.0,0.846560768278041,0.8925925377946287
22,"2,3,6-trimethoxy-5-methylphenol",C10H14O4,COc1cc(C)c(OC)c(O)c1OC,XWDRGCHMRPYINH-UHFFFAOYSA-N,PMHub:MS000031815,1.0,0.842666783435741,0.8898667484050187
23,6-Hydroxyramulosin,C10H14O4,C[C@@H]1C[C@@H]2C[C@@H](O)CC(O)=C2C(=O)O1,VXOJVQJURAQQOK-FSDSQADBSA-N,NPA007749,1.0,0.8402402062917145,0.8881681444042
24,"(2′R)-2-(2′-hydroxypropyl)-4-methoxyl-1,3-benzenediol",C10H14O4,COc1ccc(O)c(C[C@@H](C)O)c1O,PICCFCXWPQWOGZ-ZCFIWIBFSA-N,NPA024912,1.0,0.8360080267173529,0.8852056187021469
25,Annularin A,C10H14O4,CC[C@H](O)c1oc(=O)cc(OC)c1C,PMAGWBXRCQWPNQ-ZETCQYMHSA-N,NPA007923,1.0,0.8276865551882315,0.879380588631762
26,"(3R,4S,bR)-3,4,4a,5,6,7-Hexahydro-4,8-dihidroxy-3-methyl-1H-2-benzopyran-1-one",C10H14O4,C[C@H]1OC(=O)C2=C(O)CCC[C@H]2[C@@H]1O,DMSJNSRRGQBKJW-HCVRKRLWSA-N,NPA017301,1.0,0.8221421526717878,0.8754995068702514
