,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,o-Acetotoluidide,C9H11NO,CC(=O)Nc1ccccc1C,BPEXTIMJLDWDTL-UHFFFAOYSA-N,BloodExp:CID8443;;PMHub:MS000007740,1.0,0.999999999224414,0.9999999994570896
1,4-acetamidotoluene,C9H11NO,CC(=O)Nc1ccc(C)cc1,YICAMJWHIUMFDI-UHFFFAOYSA-N,CHEBI:143108,1.0,0.8691088306131757,0.9083761814292228
2,"2,6-Dimethylbenzamide",C9H11NO,Cc1cccc(C)c1C(N)=O,NXDXMSTXCYCUGG-UHFFFAOYSA-N,BloodExp:CID136406,1.0,0.777700561093217,0.8443903927652519
3,N-Benzylacetamide,C9H11NO,CC(=O)NCc1ccccc1,UZJLYRRDVFWSGA-UHFFFAOYSA-N,BloodExp:CID11500,1.0,0.7755503781228926,0.8428852646860248
4,"3,4-DIMETHYLBENZAMIDE",C9H11NO,Cc1ccc(C(N)=O)cc1C,INGCXEIJXKQPJH-UHFFFAOYSA-N,PMHub:MS000214594,1.0,0.7382020238716505,0.8167414167101552
5,N-Phenylpropanamide,C9H11NO,CCC(=O)Nc1ccccc1,ZTHRQJQJODGZHV-UHFFFAOYSA-N,BloodExp:CID12107;;HMDB0255232;;PMHub:MS000155968,1.0,0.7260579155368786,0.8082405408758149
6,2-(methylamino)-1-phenylethanone,C9H11NO,CNCC(=O)c1ccccc1,VVFCJVLORNFVHI-UHFFFAOYSA-N,PMHub:MS000187684,1.0,0.6940291894038172,0.785820432582672
7,N-Methyl-p-toluamide,C9H11NO,CNC(=O)c1ccc(C)cc1,FZIOOTTWDRFBKU-UHFFFAOYSA-N,PMHub:MS000146211,1.0,0.6836173818158033,0.7785321672710623
8,(2R)-2-Phenylpropanamide,C9H11NO,C[C@@H](C(N)=O)c1ccccc1,DOZZSWAOPDYVLH-SSDOTTSWSA-N,NIST:CASNone,1.0,0.6832412286372334,0.7782688600460633
9,N-Methyl-2-phenylacetamide,C9H11NO,CNC(=O)Cc1ccccc1,RKEXPBCMGJAOLM-UHFFFAOYSA-N,PMHub:MS000099510,1.0,0.6818272291657386,0.7772790604160169
10,"Acetamide, N-methyl-N-phenyl-",C9H11NO,CC(=O)N(C)c1ccccc1,LMTGCJANOQOGPI-UHFFFAOYSA-N,DTXSID8060373,1.0,0.6808316538271026,0.7765821576789718
11,cathinone,C9H11NO,C[C@H](N)C(=O)c1ccccc1,PUAQLLVFLMYYJJ-ZETCQYMHSA-N,CHEBI:4110;;DB01560;;C08301;;DTXSID0050427,1.0,0.6736165114309369,0.7715315580016557
12,4'-Aminopropiophenone,C9H11NO,CCC(=O)c1ccc(N)cc1,FSWXOANXOQPCFF-UHFFFAOYSA-N,BloodExp:CID6270;;HMDB0246624;;PMHub:MS000048316,1.0,0.6413880948258303,0.7489716663780812
13,Isopropyl 2-pyridyl ketone,C9H11NO,CC(C)C(=O)c1ccccn1,OPPJOYDMQXHCFS-UHFFFAOYSA-N,NIST:CASNone,1.0,0.6268785098229871,0.7388149568760909
14,3-Phenylpropanamide,C9H11NO,N=C(O)CCc1ccccc1,VYIBCOSBNVFEIW-UHFFFAOYSA-N,PMHub:MS000080125,1.0,0.6007821842047959,0.7205475289433572
15,3-Phenyl-2-amino-propanal,C9H11NO,NC(C=O)Cc1ccccc1,CQIUZHAQYHXKRY-UHFFFAOYSA-N,BloodExp:CID3300397;;BloodExp:CID446207,1.0,0.6001743370392715,0.72012203592749
16,"2,5-dimethylbenzamide",C9H11NO,Cc1ccc(C)c(C(=N)O)c1,GOEASVSGVVOTLQ-UHFFFAOYSA-N,PMHub:MS000069844,1.0,0.5926773035295734,0.7148741124707013
