,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,8-Hydroxygeraniol 8-O-glucoside,C16H28O7,C/C(=C/CC/C(C)=C/COC1OC(CO)C(O)C(O)C1O)CO,XZHWSTJFHFQEOY-NYHKZRGGSA-N,FDB013630;;FDB013631;;HMDB0035025,0.9999789273104576,0.9999999991157342,0.9999936775741511
1,8-hydroxygeraniol 8-O-beta-D-glucopyranoside|8-Hydroxygeraniol-8-O-beta-D-glucoside,C16H28O7,CC(=CCO)CCC=C(C)COC1OC(CO)C(O)C(O)C1O,KWOQENQYJLETML-UHFFFAOYSA-N,PMHub:MS000127856,0.9999789273104576,0.9846207753328831,0.9892282209261554
2,alpha-(E)-acaridiol 8-O-beta-D-glucopyranoside,C16H28O7,CC(C)=CCCC(=CCOC1OC(CO)C(O)C(O)C1O)CO,SFENAQUWRVRAGF-UHFFFAOYSA-N,PMHub:MS000132237,0.9999789273104576,0.9642605915332522,0.9749760922664138
3,Rosiridin,C16H28O7,CC(C)=CCC(O)C(C)=CCOC1OC(CO)C(O)C(O)C1O,PBPYEEMQIFDGSQ-UHFFFAOYSA-N,PMHub:MS000011606,0.9999789273104576,0.9609620747845438,0.9726671305423179
4,"(S)-p-Menth-1-ene-4,7-diol 4-glucoside",C16H28O7,CC(C)C1(OC2OC(CO)C(O)C(O)C2O)CC=C(CO)CC1,WBDMFFSFFQSHFV-UHFFFAOYSA-N,FDB018467;;HMDB0038981;;PMHub:MS000012694,0.9999789273104576,0.9577930169812051,0.9704487900799809
5,alpha-(E)-acaridiol 9-O-beta-D-glucopyranoside,C16H28O7,CC(C)=CCCC(=CCO)COC1OC(CO)C(O)C(O)C1O,BWDNUPYHNRPALP-UHFFFAOYSA-N,PMHub:MS000132236,0.9999789273104576,0.9557047051140091,0.9689869717729436
6,Betulalbuside A,C16H28O7,C=CC(C)(O)CC/C=C(\C)COC1OC(CO)C(O)C(O)C1O,WEHZDNHJZBEGME-UXBLZVDNSA-N,FDB014342;;HMDB0035634,0.9999789273104576,0.9184373944084953,0.942899854279084
7,"(2S)-3,7-dimethyloct-3(10),6-diene-1,2-diol 2-O-beta-D-glucopyranoside",C16H28O7,C=C(CCC=C(C)C)C(CO)OC1OC(CO)C(O)C(O)C1O,RUPTZFKCPVTXTO-UHFFFAOYSA-N,PMHub:MS000056963,0.9999789273104576,0.9129133426388154,0.939033018040308
8,"(4R,6S)-p-Menth-1-ene-4,6-diol 4-glucoside",C16H28O7,CC1=CCC(OC2OC(CO)C(O)C(O)C2O)(C(C)C)CC1O,HLDKDYHDZWXFNX-UHFFFAOYSA-N,FDB018466;;HMDB0038980;;PMHub:MS000090753,0.9999789273104576,0.9062033403903662,0.9343360164663935
9,NP-024069,C16H28O7,CC(C)=CC/C=C(\C)C(CO)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,JPFNJNIYHKVTDX-MIYBPCGNSA-N,NIST:CASNone,0.9999789273104576,0.8968493173591933,0.9277882003445725
