,Title,MolecularFormula,CanonicalSMILES,InChIKey,Database IDs,Formula Score,Structure Score,Consensus Score
0,N-(2-Hydroxypropyl)dodecanamide,C15H31NO2,CCCCCCCCCCCC(=O)NCC(C)O,MMBILEWCGWTAOV-UHFFFAOYSA-N,PMHub:MS000007894,1.0,0.9999999993751941,0.9999999995626359
1,N-Dodecyl-.beta.-alanine,C15H31NO2,CCCCCCCCCCCCNCCC(=O)O,AEDQNOLIADXSBB-UHFFFAOYSA-N,NIST:CASNone,1.0,0.8286590662541677,0.8800613463779174
2,N-Dodecylsarcosinate,C15H31NO2,CCCCCCCCCCCCN(C)CC(=O)O,BMYCCWYAFNPAQC-UHFFFAOYSA-N,BloodExp:CID61426;;HMDB0255129,1.0,0.7626702067551643,0.8338691447286148
3,D-erythro-Sphingosine C-15,C15H31NO2,CCCCCCCCCCC=CC(O)C(N)CO,KWQIYZIHZCLRSR-UHFFFAOYSA-N,BloodExp:CID91746220;;PMHub:MS000240153,1.0,0.7540107880984604,0.8278075516689223
4,15-Aminopentadecanoic acid,C15H31NO2,NCCCCCCCCCCCCCCC(=O)O,LDOUJNADNJHDOO-UHFFFAOYSA-N,BloodExp:CID15420362,1.0,0.7285164935962688,0.8099615455173881
5,Lauryl sarcosinate,C15H31NO2,CCCCCCCCCCCCOC(=O)CNC,TXNJAVCZNMSELK-UHFFFAOYSA-N,BloodExp:CID9816569,1.0,0.6927906873396475,0.7849534811377532
6,"clavaminol N|N-[(2R,3S)-3-hydroxy-11-methyldodecan-2-yl]acetamide",C15H31NO2,CC(=O)NC(C)C(O)CCCCCCCC(C)C,PRFSPTJBPXYTAI-UHFFFAOYSA-N,PMHub:MS000072552,1.0,0.6291588069138244,0.7404111648396771
7,Andrachamine,C15H31NO2,CCCCC(O)CC1CCCC(CC(O)CC)N1,RXJHXBORQMLXBV-UHFFFAOYSA-N,PMHub:MS000174339,1.0,0.5667481045397983,0.6967236731778588
8,Andrachamine,C15H31NO2,CCCC(O)CC1CCCC(CC(O)CCC)N1,YASYAQIAFYRYBX-UHFFFAOYSA-N,PMHub:MS000054243,1.0,0.5246714172099828,0.6672699920469879
9,8-Ethyl-10-propyllobelidiol,C15H31NO2,CCCC(O)CC1CCCC(CC(O)CC)N1C,BXDMRIPPLXNONS-UHFFFAOYSA-N,PMHub:MS000163192,1.0,0.4947019776640928,0.646291384364865
