structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.32399548723984206	-13.28195416294204	C17H20O6	[M + H]+	HPNSFSBZBAHARI	InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)	Myfortic	CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O	3.20000005	4272;671222;446541;6918995;10403838;45039976;49849463;57369301;58657603;71312440;117064411;131871372;134715840;138396099	HMDB:(15159);SuperNatural:(SN00264803 SN00000151 SN00403645);ZINC bio:(ZINC00001758);additional;MeSH:(446541);Plantcyc:(CPD-14601);PubMed;NORMAN:(NS00000399);COCONUT:(CNP0226549 CNP0253971);KNApSAcK:(18753);Natural Products:(UNPD220071 UNPD188849 UNPD133303);database;PubChem:(4272 671222 446541 6918995 10403838 45039976 49849463 57369301 58657603 71312440 117064411 131871372 134715840 138396099);CHEBI:(92545 62932 168396);PubChem class - bio and metabolites;KEGG:(C20380);PubChem class - safety and toxic;PubChem class - drug;Biocyc:(CPD-14601)	68841023870
2	1	N/A	-15.673993757937364	C17H20O6	[M + H]+	DTZAEEQSFNGGEJ	InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)10(2)12-8-23-17(21)14(12)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)	null	CC1=C(C(=C(C2=C1COC2=O)OC)CC=C(C)CCC(=O)O)O	2.911901	""	COCONUT:(CNP0419133);Natural Products:(UNPD306);database	68721606656
3	1	N/A	-202.01986334920946	C17H20O6	[M + H]+	NSPVWZKDDNWEAO	InChI=1S/C17H20O6/c1-9(2)6-7-22-14-10(3)15(20-4)13(16(18)21-5)12-11(14)8-23-17(12)19/h6H,7-8H2,1-5H3	methyl 5-methoxy-6-methyl-7-(3-methylbut-2-enoxy)-3-oxo-1H-2-benzofuran-4-carboxylate	CC1=C(C2=C(C(=C1OC)C(=O)OC)C(=O)OC2)OCC=C(C)C	3.0	21672090	COCONUT:(CNP0359189);Natural Products:(UNPD160251);database;PubChem:(21672090)	68721606658
4	1	N/A	-301.51596622653665	C17H20O6	[M + H]+	RBSLQVRZZJZYDP	InChI=1S/C17H20O6/c1-22-14-7-6-11(15(20)16(14)21)5-3-4-10-8-12(18)17(23-2)13(19)9-10/h6-9,18-21H,3-5H2,1-2H3	Bussealin A	COC1=C(C(=C(C=C1)CCCC2=CC(=C(C(=C2)O)OC)O)O)O	3.20000005	50900234	COCONUT:(CNP0151643);Natural Products:(UNPD134666);database;PubChem:(50900234);SuperNatural:(SN00276661);CHEBI:(70348);MeSH:(50900234);PubMed	68722655334
5	1	N/A	-313.5219622427567	C17H20O6	[M + H]+	CTVPLMAZKHJHEI	InChI=1S/C17H20O6/c1-9-4-13(20)6-12(8-18)7-15(22-11(3)19)16-10(2)17(21)23-14(16)5-9/h5-6,8,13-16,20H,2,4,7H2,1,3H3	null	CC1=CC2C(C(CC(=CC(C1)O)C=O)OC(=O)C)C(=C)C(=O)O2	1.49017894	""	COCONUT:(CNP0306161);Natural Products:(UNPD63315);database;SuperNatural:(SN00384988)	68722655232
6	1	N/A	-316.005546903361	C17H20O6	[M + H]+	HDEPPYRXHLVZEU	InChI=1S/C17H20O6/c1-9-5-4-6-12(16(19)20)8-14(22-11(3)18)15-10(2)17(21)23-13(15)7-9/h6-7,13-15H,2,4-5,8H2,1,3H3,(H,19,20)	null	CC1=CC2C(C(CC(=CCC1)C(=O)O)OC(=O)C)C(=C)C(=O)O2	2.17245746	""	COCONUT:(CNP0286423);Natural Products:(UNPD155689);database;SuperNatural:(SN00399703)	68722655232
7	1	N/A	-318.85915957742264	C17H20O6	[M + H]+	SCQKDVLSWHOOIA	InChI=1S/C17H20O6/c1-19-11-8-14(22-4)17(15(9-11)23-5)16-12(20-2)6-10(18)7-13(16)21-3/h6-9,18H,1-5H3	[1,1''-Biphenyl]-4-ol, 2,2'',4'',6,6''-pentamethoxy-	COC1=CC(=C(C(=C1)OC)C2=C(C=C(C=C2OC)O)OC)OC	3.0	59843691	COCONUT:(CNP0112381);Natural Products:(UNPD104719);database;PubChem:(59843691)	68721606658
8	1	N/A	-325.59494870697563	C17H20O6	[M + H]+	JUPBOGOLFJPVQW	InChI=1S/C17H20O6/c1-10-16-14(20)6-12(8-18)4-3-5-13(9-22-11(2)19)7-15(16)23-17(10)21/h4,7-8,14-16,20H,1,3,5-6,9H2,2H3	urospermal A-15-O-acetate	CC(=O)OCC1=CC2C(C(CC(=CCC1)C=O)O)C(=C)C(=O)O2	0.5	71598119;101872088	COCONUT:(CNP0289589);Natural Products:(UNPD80511 UNPD158814 UNPD28041);database;PubChem:(71598119 101872088);SuperNatural:(SN00366244 SN00360664 SN00365490);PubMed	68722655298
9	1	N/A	-343.14378001630104	C17H20O6	[M + H]+	BYRZLWJKTOLLBX	InChI=1S/C17H20O6/c1-5-12-8(3)14(18)10(16(20)22-12)7-11-15(19)9(4)13(6-2)23-17(11)21/h18-19H,5-7H2,1-4H3	helipyrone	CCC1=C(C(=C(C(=O)O1)CC2=C(C(=C(OC2=O)CC)C)O)O)C	1.79999995	54709865	COCONUT:(CNP0106442);HMDB:(30742);Natural Products:(UNPD42417);database;PubChem:(54709865);SuperNatural:(SN00311866);additional;PubChem class - bio and metabolites;PubMed	68739956810
10	1	N/A	-343.2995705449847	C17H20O6	[M + H]+	BYCPFZFTIITTGD	InChI=1S/C17H20O6/c1-10-16-14(20)6-13(9-22-11(2)19)5-3-4-12(8-18)7-15(16)23-17(10)21/h4,6,8,14-16,20H,1,3,5,7,9H2,2H3	null	CC(=O)OCC1=CC(C2C(CC(=CCC1)C=O)OC(=O)C2=C)O	1.48687053	""	COCONUT:(CNP0331293);Natural Products:(UNPD9612);database;SuperNatural:(SN00293270)	68722655232
11	1	N/A	-345.0309021019554	C17H20O6	[M + H]+	NLNHSFBYVSNFRF	InChI=1S/C17H20O6/c1-3-4-5-6-7-8-12(19)15-13(23-2)9-11(10-18)14(16(15)20)17(21)22/h5-9,18,20H,3-4,10H2,1-2H3,(H,21,22)	Cavoxin	CCCC=CC=CC(=O)C1=C(C=C(C(=C1O)C(=O)O)CO)OC	2.9000001	180950;6442529	COCONUT:(CNP0145938);KNApSAcK:(23736);Natural Products:(UNPD185663);database;PubChem:(180950 6442529);SuperNatural:(SN00395670)	68722655250
12	1	N/A	-358.1300002678408	C17H20O6	[M + H]+	HXGJNDZUVVMTKW	InChI=1S/C17H20O6/c1-8-5-6-17(23-20)9(2)7-12(21-11(4)18)13-10(3)16(19)22-15(13)14(8)17/h5,12-15,20H,2-3,6-7H2,1,4H3	null	CC1=CCC2(C1C3C(C(CC2=C)OC(=O)C)C(=C)C(=O)O3)OO	1.79934704	""	COCONUT:(CNP0405992);Natural Products:(UNPD196521);database;SuperNatural:(SN00345646)	68722655232
13	1	N/A	-368.02118581911947	C17H20O6	[M + H]+	DFUOJBWSSSODTR	InChI=1S/C17H20O6/c1-22-15-7-10(3-5-13(15)19)12(9-18)17(21)11-4-6-14(20)16(8-11)23-2/h3-8,12,17-21H,9H2,1-2H3	bmse010100	COC1=C(C=CC(=C1)C(CO)C(C2=CC(=C(C=C2)O)OC)O)O	1.39999998	6426042;12468616;12468617;12468618;11290161;56838657	COCONUT:(CNP0189763);Natural Products:(UNPD54204 UNPD182177 UNPD80171 UNPD165099);database;PubChem:(6426042 12468616 12468617 12468618 11290161 56838657);SuperNatural:(SN00370405 SN00270593 SN00347106 SN00301949);CHEBI:(86530);PubMed	68722655330
14	1	N/A	-370.8351431689686	C17H20O6	[M + H]+	DAUILYLMDJDJNB	InChI=1S/C17H20O6/c1-6-10-5-11(19)7(2)12(10)16-13(8(3)17(21)23-16)14(20)15(6)22-9(4)18/h10-16,19-20H,1-3,5H2,4H3	null	CC(=O)OC1C(C2C(C3C(C1=C)CC(C3=C)O)OC(=O)C2=C)O	-0.200000003	10687157	COCONUT:(CNP0128263);Natural Products:(UNPD49103);database;PubChem:(10687157);SuperNatural:(SN00361060)	68722655234
15	1	N/A	-373.79874046051214	C17H20O6	[M + H]+	CFCUACRLPCNJDU	InChI=1S/C17H20O6/c1-6-10-5-11(22-9(4)18)7(2)12(10)16-13(15(20)14(6)19)8(3)17(21)23-16/h10-16,19-20H,1-3,5H2,4H3	null	CC(=O)OC1CC2C(C1=C)C3C(C(C(C2=C)O)O)C(=C)C(=O)O3	-0.200000003	101036703	COCONUT:(CNP0251602);KNApSAcK:(20860);Natural Products:(UNPD132080);database;PubChem:(101036703);SuperNatural:(SN00341645);MeSH:(101036703);PubMed	68722655318
16	1	N/A	-376.19792884086894	C17H20O6	[M + H]+	MBSONWVPLADQOL	InChI=1S/C17H20O6/c1-8-4-5-12(21-10(3)18)11-7-14(23-17(11)20)15-9(2)16(19)22-13(15)6-8/h4,7,9,12-15H,5-6H2,1-3H3	null	CC1C2C(CC(=CCC(C3=CC2OC3=O)OC(=O)C)C)OC1=O	1.90408015	""	COCONUT:(CNP0299081);Natural Products:(UNPD549);database;SuperNatural:(SN00251203)	68722655232
17	1	N/A	-376.6658223162774	C17H20O6	[M + H]+	PZAALKURFIAXND	InChI=1S/C17H20O6/c1-8(18)5-6-12-9(2)17(21)23-16(12)15-10(3)14(7-13(15)20)22-11(4)19/h12,14,16H,2,5-7H2,1,3-4H3	null	CC1=C(C(=O)CC1OC(=O)C)C2C(C(=C)C(=O)O2)CCC(=O)C	0.100000001	101609004;101609005	COCONUT:(CNP0289586);Natural Products:(UNPD59291 UNPD158807);database;PubChem:(101609004 101609005);SuperNatural:(SN00316330 SN00324012)	68722655234
18	1	N/A	-379.6183632331664	C17H20O6	[M + H]+	BFENHNFSFSAWFO	InChI=1S/C17H20O6/c1-8-5-6-17(23-20)9(2)7-12(21-11(4)18)13-10(3)16(19)22-15(13)14(8)17/h5,7,12-15,20H,3,6H2,1-2,4H3	null	CC1=CCC2(C1C3C(C(C=C2C)OC(=O)C)C(=C)C(=O)O3)OO	1.71600211	""	COCONUT:(CNP0203238);Natural Products:(UNPD104029);database;SuperNatural:(SN00320356)	68722655232
19	1	N/A	-385.2488769502303	C17H20O6	[M + H]+	NFEPMBMLMVYLAD	InChI=1S/C17H20O6/c1-22-16-9-12(19)8-15(21)13(16)7-11(18)5-10-3-4-14(20)17(6-10)23-2/h3-4,6,8-9,11,18-21H,5,7H2,1-2H3	4-[2-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propyl]-5-methoxybenzene-1,3-diol	COC1=CC(=CC(=C1CC(CC2=CC(=C(C=C2)O)OC)O)O)O	2.4000001	21633049	COCONUT:(CNP0351900);Natural Products:(UNPD131716);database;PubChem:(21633049)	68721606658
20	1	N/A	-386.8714041655102	C17H20O6	[M + H]+	XLPXUPOZUYGVPD	InChI=1S/C17H20O6/c1-2-13(11-19)14(5-7-18)10-17(22)23-8-6-12-3-4-15(20)16(21)9-12/h2-4,7,9,11,14,20-21H,5-6,8,10H2,1H3	2-(3,4-dihydroxyphenyl)ethyl (E)-4-formyl-3-(2-oxoethyl)hex-4-enoate	CC=C(C=O)C(CC=O)CC(=O)OCCC1=CC(=C(C=C1)O)O	1.10000002	11823361;15553186;18684078;23624475;73117666;101102227;124014957	COCONUT:(CNP0162125);HMDB:(37321);Natural Products:(UNPD12313 UNPD194899);database;PubChem:(11823361 15553186 18684078 23624475 73117666 101102227 124014957);SuperNatural:(SN00303841);CHEBI:(68988);PubChem class - bio and metabolites;MeSH:(18684078);PubMed	68739432558
21	1	N/A	-394.00944499789966	C17H20O6	[M + H]+	YTQNOKOAXNFOOQ	InChI=1S/C17H20O6/c1-10(4-14-6-11(2)17(20)23-14)5-15(22-12(3)18)7-13-8-16(19)21-9-13/h5-6,8,14-15H,4,7,9H2,1-3H3	null	CC1=CC(OC1=O)CC(=CC(CC2=CC(=O)OC2)OC(=O)C)C	1.79999995	10805625	COCONUT:(CNP0159620);Natural Products:(UNPD172743);database;PubChem:(10805625);SuperNatural:(SN00339034)	68722655234
