structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.9938821504598689	-44.754886348661145	C14H17NO2	[M + H]+	AFYCEAFSNDLKSX	InChI=1S/C14H17NO2/c1-4-15(5-2)11-6-7-12-10(3)8-14(16)17-13(12)9-11/h6-9H,4-5H2,1-3H3	Hakkol P	CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C	3.23984027	7050;100957318;122130415	NORMAN:(NS00009481);database;PubChem:(7050 100957318 122130415);CHEBI:(51938);additional;PubChem class - bio and metabolites;HSDB:(91-44-1);MeSH:(7050);PubChem class - safety and toxic;PubMed	68804149862
2	1	N/A	-322.3194363811056	C14H17NO2	[M + H]+	GEGKYZYCKNLWLI	InChI=1S/C14H17NO2/c1-4-7-12-14(17-3)13(16)10-8-5-6-9-11(10)15(12)2/h5-6,8-9H,4,7H2,1-3H3	Leiokinine A	CCCC1=C(C(=O)C2=CC=CC=C2N1C)OC	3.0	131525	COCONUT:(CNP0167382);KNApSAcK:(2178);Natural Products:(UNPD142589);database;PubChem:(131525);SuperNatural:(SN00143263);CHEBI:(6404);MeSH:(131525);KEGG:(C10703);PubMed	68722655606
3	1	N/A	-335.4981231718119	C14H17NO2	[M + H]+	HAPJUNILBCTRIJ	InChI=1S/C14H17NO2/c1-2-3-6-9-15-10-12(14(16)17)11-7-4-5-8-13(11)15/h4-5,7-8,10H,2-3,6,9H2,1H3,(H,16,17)	1-pentylindole-3-carboxylic acid	CCCCCN1C=C(C2=CC=CC=C21)C(=O)O	3.29999995	17381723	NORMAN:(NS00017243);database;Training Set;PubChem:(17381723);additional	68720279554
4	1	N/A	-346.84037125299113	C14H17NO2	[M + H]+	RCBHCHBXRBYJGU	InChI=1S/C14H17NO2/c1-2-3-6-11(14(16)17)12-9-15-13-8-5-4-7-10(12)13/h4-5,7-9,11,15H,2-3,6H2,1H3,(H,16,17)	(2s)-2-(1h-Indol-3-Yl)hexanoic Acid	CCCCC(C1=CNC2=CC=CC=C21)C(=O)O	3.5	24768549;69219720	COCONUT:(CNP0020419);database;PubChem:(24768549 69219720);PubChem class - bio and metabolites	68738351106
5	1	N/A	-348.24024128274175	C14H17NO2	[M + H]+	IOPNPSITAMJKFR	InChI=1S/C14H17NO2/c1-2-17-14(16)9-5-6-11-10-15-13-8-4-3-7-12(11)13/h3-4,7-8,10,15H,2,5-6,9H2,1H3	ethyl 4-(1h-indol-3-yl)butanoate	CCOC(=O)CCCC1=CNC2=CC=CC=C21	3.25041437	292652	COCONUT:(CNP0201929);Natural Products:(UNPD18702);database;PubChem:(292652);PubMed;ZINC bio:(ZINC00259399)	68721614914
6	1	N/A	-351.30596732109194	C14H17NO2	[M + H]+	CVHDZBBLDJRKOS	InChI=1S/C14H17NO2/c1-9-14(2,3)11-8-10(13(16)17-5)6-7-12(11)15(9)4/h6-8H,1H2,2-5H3	methyl 1,3,3-trimethyl-2-methylideneindole-5-carboxylate	CC1(C(=C)N(C2=C1C=C(C=C2)C(=O)OC)C)C	3.29999995	15145785	PubChem:(15145785);NORMAN:(NS00005346);database	68719738882
7	1	N/A	-394.7466908185093	C14H17NO2	[M + H]+	HRTCUJBTNCFSIO	InChI=1S/C14H17NO2/c16-14(17)10-3-1-2-9(6-10)11-7-12-4-5-13(8-11)15-12/h1-3,6,11-13,15H,4-5,7-8H2,(H,16,17)	Nortropacocaine	C1CC2CC(CC1N2)C3=CC(=CC=C3)C(=O)O	-0.100000001	192953	PubChem:(192953);MeSH:(192953);database	68719476742
8	1	N/A	-399.26357319513016	C14H17NO2	[M + H]+	RQGMGBHZMJFENP	InChI=1S/C14H17NO2/c1-12(11-15-7-9-17-10-8-15)14(16)13-5-3-2-4-6-13/h2-6H,1,7-11H2	N-(2-Benzoylpropene-3-yl)morpholine	C=C(CN1CCOCC1)C(=O)C2=CC=CC=C2	1.70000005	341039	PubChem:(341039);PubMed;database	68719476802
9	1	N/A	-416.57355691884555	C14H17NO2	[M + H]+	AZHSHGVBEAPALY	InChI=1S/C14H17NO2/c16-14(10-4-2-1-3-5-10)17-13-8-11-6-7-12(9-13)15-11/h1-5,11-13,15H,6-9H2	3beta-benzoyloxynortropane	C1CC2CC(CC1N2)OC(=O)C3=CC=CC=C3	2.5	176928;11458897;72199615	COCONUT:(CNP0214747);Natural Products:(UNPD123865);database;PubChem:(176928 11458897 72199615);SuperNatural:(SN00280849);PubChem class - bio and metabolites;PubMed;KEGG Mine	77329367106
10	1	N/A	-429.03014920557035	C14H17NO2	[M + H]+	OSINFMIOMWBGDS	InChI=1S/C14H17NO2/c1-10(14(16)17-2)7-8-11-9-15-13-6-4-3-5-12(11)13/h3-6,9-10,15H,7-8H2,1-2H3	null	CC(CCC1=CNC2=CC=CC=C21)C(=O)OC	3.19280386	14166401;14166402;14166403	COCONUT:(CNP0158266);Natural Products:(UNPD72859);database;PubChem:(14166401 14166402 14166403)	68721606658
