structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.46686235782224256	-192.11475520349492	C32H42O13	[M + H3N + H]+	NHGZHAZTFBKTSU	InChI=1S/C32H42O13/c1-28(2)17-10-18(34)31(5)16(6-8-29(3)24(14-7-9-40-13-14)43-26(39)25-32(29,31)45-25)30(17,4)19(11-20(35)44-28)42-27-23(38)22(37)21(36)15(12-33)41-27/h7,9,13,15-17,19,21-25,27,33,36-38H,6,8,10-12H2,1-5H3	null	CC1(C2CC(=O)C3(C(C2(C(CC(=O)O1)OC4C(C(C(C(O4)CO)O)O)O)C)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C	0.373182714	""	COCONUT:(CNP0406707);Natural Products:(UNPD75181);database	68721606656
2	1	N/A	-223.7539671313239	C32H42O13	[M + H3N + H]+	MXZVBPOYCKIXHN	InChI=1S/C32H42O13/c1-28(2)18-12-19(34)31(5)17(29(18,3)9-7-20(35)44-28)6-10-30(4,32(31)25(45-32)26(39)40)24(15-8-11-41-14-15)43-27-23(38)22(37)21(36)16(13-33)42-27/h7-9,11,14,16-18,21-25,27,33,36-38H,6,10,12-13H2,1-5H3,(H,39,40)	null	CC1(C2CC(=O)C3(C(C2(C=CC(=O)O1)C)CCC(C34C(O4)C(=O)O)(C)C(C5=COC=C5)OC6C(C(C(C(O6)CO)O)O)O)C)C	0.800000012	53363753;101629616;129008988	COCONUT:(CNP0294492);Natural Products:(UNPD128057 UNPD227145 UNPD26375 UNPD68832);database;PubChem:(53363753 101629616 129008988);SuperNatural:(SN00263266 SN00344634 SN00306013)	68722655234
3	1	N/A	-266.97227236511554	C32H42O13	[M + H3N + H]+	NGBFLMQFMSLTEP	InChI=1S/C32H42O13/c1-17(33)41-22-15-30(8,39)32-14-21(29(6,7)45-32)23(44-27(37)28(4,5)38)25(43-19(3)35)31(32,24(22)42-18(2)34)16-40-26(36)20-12-10-9-11-13-20/h9-13,21-25,38-39H,14-16H2,1-8H3	null	CC(=O)OC1CC(C23CC(C(C(C2(C1OC(=O)C)COC(=O)C4=CC=CC=C4)OC(=O)C)OC(=O)C(C)(C)O)C(O3)(C)C)(C)O	1.89999998	397629;102157015	COCONUT:(CNP0367114);Natural Products:(UNPD192984);database;PubChem:(397629 102157015);SuperNatural:(SN00322548)	68722655234
4	1	N/A	-283.34638941681374	C32H42O13	[M + H3N + H]+	OQAYHKPDJFJKCJ	InChI=1S/C32H42O13/c1-16(2)27(37)43-23-22-24(36)32(45-29(22,6)7)30(8,39)14-21(41-18(4)34)25(42-19(5)35)31(32,15-40-17(3)33)26(23)44-28(38)20-12-10-9-11-13-20/h9-13,16,21-26,36,39H,14-15H2,1-8H3	null	CC(C)C(=O)OC1C2C(C3(C(CC(C(C3(C1OC(=O)C4=CC=CC=C4)COC(=O)C)OC(=O)C)OC(=O)C)(C)O)OC2(C)C)O	2.0	101682270	COCONUT:(CNP0150478);Natural Products:(UNPD181208);database;PubChem:(101682270);SuperNatural:(SN00340928)	68722655234
5	1	N/A	-288.21910021828575	C32H42O13	[M + H3N + H]+	GKFAUBPADHAMOG	InChI=1S/C32H42O13/c1-6-14(2)24(36)43-18-10-17(42-15(3)34)29(11-33)12-40-20-21(29)30(18)13-41-25(37)22(30)27(4,23(20)35)32-19-9-16(28(32,5)45-32)31(38)7-8-39-26(31)44-19/h6-8,16-23,25-26,33,35,37-38H,9-13H2,1-5H3	null	CC=C(C)C(=O)OC1CC(C2(COC3C2C14COC(C4C(C3O)(C)C56C7CC(C5(O6)C)C8(C=COC8O7)O)O)CO)OC(=O)C	-0.600000024	10627825;21581301;100976319;137325456	COCONUT:(CNP0156959);KNApSAcK:(42264);Natural Products:(UNPD175161);database;PubChem:(10627825 21581301 100976319 137325456);SuperNatural:(SN00272211)	68722655250
6	1	N/A	-309.8488918429558	C32H42O13	[M + H3N + H]+	CTOTZUSIWOKKQX	InChI=1S/C32H42O13/c1-9-13(2)26(38)44-21-23(37)29(4,5)22(20(36)28(40)41-8)31(7)16-11-30(6)24(15-10-17(33)43-27(15)39)42-18(34)12-32(30,45-25(21)31)14(3)19(16)35/h10,13,16-17,20-25,33,36-37H,3,9,11-12H2,1-2,4-8H3	null	CCC(C)C(=O)OC1C(C(C(C2(C1OC34CC(=O)OC(C3(CC2C(=O)C4=C)C)C5=CC(OC5=O)O)C)C(C(=O)OC)O)(C)C)O	1.5	71712939;71737874	COCONUT:(CNP0331232);Natural Products:(UNPD227617);database;PubChem:(71712939 71737874)	68721606658
7	1	N/A	-313.91765389063545	C32H42O13	[M + H3N + H]+	UJCMQFLTPCGSOS	InChI=1S/C32H42O13/c1-9-13(2)26(38)44-21-23(37)29(4,5)22(20(36)28(40)41-8)31(7)16-11-30(6)24(15-10-17(33)43-27(15)39)42-18(34)12-32(30,45-25(21)31)14(3)19(16)35/h10,13,16,20-25,27,36-37,39H,3,9,11-12H2,1-2,4-8H3	null	CCC(C)C(=O)OC1C(C(C(C2(C1OC34CC(=O)OC(C3(CC2C(=O)C4=C)C)C5=CC(=O)OC5O)C)C(C(=O)OC)O)(C)C)O	1.0	71712940;71737875	COCONUT:(CNP0289090);Natural Products:(UNPD229764);database;PubChem:(71712940 71737875)	68721606658
8	1	N/A	-340.5613897738438	C32H42O13	[M + H3N + H]+	XQKIYBRTLSAZTP	InChI=1S/C32H42O13/c1-10-11-23(37)44-25-16(3)14-22-32(31(9,45-32)29(38)43-22)27(41-19(6)35)24-15(2)12-13-21(39-17(4)33)30(24,8)28(42-20(7)36)26(25)40-18(5)34/h12,14,21-22,24-28H,10-11,13H2,1-9H3	null	CCCC(=O)OC1C(C(C2(C(CC=C(C2C(C34C(C=C1C)OC(=O)C3(O4)C)OC(=O)C)C)OC(=O)C)C)OC(=O)C)OC(=O)C	1.89999998	11721519	PubChem:(11721519);KNApSAcK:(42304);database	68719476754
9	1	N/A	-468.5615003939911	C32H42O13	[M + H3N + H]+	CKGPMQKYPJTHRX	InChI=1S/C32H42O13/c1-40-29-19-13-17(9-7-5-3-4-6-8-16-10-11-20(34)18(19)12-16)28(30(29)41-2)45-32-27(39)25(37)24(36)22(44-32)15-42-31-26(38)23(35)21(14-33)43-31/h4,6,10-13,21-27,31-39H,3,5,7-9,14-15H2,1-2H3	null	COC1=C2C=C(CCCCC=CCC3=CC2=C(C=C3)O)C(=C1OC)OC4C(C(C(C(O4)COC5C(C(C(O5)CO)O)O)O)O)O	1.89999998	11093421;101110662;131752614	COCONUT:(CNP0234566);HMDB:(39348);Natural Products:(UNPD90839 UNPD152914);database;PubChem:(11093421 101110662 131752614);SuperNatural:(SN00381865 SN00281455);PubChem class - bio and metabolites	68739432458
10	1	N/A	-472.03460973199503	C32H42O13	[M + H3N + H]+	YPIDUTRPMROMSO	InChI=1S/C32H42O13/c1-40-29-19-13-17(9-7-5-3-4-6-8-16-10-11-20(34)18(19)12-16)28(30(29)41-2)45-32-27(39)25(37)24(36)22(44-32)15-42-31-26(38)23(35)21(14-33)43-31/h3-4,10-13,21-27,31-39H,5-9,14-15H2,1-2H3	null	COC1=C2C=C(CCCC=CCCC3=CC2=C(C=C3)O)C(=C1OC)OC4C(C(C(C(O4)COC5C(C(C(O5)CO)O)O)O)O)O	1.70000005	11125064;101110660;131752615	COCONUT:(CNP0299641);HMDB:(39351);Natural Products:(UNPD55494);database;PubChem:(11125064 101110660 131752615);SuperNatural:(SN00255279);PubChem class - bio and metabolites	68739432458
