structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1535474882411543	-95.86972958506423	C16H24O9	[M + CH2O2 - H]-	CJQZGOSZRGOGDQ	InChI=1S/C16H24O9/c1-22-9-4-7(5-17)11-8(9)2-3-23-15(11)25-16-14(21)13(20)12(19)10(6-18)24-16/h2-4,8-21H,5-6H2,1H3	null	COC1C=C(C2C1C=COC2OC3C(C(C(C(O3)CO)O)O)O)CO	-2.5	100930975	COCONUT:(CNP0271358);Natural Products:(UNPD143829 UNPD55199);database;PubChem:(100930975);SuperNatural:(SN00382475);KEGG Mine	77312589826
2	1	N/A	-96.97558801290579	C16H24O9	[M + CH2O2 - H]-	YAQRKKHRLWWZGG	InChI=1S/C16H24O9/c1-23-11-4-8(9(5-17)6-18)2-3-10(11)24-16-15(22)14(21)13(20)12(7-19)25-16/h2-4,9,12-22H,5-7H2,1H3	(2S,3R,4S,5S,6R)-2-[4-(1,3-dihydroxypropan-2-yl)-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	COC1=C(C=CC(=C1)C(CO)CO)OC2C(C(C(C(O2)CO)O)O)O	-1.09399295	11972388	COCONUT:(CNP0268520);Natural Products:(UNPD8554);database;PubChem:(11972388);SuperNatural:(SN00294998)	68722655234
3	1	N/A	-109.29621728140684	C16H24O9	[M + CH2O2 - H]-	REHZVRNVHQFBAF	InChI=1S/C16H24O9/c1-23-11-4-8(2-3-10(11)19)9(5-17)7-24-16-15(22)14(21)13(20)12(6-18)25-16/h2-4,9,12-22H,5-7H2,1H3	null	COC1=C(C=CC(=C1)C(CO)COC2C(C(C(C(O2)CO)O)O)O)O	-1.39999998	38363183;38363186;45783116	COCONUT:(CNP0148585);KNApSAcK:(41020);Natural Products:(UNPD183043);database;PubChem:(38363183 38363186 45783116);SuperNatural:(SN00030315 SN00030316);ZINC bio:(ZINC31169446 ZINC31169449);additional;Training Set	68723204114
4	1	N/A	-116.19690229758568	C16H24O9	[M + CH2O2 - H]-	OYOXNRVULYNDRW	InChI=1S/C16H24O9/c1-6-9(19)2-8-7(3-17)5-23-15(11(6)8)25-16-14(22)13(21)12(20)10(4-18)24-16/h3,5-6,8-16,18-22H,2,4H2,1H3	(1S,4aS,7S,7aS)-6-hydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carbaldehyde	CC1C(CC2C1C(OC=C2C=O)OC3C(C(C(C(O3)CO)O)O)O)O	-1.79999995	21627916;101288319	COCONUT:(CNP0198159);KNApSAcK:(10501);Natural Products:(UNPD113784 UNPD63435);database;PubChem:(21627916 101288319);SuperNatural:(SN00236191 SN00241882);KEGG Mine	77312589842
5	1	N/A	-125.48495346949274	C16H24O9	[M + CH2O2 - H]-	FXWPDMYNUJVFJZ	InChI=1S/C16H24O9/c1-6-2-8(19)11-7(3-17)5-23-15(10(6)11)25-16-14(22)13(21)12(20)9(4-18)24-16/h3,5-6,8-16,18-22H,2,4H2,1H3	null	CC1CC(C2C1C(OC=C2C=O)OC3C(C(C(C(O3)CO)O)O)O)O	-1.79999995	101630463;101923515	COCONUT:(CNP0185241);Natural Products:(UNPD110513 UNPD122653 UNPD80657);database;PubChem:(101630463 101923515);SuperNatural:(SN00260439 SN00228855 SN00368601);KEGG Mine	77312589826
6	1	N/A	-129.17535472162476	C16H24O9	[M + CH2O2 - H]-	OPOZWTHEMHRWNN	InChI=1S/C16H24O9/c17-3-7-1-2-9-8(4-18)6-23-15(11(7)9)25-16-14(22)13(21)12(20)10(5-19)24-16/h4,6-7,9-17,19-22H,1-3,5H2	null	C1CC2C(C1CO)C(OC=C2C=O)OC3C(C(C(C(O3)CO)O)O)O	-1.79999995	101630466	COCONUT:(CNP0233767);Natural Products:(UNPD155924 UNPD107872);database;PubChem:(101630466);SuperNatural:(SN00390350 SN00294478);KEGG Mine	77312589826
7	1	N/A	-132.68954978573328	C16H24O9	[M + CH2O2 - H]-	PSZXKZGDJMPMIO	InChI=1S/C16H24O9/c1-22-9-5-8(3-4-17)6-10(23-2)15(9)25-16-14(21)13(20)12(19)11(7-18)24-16/h5-6,11-14,16-21H,3-4,7H2,1-2H3	null	COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)CCO	-0.395268977	10959332;85346190	COCONUT:(CNP0288321);HMDB:(38381);Natural Products:(UNPD11478 UNPD83492);database;PubChem:(10959332 85346190);SuperNatural:(SN00402199 SN00282589);PubChem class - bio and metabolites;PubMed	68739432522
8	1	N/A	-133.13639719554556	C16H24O9	[M + CH2O2 - H]-	SXOCFAICCRYBCD	InChI=1S/C16H24O9/c1-22-9-4-3-8(5-10(9)23-2)11(6-17)24-16-15(21)14(20)13(19)12(7-18)25-16/h3-5,11-21H,6-7H2,1-2H3	null	COC1=C(C=C(C=C1)C(CO)OC2C(C(C(C(O2)CO)O)O)O)OC	-1.29999995	10713523;85242014;100948901	COCONUT:(CNP0347012);HMDB:(34626);Natural Products:(UNPD93521);database;PubChem:(10713523 85242014 100948901);SuperNatural:(SN00402202);PubChem class - bio and metabolites	68739432458
9	1	N/A	-135.86906674626758	C16H24O9	[M + CH2O2 - H]-	PWFYKSAKCMTDRH	InChI=1S/C16H24O9/c1-22-10-4-3-8(5-11(10)23-2)9(18)7-24-16-15(21)14(20)13(19)12(6-17)25-16/h3-5,9,12-21H,6-7H2,1-2H3	null	COC1=C(C=C(C=C1)C(COC2C(C(C(C(O2)CO)O)O)O)O)OC	-1.29999995	10737218;85250379;101696504;100948902	COCONUT:(CNP0380008);HMDB:(34627);Natural Products:(UNPD2538 UNPD82822);database;PubChem:(10737218 85250379 101696504 100948902);SuperNatural:(SN00266745);PubChem class - bio and metabolites	68739432458
10	1	N/A	-153.91057898226663	C16H24O9	[M + CH2O2 - H]-	VXXKDWBEVHGANN	InChI=1S/C16H24O9/c1-23-11-5-10(3-2-8(11)4-9(19)6-17)24-16-15(22)14(21)13(20)12(7-18)25-16/h2-3,5,9,12-22H,4,6-7H2,1H3	null	COC1=C(C=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)CC(CO)O	-0.871112764	10882909;85301070;102021737;102021738	COCONUT:(CNP0105920);HMDB:(39473);Natural Products:(UNPD186560);database;PubChem:(10882909 85301070 102021737 102021738);PubChem class - bio and metabolites	68738383882
