structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.12443080381791327	-111.599209725161	C10H10O5	[M - H]-	YFXWTVLDSKSYLW	InChI=1S/C10H10O5/c1-15-8-5-6(2-3-9(12)13)4-7(11)10(8)14/h2-5,11,14H,1H3,(H,12,13)	ACMC-20mdkt	COC1=CC(=CC(=C1O)O)C=CC(=O)O	1.10000002	160594;446834;10465704;16109942;54725791;54740354	HMDB:(35484 127490);SuperNatural:(SN00271416);ZINC bio:(ZINC00895821);MeSH:(446834);Plantcyc:(5-HYDROXY-FERULIC-ACID);PubMed;COCONUT:(CNP0201458);KNApSAcK:(7336);Natural Products:(UNPD119265 UNPD141439);database;PubChem:(160594 446834 10465704 16109942 54725791 54740354);YMDB Mine;CHEBI:(20582 144056 144381 2069);PubChem class - bio and metabolites;KEGG:(C05619);PubChem class - safety and toxic;Training Set;Biocyc:(5-HYDROXY-FERULIC-ACID)	103166437758
2	1	N/A	-119.07350841401352	C10H10O5	[M - H]-	QOJNCZPYJHQQOQ	InChI=1S/C10H10O5/c11-8(10(14)15)5-6-2-1-3-7(4-6)9(12)13/h1-4,8,11H,5H2,(H,12,13)(H,14,15)	null	C1=CC(=CC(=C1)C(=O)O)CC(C(=O)O)O	0.699999988	83441868;96125903;91886686	COCONUT:(CNP0282361);Natural Products:(UNPD12173);database;PubChem:(83441868 96125903 91886686);SuperNatural:(SN00314758);MeSH:(83441868 91886686 96125903);PubMed	68722655302
3	1	N/A	-123.55942186219258	C10H10O5	[M - H]-	UNJGBPHJDYXWNJ	InChI=1S/C10H10O5/c1-4-8(12)6(5(2)11)3-7(9(4)13)10(14)15/h3,12-13H,1-2H3,(H,14,15)	null	CC(=O)c1cc(C(=O)O)c(O)c(C)c1O	0.7770887208858439	""	""	0
4	1	N/A	-125.37297807497406	C10H10O5	[M - H]-	JAHPPWGWEUVLMS	InChI=1S/C10H10O5/c1-5(11)10-6(3-9(14)15)2-7(12)4-8(10)13/h2,4,12-13H,3H2,1H3,(H,14,15)	null	CC(=O)C1=C(C=C(C=C1O)O)CC(=O)O	0.899999976	16196973	COCONUT:(CNP0026665 CNP0174831);Natural Products:(UNPD123430);database;PubChem:(16196973);SuperNatural:(SN00404610 SN00019843);ZINC bio:(ZINC13306196);MeSH:(16196973);PubMed	68722663494
5	1	N/A	-136.76802094735612	C10H10O5	[M - H]-	NIVOTSZWKATDPU	InChI=1S/C10H10O5/c1-4-3-6(5(2)11)9(13)7(8(4)12)10(14)15/h3,12-13H,1-2H3,(H,14,15)	null	CC1=CC(=C(C(=C1O)C(=O)O)O)C(=O)C	1.89999998	11042015	COCONUT:(CNP0330679);KNApSAcK:(45262);Natural Products:(UNPD95275);database;PubChem:(11042015);SuperNatural:(SN00400790);MeSH:(11042015);PubMed	68722655318
6	1	N/A	-141.14083661006157	C10H10O5	[M - H]-	JXJNPXPDKYRHJT	InChI=1S/C10H10O5/c11-7-3-1-6(2-4-7)5-8(9(12)13)10(14)15/h1-4,8,11H,5H2,(H,12,13)(H,14,15)	null	C1=CC(=CC=C1CC(C(=O)O)C(=O)O)O	0.872203112	17840182;17840181	COCONUT:(CNP0062622 CNP0087159);HMDB:(142178);database;PubChem:(17840182 17840181);SuperNatural:(SN00002935);ZINC bio:(ZINC02505456);additional;PubChem class - bio and metabolites	68739932170
7	1	N/A	-148.45027674583764	C10H10O5	[M - H]-	DOSDTCPDBPRFHQ	InChI=1S/C10H10O5/c1-14-9(12)6-3-7(10(13)15-2)5-8(11)4-6/h3-5,11H,1-2H3	Oprea1_232737	COC(=O)C1=CC(=CC(=C1)O)C(=O)OC	1.29999995	83065;22280940	NORMAN:(NS00024100);COCONUT:(CNP0354713);Natural Products:(UNPD97458);database;PubChem:(83065 22280940);SuperNatural:(SN00116805);ZINC bio:(ZINC00032327);PubChem class - safety and toxic;PubMed	68790034498
8	1	N/A	-150.99592091742585	C10H10O5	[M - H]-	YGQHQTMRZPHIBB	InChI=1S/C10H10O5/c1-15-9-5-6(2-3-7(9)11)4-8(12)10(13)14/h2-3,5,11H,4H2,1H3,(H,13,14)	Hmppa cpd	COC1=C(C=CC(=C1)CC(=O)C(=O)O)O	0.899999976	14124;36688420	COCONUT:(CNP0182576);HMDB:(11714);database;PubChem:(14124 36688420);CHEBI:(88402);ZINC bio:(ZINC01567073);PubChem class - bio and metabolites;MeSH:(14124);PubChem class - safety and toxic;PubMed;Biocyc:(CPD-11830);KEGG Mine	77395404910
9	1	N/A	-153.1794308162834	C10H10O5	[M - H]-	PIFFQYJYNWXNGE	InChI=1S/C10H10O5/c1-4(11)8-6(13)3-7(14)9(5(2)12)10(8)15/h3,13-15H,1-2H3	2,4-diAc-phloroglucinol	CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O	1.29999995	16547;51372725	SuperNatural:(SN00001203);ZINC bio:(ZINC00157843);additional;MeSH:(16547);PubMed;COCONUT:(CNP0235262 CNP0235657);Natural Products:(UNPD175353);database;PubChem:(16547 51372725);CHEBI:(140662 78688);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-18045)	68790315110
10	1	N/A	-153.67201955309392	C10H10O5	[M - H]-	QVTORZSLDIMFQS	InChI=1S/C10H10O5/c1-15-9-4-6(2-3-10(13)14)7(11)5-8(9)12/h2-5,11-12H,1H3,(H,13,14)	null	COC1=C(C=C(C(=C1)C=CC(=O)O)O)O	1.10000002	25201765;25244816;90657637;90657638;90658149	COCONUT:(CNP0117360);HMDB:(125514 127946);Natural Products:(UNPD228358);database;PubChem:(25201765 25244816 90657637 90657638 90658149);YMDB Mine;PubChem class - bio and metabolites;Plantcyc:(CPD-15076 CPD-9807 CPD-15073 CPD-9803);PubMed;Biocyc:(CPD-15076 CPD-9807 CPD-15073 CPD-9803);KEGG Mine	111688190026
11	1	N/A	-155.87582695713405	C10H10O5	[M - H]-	PXFMUVDLJWXOQM	InChI=1S/C10H10O5/c1-5-3-7(12)6(4-11)9(13)8(5)10(14)15-2/h3-4,12-13H,1-2H3	Methyl haematomate	CC1=CC(=C(C(=C1C(=O)OC)O)C=O)O	2.0	591773	COCONUT:(CNP0335226);KNApSAcK:(46821);Natural Products:(UNPD91248);database;PubChem:(591773);SuperNatural:(SN00348992);CHEBI:(144173);Training Set;PubMed	68722671730
12	1	N/A	-161.93309005852205	C10H10O5	[M - H]-	QQIPHXQKXBPUSX	InChI=1S/C10H10O5/c1-5-8(10(14)15-2)7(12)3-6(4-11)9(5)13/h3-4,12-13H,1-2H3	null	CC1=C(C(=CC(=C1C(=O)OC)O)C=O)O	2.0	139587759	PubChem:(139587759);COCONUT:(CNP0355511);database	68721573890
13	1	N/A	-162.1103521197232	C10H10O5	[M - H]-	ZYDSNEAHMPKNPG	InChI=1S/C10H10O5/c1-6(10(12)13)15-9-5-7(14-2)3-4-8(9)11/h3-5,11H,1H2,2H3,(H,12,13)	null	COC1=CC(=C(C=C1)O)OC(=C)C(=O)O	1.70000005	101415646	COCONUT:(CNP0263293);Natural Products:(UNPD52062);database;PubChem:(101415646);SuperNatural:(SN00309921)	68722655234
14	1	N/A	-170.24242575831565	C10H10O5	[M - H]-	JJXVDRYFBGDXOU	InChI=1S/C10H10O5/c1-14-9(12)7-4-3-6(11)5-8(7)10(13)15-2/h3-5,11H,1-2H3	Dimethyl 4-hydroxyphthalate	COC(=O)C1=C(C=C(C=C1)O)C(=O)OC	1.19075823	89726	NORMAN:(NS00027194);COCONUT:(CNP0200771);Natural Products:(UNPD230477);database;PubChem:(89726);KEGG Mine	77311803394
15	1	N/A	-176.9302922647654	C10H10O5	[M - H]-	ZTQKYNMYEBUAFC	InChI=1S/C10H10O5/c1-15-9-4-6(2-3-7(9)11)8(12)5-10(13)14/h2-4,11H,5H2,1H3,(H,13,14)	null	COC1=C(C=CC(=C1)C(=O)CC(=O)O)O	0.813115358	91525940	database;PubChem:(91525940);YMDB Mine;PubMed;CHEBI:(142914);KEGG Mine	111669149794
16	1	N/A	-178.20237711081705	C10H10O5	[M - H]-	NJCUKDFYGDWNOS	InChI=1S/C10H10O5/c1-5(11)10-8(14)3-7(13)4-9(10)15-6(2)12/h3-4,13-14H,1-2H3	1-[2-(Acetyloxy)-4,6-dihydroxyphenyl]ethanone	CC(=O)C1=C(C=C(C=C1OC(=O)C)O)O	1.20000005	46779912	COCONUT:(CNP0175118);Natural Products:(UNPD215897);database;PubChem:(46779912)	68721606658
17	1	N/A	-179.0264982447073	C10H10O5	[M - H]-	BQGDDMMXPRJQHZ	InChI=1S/C10H10O5/c1-14-9(12)6-4-3-5-7(11)8(6)10(13)15-2/h3-5,11H,1-2H3	dimethyl 3-hydroxyphthalate	COC(=O)C1=C(C(=CC=C1)O)C(=O)OC	1.19075823	12223651	COCONUT:(CNP0222985);Natural Products:(UNPD112058);database;PubChem:(12223651);PubChem class - safety and toxic;PubMed;KEGG Mine	77378650178
18	1	N/A	-181.2193388622903	C10H10O5	[M - H]-	STXFVTHDAAVULY	InChI=1S/C10H10O5/c1-6(12)15-5-7-2-8(13)3-10(14)9(7)4-11/h2-4,13-14H,5H2,1H3	null	CC(=O)OCC1=C(C(=CC(=C1)O)O)C=O	0.899999976	57327730	COCONUT:(CNP0270406);Natural Products:(UNPD205594);database;PubChem:(57327730)	68721606658
19	1	N/A	-181.56360556156181	C10H10O5	[M - H]-	WNDDCECTCQRHDZ	InChI=1S/C10H10O5/c1-15-10(14)9(13)5-6-2-3-7(11)8(12)4-6/h2-5,11-13H,1H3	null	COC(=O)C(=CC1=CC(=C(C=C1)O)O)O	1.29999995	15834375;131510247;131557280	COCONUT:(CNP0177596);Natural Products:(UNPD37351 UNPD9161);database;PubChem:(15834375 131510247 131557280);SuperNatural:(SN00318640 SN00383555);KEGG Mine	77312589826
20	1	N/A	-186.86821618077124	C10H10O5	[M - H]-	WTPDKEAYVAXNRO	InChI=1S/C10H10O5/c1-6(11)15-8-4-3-7(10(12)13)5-9(8)14-2/h3-5H,1-2H3,(H,12,13)	o-Acetylvanillic acid	CC(=O)OC1=C(C=C(C=C1)C(=O)O)OC	1.22569394	66346;3532072	NORMAN:(NS00023375);COCONUT:(CNP0101548);database;PubChem:(66346 3532072);YMDB Mine;ZINC bio:(ZINC00185066);PubChem class - safety and toxic;PubMed	103148691522
21	1	N/A	-187.225674707605	C10H10O5	[M - H]-	HSQAGPSHVJCRMP	InChI=1S/C10H10O5/c1-6(12)15-10-4-8(13)7(5-11)3-9(10)14-2/h3-5,13H,1-2H3	null	CC(=O)OC1=C(C=C(C(=C1)O)C=O)OC	1.05874348	""	COCONUT:(CNP0172862);Natural Products:(UNPD125488);database;YMDB Mine	103081345024
22	1	N/A	-187.85122352891213	C10H10O5	[M - H]-	CJOJIAKIRLKBOO	InChI=1S/C10H10O5/c1-14-9(12)6-3-4-7(8(11)5-6)10(13)15-2/h3-5,11H,1-2H3	Dimethyl 2-hydroxyterephthalate	COC(=O)C1=CC(=C(C=C1)C(=O)OC)O	1.19075823	240439	COCONUT:(CNP0236145);Natural Products:(UNPD86114);database;PubChem class - safety and toxic;PubChem:(240439);ZINC bio:(ZINC01678787)	68788723714
