structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.2172313119098405	-32.18572030176484	C15H12O2	[M + H]+	AETKQQBRKSELEL	InChI=1S/C15H12O2/c16-14-9-5-4-8-13(14)15(17)11-10-12-6-2-1-3-7-12/h1-11,16H	Chalcone, 6	C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2O	3.9000001	14611;638276;12136838;16758559;71749251;131705201	HMDB:(135599);SuperNatural:(SN00017911);ZINC bio:(ZINC12359992);additional;MeSH:(638276);PubMed;NORMAN:(NS00021570);COCONUT:(CNP0264519);Natural Products:(UNPD139370 UNPD220110);database;PubChem:(14611 638276 12136838 16758559 71749251 131705201);CHEBI:(27916);PubChem class - bio and metabolites;KEGG:(C09321);PubChem class - safety and toxic;Training Set	68807352686
2	1	N/A	-33.971985205964856	C15H12O2	[M + H]+	UDOOPSJCRMKSGL	InChI=1S/C15H12O2/c16-14-9-5-4-8-13(14)10-11-15(17)12-6-2-1-3-7-12/h1-11,16H	Chalcone, 1	C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O	3.29999995	97765;5367146;40489314	NORMAN:(NS00042209);COCONUT:(CNP0101435);database;PubChem:(97765 5367146 40489314);SuperNatural:(SN00006091);ZINC bio:(ZINC03894725 ZINC04566597);additional;PubChem class - safety and toxic;Training Set;PubMed;Biocyc:(CPD-16998);KEGG Mine	77380479042
3	1	N/A	-34.7953329811963	C15H12O2	[M + H]+	ZONYXWQDUYMKFB	InChI=1S/C15H12O2/c16-13-10-15(11-6-2-1-3-7-11)17-14-9-5-4-8-12(13)14/h1-9,15H,10H2	4-Flavanone	C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3	3.13181686	10251;689010;439652;12136839;71777365;87273437;121487929	SuperNatural:(SN00000951 SN00000950);ZINC bio:(ZINC00058113 ZINC00058114);additional;MeSH:(10251);Plantcyc:(CPD-2043);PubMed;NORMAN:(NS00007587);COCONUT:(CNP0234960);Natural Products:(UNPD12195);database;PubChem:(10251 689010 439652 12136839 71777365 87273437 121487929);CHEBI:(15606 36105 5070);KEGG:(C00766 C02099);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-2043)	68790708582
4	1	N/A	-83.31752287275566	C15H12O2	[M + H]+	NZZIMKJIVMHWJC	InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2	Karenzu DK2	C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2	3.0999999	8433;53388237;135051522	NORMAN:(NS00001692);COCONUT:(CNP0180871);database;PubChem:(8433 53388237 135051522);SuperNatural:(SN00011220);CHEBI:(75417);ZINC bio:(ZINC04530702);additional;MeSH:(8433);PubChem class - safety and toxic;Training Set;PubMed	68790542438
5	1	N/A	-84.35132771538527	C15H12O2	[M + H]+	UAHGNXFYLAJDIN	InChI=1S/C15H12O2/c16-14-9-7-13(8-10-14)15(17)11-6-12-4-2-1-3-5-12/h1-11,16H	Spectrum_000721	C1=CC=C(C=C1)C=CC(=O)C2=CC=C(C=C2)O	3.33594489	94240;5282362;12323396;21722062	HMDB:(135603 135607);SuperNatural:(SN00007310 SN00132675);ZINC bio:(ZINC04175523 ZINC13319955);additional;MeSH:(5282362);PubMed;COCONUT:(CNP0138832);Natural Products:(UNPD32480);database;PubChem:(94240 5282362 12323396 21722062);CHEBI:(34360);PubChem class - bio and metabolites;KEGG:(C14232);PubChem class - safety and toxic	68807074158
6	1	N/A	-92.92914240669778	C15H12O2	[M + H]+	NUDGQVHENFOCFX	InChI=1S/C15H12O2/c16-14(11-12-7-3-1-4-8-12)15(17)13-9-5-2-6-10-13/h1-10H,11H2	null	C1=CC=C(C=C1)CC(=O)C(=O)C2=CC=CC=C2	2.79999995	11096234	COCONUT:(CNP0296002);Natural Products:(UNPD188500);database;PubChem:(11096234);PubMed	68721606722
7	1	N/A	-98.46680699774828	C15H12O2	[M + H]+	RTRZOHKLISMNRD	InChI=1S/C15H12O2/c16-15-12-8-4-5-9-14(12)17-10-13(15)11-6-2-1-3-7-11/h1-9,13H,10H2	Isoflavanone	C1C(C(=O)C2=CC=CC=C2O1)C3=CC=CC=C3	3.0999999	160767;6928388;6928389	COCONUT:(CNP0182022);database;PubChem:(160767 6928388 6928389);SuperNatural:(SN00213072);CHEBI:(27945 85935);ZINC bio:(ZINC00134619 ZINC00134623);MeSH:(160767);KEGG:(C01927);PubMed;Biocyc:(CPD-15821)	68722633062
8	1	N/A	-109.39717019251472	C15H12O2	[M + H]+	BIDDLDNGQCUOJQ	InChI=1S/C15H12O2/c16-15(17)14(13-9-5-2-6-10-13)11-12-7-3-1-4-8-12/h1-11H,(H,16,17)	NCIStruc1_000625	C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C(=O)O	3.5	1550810;1554701;66677;700620;700622;4377571;101939989	NORMAN:(NS00041107);COCONUT:(CNP0056805 CNP0322126);database;PubChem:(1550810 1554701 66677 700620 700622 4377571 101939989);SuperNatural:(SN00117131);ZINC bio:(ZINC00080747);MeSH:(700620);PubChem class - safety and toxic;PubMed	68790001734
9	1	N/A	-110.78208056279206	C15H12O2	[M + H]+	SPUQBDKMCCUCNO	InChI=1S/C15H12O2/c1-15(11-7-3-2-4-8-11)13-10-6-5-9-12(13)14(16)17-15/h2-10H,1H3	3-methyl-3-phenyl-2-benzofuran-1-one	CC1(C2=CC=CC=C2C(=O)O1)C3=CC=CC=C3	3.34059548	239990;13141692;13141693	PubChem:(239990 13141692 13141693);database;PubChem class - safety and toxic	68786585602
10	1	N/A	-112.49559467452781	C15H12O2	[M + H]+	PWWCDTYUYPOAIU	InChI=1S/C15H12O2/c16-14-9-6-12(7-10-14)8-11-15(17)13-4-2-1-3-5-13/h1-11,16H	Chalcone, 3	C1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)O	3.33594489	89340;5282361;21722057;25021769	HMDB:(32584 135602 141386);SuperNatural:(SN00011295 SN00006846);ZINC bio:(ZINC04090723 ZINC04577626);additional;MeSH:(5282361);PubMed;COCONUT:(CNP0212510);Natural Products:(UNPD53303);database;PubChem:(89340 5282361 21722057 25021769);CHEBI:(34423);PubChem class - bio and metabolites;KEGG:(C14231);PubChem class - safety and toxic;Training Set	68807090542
