structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.3164810516288931	-68.04460536220421	C55H86O24	[M - H]-	MQDNGHMMNJLFOQ	InChI=1S/C55H86O24/c1-23-33(59)36(62)39(65)45(73-23)78-42-28(20-56)75-44(41(67)38(42)64)72-22-29-35(61)37(63)40(66)46(76-29)79-49(70)55-17-15-51(5,48(68)69)19-26(55)25-9-10-31-52(6)13-12-32(77-47-43(74-24(2)57)34(60)27(58)21-71-47)50(3,4)30(52)11-14-54(31,8)53(25,7)16-18-55/h9,23,26-47,56,58-67H,10-22H2,1-8H3,(H,68,69)	null	CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC(=O)C)C)(C)C(=O)O)O)O)O)CO)O)O)O	-0.699999988	10441266	COCONUT:(CNP0253446);Natural Products:(UNPD19712 UNPD133065);database;PubChem:(10441266);SuperNatural:(SN00384032)	68722655234
2	1	N/A	-72.99411378517283	C55H86O24	[M - H]-	DGOOYYMQJBTVIX	InChI=1S/C55H86O24/c1-23-33(58)36(61)40(65)46(73-23)78-43-27(20-56)75-44(42(67)38(43)63)71-22-29-34(59)37(62)41(66)47(76-29)79-49(70)55-17-15-51(5,48(68)69)19-26(55)25-9-10-31-52(6)13-12-32(77-45-39(64)35(60)28(21-72-45)74-24(2)57)50(3,4)30(52)11-14-54(31,8)53(25,7)16-18-55/h9,23,26-47,56,58-67H,10-22H2,1-8H3,(H,68,69)	null	CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)OC(=O)C)O)O)C)(C)C(=O)O)O)O)O)CO)O)O)O	-0.699999988	10441265	COCONUT:(CNP0151521);Natural Products:(UNPD77233 UNPD135500);database;PubChem:(10441265);SuperNatural:(SN00398663)	68722655234
3	1	N/A	-86.46394062304681	C55H86O24	[M - H]-	QEGXZYOYHSXCTK	InChI=1S/C55H86O24/c1-23(58)72-41-40(76-45-37(65)32(60)26(59)22-71-45)42(44(68)69)77-48(43(41)78-46-38(66)35(63)33(61)27(20-56)73-46)75-31-12-13-52(6)29(51(31,4)5)11-14-54(8)30(52)10-9-24-25-19-50(2,3)15-17-55(25,18-16-53(24,54)7)49(70)79-47-39(67)36(64)34(62)28(21-57)74-47/h9,25-43,45-48,56-57,59-67H,10-22H2,1-8H3,(H,68,69)	(2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-acetyloxy-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3R,4S,5R)-3	CC(=O)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)O)OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)C(=O)O)OC9C(C(C(CO9)O)O)O	1.20000005	11159114;23251220;137326778	COCONUT:(CNP0157912);Natural Products:(UNPD174351 UNPD197195);database;PubChem:(11159114 23251220 137326778);SuperNatural:(SN00309235 SN00358113)	68722655234
4	1	N/A	-98.94648469243548	C55H86O24	[M - H]-	QFZIQFITLOWMAD	InChI=1S/C55H86O24/c1-23(59)71-41-40(76-45-37(65)34(62)28(22-58)73-45)42(44(68)69)77-48(43(41)78-46-38(66)35(63)32(60)26(20-56)72-46)75-31-12-13-52(6)29(51(31,4)5)11-14-54(8)30(52)10-9-24-25-19-50(2,3)15-17-55(25,18-16-53(24,54)7)49(70)79-47-39(67)36(64)33(61)27(21-57)74-47/h9,25-43,45-48,56-58,60-67H,10-22H2,1-8H3,(H,68,69)	(2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-acetyloxy-3-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-5-[(2S,3R,4S,5S,6R)-3,	CC(=O)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)O)OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)C(=O)O)OC9C(C(C(O9)CO)O)O	1.79999995	11159115;23251221	COCONUT:(CNP0225023);Natural Products:(UNPD10426 UNPD137684);database;PubChem:(11159115 23251221);SuperNatural:(SN00319521 SN00291649)	68722655234
5	1	N/A	-111.1720304261439	C55H86O24	[M - H]-	ZZFVCTUKOZGPQX	InChI=1S/C55H86O24/c1-10-23(2)46(71)79-43-44(72-24(3)60)55(22-59)26(17-50(43,4)5)25-11-12-30-51(6)15-14-32(52(7,21-58)29(51)13-16-53(30,8)54(25,9)18-31(55)61)75-48-39(68)37(66)40(42(78-48)45(69)70)76-49-41(36(65)34(63)28(20-57)74-49)77-47-38(67)35(64)33(62)27(19-56)73-47/h10-11,26-44,47-49,56-59,61-68H,12-22H2,1-9H3,(H,69,70)	null	CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)C)CO)OC(=O)C	0.699999988	101604632	COCONUT:(CNP0219326);Natural Products:(UNPD109476);database;PubChem:(101604632);SuperNatural:(SN00398820)	68722655234
6	1	N/A	-118.54928555823244	C55H86O24	[M - H]-	AXNVHPCVMSNXNP	InChI=1S/C55H86O24/c1-10-23(2)46(71)79-43-44(72-24(3)60)55(22-59)26(17-50(43,4)5)25-11-12-30-51(6)15-14-32(52(7,21-58)29(51)13-16-53(30,8)54(25,9)18-31(55)61)75-49-41(77-48-38(67)36(65)34(63)28(20-57)74-48)39(68)40(42(78-49)45(69)70)76-47-37(66)35(64)33(62)27(19-56)73-47/h10-11,26-44,47-49,56-59,61-68H,12-22H2,1-9H3,(H,69,70)	escin Ia	CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C	0.699999988	441903;3006117;4555259;6148658;6325066;6385473;6540443;6540709;6540710;6476030;6476031;6708721;6713963;6857783;6857882;6858198;6913371;9919870;9988836;11672567;10260681;16757834;16211024;24776155;44135353;44218714;44218715;44461651;44461657;44465834;59138420;59617478;59617487;59918798;73440816;73891149;76967409;75464811;89107301;88999649;88999654;90960547;90982013;91936838;102004663;102004824;101596815;102514740;101997987;118705436;118705454;123134563;123134760;122130463;122130464;123578024;123231258;130434127;131704762;131706348;133640184;138107658;138114796;137704877;138392185;138454862	SuperNatural:(SN00285494 SN00306151);MeSH:(4555259 6148658 6476030 6476031 6540709 6857783 16211024 44135353 75464811 102514740 118705454 123134563 133640184 137704877 138107658);PubMed;NORMAN:(NS00002539);COCONUT:(CNP0170319);KNApSAcK:(30214);Natural Products:(UNPD43745 UNPD109880 UNPD213148 UNPD128794 UNPD8957);database;PubChem:(441903 3006117 4555259 6148658 6325066 6385473 6540443 6540709 6540710 6476030 6476031 6708721 6713963 6857783 6857882 6858198 6913371 9919870 9988836 11672567 10260681 16757834 16211024 24776155 44135353 44218714 44218715 44461651 44461657 44465834 59138420 59617478 59617487 59918798 73440816 73891149 76967409 75464811 89107301 88999649 88999654 90960547 90982013 91936838 102004663 102004824 101596815 102514740 101997987 118705436 118705454 123134563 123134760 122130463 122130464 123578024 123231258 130434127 131704762 131706348 133640184 138107658 138114796 137704877 138392185 138454862);CHEBI:(2500);KEGG:(C08921);PubChem class - safety and toxic;Training Set;PubChem class - drug	68823597430
7	1	N/A	-122.28739386358588	C55H86O24	[M - H]-	GAJXXWDWMZQNMJ	InChI=1S/C55H86O24/c1-10-23(2)46(71)75-32-18-54(9)25(26-17-50(4,5)44(72-24(3)60)43(68)55(26,32)22-59)11-12-30-51(6)15-14-31(52(7,21-58)29(51)13-16-53(30,54)8)76-49-41(78-48-38(66)36(64)34(62)28(20-57)74-48)39(67)40(42(79-49)45(69)70)77-47-37(65)35(63)33(61)27(19-56)73-47/h10-11,26-44,47-49,56-59,61-68H,12-22H2,1-9H3,(H,69,70)	null	CC=C(C)C(=O)OC1CC2(C(=CCC3C2(CCC4C3(CCC(C4(C)CO)OC5C(C(C(C(O5)C(=O)O)OC6C(C(C(C(O6)CO)O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C8C1(C(C(C(C8)(C)C)OC(=O)C)O)CO)C	0.699999988	10820087;101716837	COCONUT:(CNP0195384);KNApSAcK:(32945);Natural Products:(UNPD123499 UNPD88698);database;PubChem:(10820087 101716837);SuperNatural:(SN00325192 SN00357089)	68722655250
8	1	N/A	-141.48954519763274	C55H86O24	[M - H]-	OBXUDMQHAYRBBM	InChI=1S/C55H86O24/c1-10-23(2)46(71)79-44-43(68)50(4,5)17-26-25-11-12-30-51(6)15-14-32(52(7,21-58)29(51)13-16-53(30,8)54(25,9)18-31(60)55(26,44)22-72-24(3)59)75-49-41(77-48-38(66)36(64)34(62)28(20-57)74-48)39(67)40(42(78-49)45(69)70)76-47-37(65)35(63)33(61)27(19-56)73-47/h10-11,26-44,47-49,56-58,60-68H,12-22H2,1-9H3,(H,69,70)	escin IVc	CC=C(C)C(=O)OC1C(C(CC2C1(C(CC3(C2=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)COC(=O)C)(C)C)O	0.100000001	6476034;6476035;10630053;10677738	COCONUT:(CNP0419810);Natural Products:(UNPD45398 UNPD7729);database;PubChem:(6476034 6476035 10630053 10677738);SuperNatural:(SN00260371 SN00324025);PubMed	68722655298
9	1	N/A	-141.48954519763274	C55H86O24	[M - H]-	YOSIWGSGLDDTHJ	InChI=1S/C55H86O24/c1-10-23(2)46(71)79-44-43(68)55(22-72-24(3)59)26(17-50(44,4)5)25-11-12-30-51(6)15-14-32(52(7,21-58)29(51)13-16-53(30,8)54(25,9)18-31(55)60)75-49-41(77-48-38(66)36(64)34(62)28(20-57)74-48)39(67)40(42(78-49)45(69)70)76-47-37(65)35(63)33(61)27(19-56)73-47/h10-11,26-44,47-49,56-58,60-68H,12-22H2,1-9H3,(H,69,70)	isoescin Ia	CC=C(C)C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)COC(=O)C)O	0.100000001	6476032;6476033;10843857;11506333;11535434;10192035;11766752;11804336;22892253;59918800;71694476;72988005;102004825;102004826;100971281;123134761;133562259;138392133;138392134	COCONUT:(CNP0166063);Natural Products:(UNPD29259 UNPD76106 UNPD167269 UNPD45687);database;PubChem:(6476032 6476033 10843857 11506333 11535434 10192035 11766752 11804336 22892253 59918800 71694476 72988005 102004825 102004826 100971281 123134761 133562259 138392133 138392134);SuperNatural:(SN00224184 SN00265229 SN00370186 SN00267156);Training Set;PubMed	68722671682
10	1	N/A	-143.2634825270793	C55H86O24	[M - H]-	SGHWMCWHIBRNFH	InChI=1S/C55H86O24/c1-11-22(2)46(71)79-44-43(72-23(3)59)50(4,5)18-25-24-12-13-29-52(8)16-15-30(51(6,7)28(52)14-17-53(29,9)54(24,10)41(67)42(68)55(25,44)21-58)75-49-40(78-48-36(65)34(63)32(61)27(20-57)74-48)38(37(66)39(77-49)45(69)70)76-47-35(64)33(62)31(60)26(19-56)73-47/h11-12,25-44,47-49,56-58,60-68H,13-21H2,1-10H3,(H,69,70)	(2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,7R,8S,8aR,9R,10R,12aS,14aR,14bR)-10-acetyloxy-7,8-dihydroxy-8a-(hydroxymethyl)-4,4,6a,6b,11,11,14b-heptamethyl-9-[(Z)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-hydroxy-4-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-[(2S,	CC=C(C)C(=O)OC1C(C(CC2C1(C(C(C3(C2=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)O)O)CO)(C)C)OC(=O)C	1.5	21576225	COCONUT:(CNP0329332);KNApSAcK:(43886);Natural Products:(UNPD93402);database;PubChem:(21576225);SuperNatural:(SN00282649)	68722655250
