structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1715454788330407	-34.12018047545702	C30H48O6	[M + H3N + H]+	IFIQVSCCFRXSJV	InChI=1S/C30H48O6/c1-25(2)11-13-30(24(35)36)14-12-28(5)17(21(30)23(25)34)7-8-20-26(3)15-18(32)22(33)27(4,16-31)19(26)9-10-29(20,28)6/h7,18-23,31-34H,8-16H2,1-6H3,(H,35,36)	arjungenin	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1O)C)C(=O)O)C	4.5	622032;124214;9892358;12444386;12444390;21120322;23928125;23955889;45359802;44201323;49786158;46882793;52952430;53913366;69570125;90883778;93472814;93472815;93472816;93473193;93473194;93473195;101773369	HMDB:(34501);SuperNatural:(SN00360618 SN00040298 SN00320694 SN00040300 SN00256563 SN00143649 SN00038663 SN00330640 SN00040297 SN00040299 SN00038811 SN00263901 SN00038662 SN00038813 SN00038812 SN00038665 SN00038664 SN00038810 SN00386682 SN00226631 SN00240942 SN00379369);ZINC bio:(ZINC38139808 ZINC38139809 ZINC38139810 ZINC38139811 ZINC38143753 ZINC38143754 ZINC38143755 ZINC38143756 ZINC67911032 ZINC67911034 ZINC67911036 ZINC67911038);additional;MeSH:(124214 622032);PubMed;COCONUT:(CNP0252493 CNP0419672);KNApSAcK:(35051);Natural Products:(UNPD34668 UNPD29149 UNPD187656 UNPD191083 UNPD28834 UNPD13252 UNPD161396 UNPD167486 UNPD809 UNPD61334 UNPD196923);database;PubChem:(622032 124214 9892358 12444386 12444390 21120322 23928125 23955889 45359802 44201323 49786158 46882793 52952430 53913366 69570125 90883778 93472814 93472815 93472816 93473193 93473194 93473195 101773369);CHEBI:(67912);PubChem class - bio and metabolites;Training Set	68739981438
2	1	N/A	-35.39453245529193	C30H48O6	[M + H3N + H]+	YCOKATFNRPZIIU	InChI=1S/C30H48O6/c1-17-9-12-30(24(34)35)14-13-27(4)18(22(30)29(17,6)36)7-8-21-25(2)15-19(32)23(33)26(3,16-31)20(25)10-11-28(21,27)5/h7,17,19-23,31-33,36H,8-16H2,1-6H3,(H,34,35)	Myrianthic acid	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1(C)O)C)C(=O)O	4.30000019	182497;490367;9827480;10074870;14055735;14055736;14055737;11677798;21309792;23844073;45359549;44199564;54501227;69569060;69569902;69569905;70062339;71768603;95223072;95223073;98440364;98440365;138113891	HMDB:(35875);SuperNatural:(SN00038683 SN00038960 SN00284422 SN00163772 SN00286854 SN00038681 SN00038682 SN00038680 SN00039672 SN00304440 SN00039671 SN00039673 SN00337019 SN00387117 SN00040779 SN00040778 SN00040777 SN00312483 SN00040776 SN00289111);ZINC bio:(ZINC38139833 ZINC38139834 ZINC38139835 ZINC38139836 ZINC42876689 ZINC67902734 ZINC67902735 ZINC67902737 ZINC67912313 ZINC67912316 ZINC67912317 ZINC67912318);additional;MeSH:(490367 14055737);PubMed;COCONUT:(CNP0062770 CNP0185294);KNApSAcK:(29412);Natural Products:(UNPD16518 UNPD2222 UNPD18438 UNPD118383 UNPD56465 UNPD161905 UNPD170842);database;PubChem:(182497 490367 9827480 10074870 14055735 14055736 14055737 11677798 21309792 23844073 45359549 44199564 54501227 69569060 69569902 69569905 70062339 71768603 95223072 95223073 98440364 98440365 138113891);CHEBI:(67915);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	77397024894
3	1	N/A	-46.129713864706346	C30H48O6	[M + H3N + H]+	ADFYMFQYUQYEQP	InChI=1S/C30H48O6/c1-25(2)13-18-17-7-8-21-26(3)14-19(32)23(34)27(4,16-31)20(26)9-10-29(21,6)28(17,5)11-12-30(18,24(35)36)15-22(25)33/h7,18-23,31-34H,8-16H2,1-6H3,(H,35,36)	(3S,4aR,6aR,6aS,6bR,8aR,9R,10R,11R,12aR,14bS)-3,10,11-trihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid	CC1(CC2C3=CCC4C(C3(CCC2(CC1O)C(=O)O)C)(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C	4.5	21594227;69569276	COCONUT:(CNP0407461);Natural Products:(UNPD36826 UNPD16897 UNPD141711);database;PubChem:(21594227 69569276);SuperNatural:(SN00348254 SN00392783 SN00323955)	68722655234
4	1	N/A	-50.81465337812267	C30H48O6	[M + H3N + H]+	FFPKNVKIBUBHMY	InChI=1S/C30H48O6/c1-16-7-10-30(25(35)36)12-11-28(5)18(22(30)17(16)2)13-19(32)23-26(3)14-20(33)24(34)27(4,15-31)21(26)8-9-29(23,28)6/h13,16-17,19-24,31-34H,7-12,14-15H2,1-6H3,(H,35,36)	(2alpha,3beta,11alpha)-2,3,11,23-tetrahydroxyurs-12-en-28-oic acid	CC1CCC2(CCC3(C(=CC(C4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)O)C2C1C)C)C(=O)O	4.5999999	51041097	COCONUT:(CNP0226595);Natural Products:(UNPD117171);database;PubChem:(51041097);CHEBI:(68380);MeSH:(51041097);PubMed;KEGG Mine	77311541350
5	1	N/A	-51.545421537050025	C30H48O6	[M + H3N + H]+	NFPZOORPDJBGME	InChI=1S/C30H48O6/c1-16-9-12-30(25(35)36)14-13-27(4)18(21(30)17(16)2)7-8-20-28(27,5)11-10-19-26(3,15-31)23(33)22(32)24(34)29(19,20)6/h7,16-17,19-24,31-34H,8-15H2,1-6H3,(H,35,36)	(1beta,2alpha,3alpha)-1,2,3,23-tetrahydroxyurs-12-en-28-oic acid	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(C(C(C(C5(C)CO)O)O)O)C)C)C2C1C)C)C(=O)O	4.69999981	10601628;44470116;69049736;69049737;70697866;70956306;102195762;124579309;124581197;124581198	COCONUT:(CNP0242518);Natural Products:(UNPD174227 UNPD178067);database;PubChem:(10601628 44470116 69049736 69049737 70697866 70956306 102195762 124579309 124581197 124581198);SuperNatural:(SN00347711 SN00310266);CHEBI:(66321);additional;Training Set;PubMed;KEGG Mine	77313130594
6	1	N/A	-53.30698913665564	C30H48O6	[M + H3N + H]+	AWZFLHHIQVOKDV	InChI=1S/C30H48O6/c1-25(2)11-13-30(24(35)36)14-12-28(5)17(21(30)23(25)34)7-8-19-26(3)10-9-20(33)27(4,16-31)22(26)18(32)15-29(19,28)6/h7,18-23,31-34H,8-16H2,1-6H3,(H,35,36)	null	CC1(CCC2(CCC3(C(=CCC4C3(CC(C5C4(CCC(C5(C)CO)O)C)O)C)C2C1O)C)C(=O)O)C	4.0999999	10481253	COCONUT:(CNP0186073);Natural Products:(UNPD118011 UNPD211007);database;PubChem:(10481253);SuperNatural:(SN00326130)	68722655234
7	1	N/A	-53.39915067878368	C30H48O6	[M + H3N + H]+	PRAUVHZJPXOEIF	InChI=1S/C30H48O6/c1-16-9-10-30(25(35)36)12-11-28(5)18(22(30)17(16)2)7-8-21-26(3)13-20(33)24(34)27(4,15-31)23(26)19(32)14-29(21,28)6/h7,16-17,19-24,31-34H,8-15H2,1-6H3,(H,35,36)	Brahmic acid	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O	4.4000001	73412;258809;3246316;5315494;6710742;12073158;11547904;9983615;11972635;16757913;16039578;21139897;24825674;24867578;42617414;45114814;44119894;44197787;51008623;51531964;51531966;51531968;50937096;53239391;56845291;69570950;94725164;94725165;94725166;94725167;96327575;96327576;96327577;96327578;98047108;98047109;98047110;98047111;124827541;124827542;124827543;124827544;126509868;137325532;137325533;138107071;137705969	HMDB:(36670);SuperNatural:(SN00164461 SN00305116 SN00243590 SN00345206 SN00401067 SN00162438 SN00402017);additional;MeSH:(73412 258809 6710742 12073158 24825674 137705969);PubMed;COCONUT:(CNP0034423 CNP0299068);KNApSAcK:(51418);Natural Products:(UNPD38009 UNPD92063 UNPD117208 UNPD196964 UNPD35436);database;PubChem:(73412 258809 3246316 5315494 6710742 12073158 11547904 9983615 11972635 16757913 16039578 21139897 24825674 24867578 42617414 45114814 44119894 44197787 51008623 51531964 51531966 51531968 50937096 53239391 56845291 69570950 94725164 94725165 94725166 94725167 96327575 96327576 96327577 96327578 98047108 98047109 98047110 98047111 124827541 124827542 124827543 124827544 126509868 137325532 137325533 138107071 137705969);CHEBI:(73058);PubChem class - bio and metabolites;Training Set;KEGG Mine	77329907838
8	1	N/A	-54.58134111649063	C30H48O6	[M + H3N + H]+	HORZOECJYCGUOG	InChI=1S/C30H48O6/c1-17-9-12-30(24(34)35)14-13-27(4)18(22(30)29(17,6)36)7-8-20-25(2)11-10-21(33)26(3,16-31)23(25)19(32)15-28(20,27)5/h7,17,19-23,31-33,36H,8-16H2,1-6H3,(H,34,35)	3,6,19,23-Tetrahydroxy-12-ursen-28-oic acid	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CCC(C5(C)CO)O)C)O)C)C2C1(C)O)C)C(=O)O	3.9000001	10767864;73554076;90930470;91162661;91668422;98291796;99738486;99738487;124524351;125507567;125507568;129317048;137706651	COCONUT:(CNP0312105);Natural Products:(UNPD142565 UNPD121208);database;PubChem:(10767864 73554076 90930470 91162661 91668422 98291796 99738486 99738487 124524351 125507567 125507568 129317048 137706651);SuperNatural:(SN00292011 SN00359935);PubMed	68722655298
9	1	N/A	-54.776380911974684	C30H48O6	[M + H3N + H]+	YOGUTEYZFFDORB	InChI=1S/C30H48O6/c1-25(2)11-13-30(24(35)36)14-12-27(4)17(18(30)15-25)7-8-20-28(27,5)10-9-19-26(3,16-31)22(33)21(32)23(34)29(19,20)6/h7,18-23,31-34H,8-16H2,1-6H3,(H,35,36)	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(C(C(C(C5(C)CO)O)O)O)C)C)C2C1)C)C(=O)O)C	4.9000001	10767865;10255578;102195763;100943932;131751780	COCONUT:(CNP0120401);HMDB:(35487);Natural Products:(UNPD113499 UNPD15974 UNPD152429);database;PubChem:(10767865 10255578 102195763 100943932 131751780);SuperNatural:(SN00310836 SN00227175 SN00316572);PubChem class - bio and metabolites	68739432458
10	1	N/A	-56.21337544198711	C30H48O6	[M + H3N + H]+	IDQVFXZQPGAVAM	InChI=1S/C30H48O6/c1-25(2)9-11-30(24(35)36)12-10-28(5)17(18(30)13-25)7-8-21-26(3)14-20(33)23(34)27(4,16-31)22(26)19(32)15-29(21,28)6/h7,18-23,31-34H,8-16H2,1-6H3,(H,35,36)	Terminolic acid	CC1(CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1)C)C(=O)O)C	4.5	181554;6453339;12314613;12314614;21576541;23844063;24883719;24883720;44159071;56841067;69569266;69569268;69569337;69570255;93473233;93473234;93473235;101773371;122361664;133556272	HMDB:(34500);SuperNatural:(SN00319906 SN00038871 SN00319219 SN00251091 SN00038868 SN00394556 SN00276070 SN00350562 SN00038870 SN00038869);ZINC bio:(ZINC38143878 ZINC38143879 ZINC38143880 ZINC38143881);additional;MeSH:(12314613 21576541);PubMed;COCONUT:(CNP0162865 CNP0175954);Natural Products:(UNPD95062 UNPD82173 UNPD169954 UNPD177030 UNPD192175 UNPD5584);database;PubChem:(181554 6453339 12314613 12314614 21576541 23844063 24883719 24883720 44159071 56841067 69569266 69569268 69569337 69570255 93473233 93473234 93473235 101773371 122361664 133556272);CHEBI:(73086);PubChem class - bio and metabolites;Training Set	68739981422
