structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.2299681860498886	-20.43862246301814	C27H30O15	[M + H]+	OUJDQONJYHNTDX	InChI=1S/C27H30O15/c28-7-16-20(32)22(34)24(36)26(41-16)39-11-3-1-10(2-4-11)13-9-38-15-6-12(5-14(30)18(15)19(13)31)40-27-25(37)23(35)21(33)17(8-29)42-27/h1-6,9,16-17,20-30,32-37H,7-8H2	Genistein 7,4''-di-O-glucoside	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	-0.899999976	13338931;44257276;91431845	COCONUT:(CNP0212361);KNApSAcK:(10106);Natural Products:(UNPD122654 UNPD12598 UNPD36443 UNPD138602);database;PubChem:(13338931 44257276 91431845);SuperNatural:(SN00232896 SN00295954 SN00286727 SN00240584);PubMed	68722655314
2	1	N/A	-25.880246966440584	C27H30O15	[M + H]+	YKBIHKIVJICDCU	InChI=1S/C27H30O15/c28-7-16-20(32)22(34)24(36)26(41-16)39-9-17-21(33)23(35)25(37)27(42-17)40-12-5-14(30)18-15(6-12)38-8-13(19(18)31)10-1-3-11(29)4-2-10/h1-6,8,16-17,20-30,32-37H,7,9H2	null	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O	-1.29999995	25227264;46842841;90657741	database;Plantcyc:(CPD-14848);PubChem:(25227264 46842841 90657741);PubMed;Biocyc:(CPD-14848);PubChem class - bio and metabolites	68736387138
3	1	N/A	-31.83764781983342	C27H30O15	[M + H]+	LBSOMIGNTZVUQN	InChI=1S/C27H30O15/c28-8-17-20(32)22(34)24(36)26(41-17)38-11-3-1-10(2-4-11)15-7-14(31)19-13(30)5-12(6-16(19)40-15)39-27-25(37)23(35)21(33)18(9-29)42-27/h1-7,17-18,20-30,32-37H,8-9H2	Apigenin 7,4''-dialloside	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	-1.33331203	11399192;21721985;21035979;44257816;44257819;89952572;101101311;101101312;101101313;134859057	COCONUT:(CNP0159710);KNApSAcK:(4162);Natural Products:(UNPD150967 UNPD73836 UNPD75631 UNPD173031);database;PubChem:(11399192 21721985 21035979 44257816 44257819 89952572 101101311 101101312 101101313 134859057);SuperNatural:(SN00310301 SN00354885 SN00226274);PubMed	68722655314
4	1	N/A	-38.746802149626625	C27H30O15	[M + H]+	XJAZCXFILUKYFS	InChI=1S/C27H30O15/c28-7-16-20(33)21(34)23(36)27(40-16)42-25-17(8-29)41-26(24(37)22(25)35)39-12-5-14(31)18-15(6-12)38-9-13(19(18)32)10-1-3-11(30)4-2-10/h1-6,9,16-17,20-31,33-37H,7-8H2	null	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O)O)O	-1.29999995	25099002;101429699;137628575	COCONUT:(CNP0346024);Natural Products:(UNPD26083);database;PubChem:(25099002 101429699 137628575);SuperNatural:(SN00398400)	68722655234
5	1	N/A	-39.18596523753484	C27H30O15	[M + H]+	MBLYALXOUBKFNE	InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(38-9)42-25-19(33)16-13(30)6-12(39-27-23(37)21(35)18(32)15(8-28)41-27)7-14(16)40-24(25)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3	Kaempferol 3-rhamnoside-7-glucoside	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC=C(C=C5)O)O)O)O	-0.600000024	44258934;66728595;90795788;139031072	COCONUT:(CNP0101686 CNP0370153);KNApSAcK:(5188);Natural Products:(UNPD22096 UNPD34074);database;PubChem:(44258934 66728595 90795788 139031072);SuperNatural:(SN00177640 SN00296134);Plantcyc:(CPD-8012);PubMed;Biocyc:(CPD-8012);KEGG Mine	77312723026
6	1	N/A	-39.597967464027064	C27H30O15	[M + H]+	XDMJJZUUHWWITI	InChI=1S/C27H30O15/c28-8-17-20(32)22(34)24(36)26(41-17)38-9-18-21(33)23(35)25(37)27(42-18)39-12-5-13(30)19-14(31)7-15(40-16(19)6-12)10-1-3-11(29)4-2-10/h1-7,17-18,20-30,32-37H,8-9H2	null	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O	-1.29999995	10841200;46842804	COCONUT:(CNP0362902);KNApSAcK:(29700);Natural Products:(UNPD88984 UNPD89749);database;PubChem:(10841200 46842804);SuperNatural:(SN00227621 SN00266529);PubChem class - bio and metabolites;Plantcyc:(CPD-14824);PubMed;Biocyc:(CPD-14824)	68739565650
7	1	N/A	-40.68514507594435	C27H30O15	[M + H]+	JYXSWDCPHRTYGU	InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(38-9)39-12-6-13(30)16-14(7-12)40-24(10-2-4-11(29)5-3-10)25(19(16)33)42-27-23(37)21(35)18(32)15(8-28)41-27/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3	Kaempferol-3-glucoside-7-rhamnoside	CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC=C(C=C5)O)O)O)O)O	-0.600000024	5318756;14035324;11968665;11968666;21550431;21550432;21606527;22524326;25202803;46183702;44258745;44258811;44258812;53982040;57390614;134742848;134742849;139031079;139031089	HMDB:(37426);SuperNatural:(SN00224827 SN00166956 SN00301709 SN00039715 SN00166953 SN00163883 SN00161357 SN00377050 SN00328448 SN00257223 SN00328287 SN00402738 SN00315580 SN00291820);ZINC bio:(ZINC67902860);additional;Plantcyc:(CPD1F-420);PubMed;COCONUT:(CNP0182333 CNP0383455);KNApSAcK:(5178);Natural Products:(UNPD129907 UNPD42464 UNPD56577 UNPD7755 UNPD43056 UNPD49837 UNPD179489 UNPD2531 UNPD21488 UNPD72467 UNPD149367 UNPD49710);database;PubChem:(5318756 14035324 11968665 11968666 21550431 21550432 21606527 22524326 25202803 46183702 44258745 44258811 44258812 53982040 57390614 134742848 134742849 139031079 139031089);CHEBI:(68882 68881 139409);PubChem class - bio and metabolites;YMDB:(1723);Biocyc:(CPD1F-420);KEGG Mine	77330098298
8	1	N/A	-42.80235622823362	C27H30O15	[M + H]+	QMAISBPLGVOOOA	InChI=1S/C27H30O15/c28-8-17-20(33)22(35)24(37)26(40-17)42-25-23(36)21(34)18(9-29)41-27(25)38-12-5-13(31)19-14(32)7-15(39-16(19)6-12)10-1-3-11(30)4-2-10/h1-7,17-18,20-31,33-37H,8-9H2	Apigenin 7-allosyl-(1->2)-glucoside	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O	-1.33331203	10817284;44257813;74977516;102145102;101429694	COCONUT:(CNP0232333);KNApSAcK:(4158);Natural Products:(UNPD166938 UNPD180446);database;PubChem:(10817284 44257813 74977516 102145102 101429694);SuperNatural:(SN00244963 SN00393314);KEGG Mine	77312589842
9	1	N/A	-52.46452264721309	C27H30O15	[M + H]+	YONLJLRPNAUKHY	InChI=1S/C27H30O15/c28-8-17-20(33)21(34)23(36)27(40-17)42-25-18(9-29)41-26(24(37)22(25)35)38-12-5-13(31)19-14(32)7-15(39-16(19)6-12)10-1-3-11(30)4-2-10/h1-7,17-18,20-31,33-37H,8-9H2	Apigenin 7-cellobioside	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O)O)O)O	-1.33331203	21784980;44257848;60194967;60195926;73840313;101429695;137628593	COCONUT:(CNP0288865);HMDB:(37852);KNApSAcK:(13608);Natural Products:(UNPD143787 UNPD191439);database;PubChem:(21784980 44257848 60194967 60195926 73840313 101429695 137628593);SuperNatural:(SN00344836 SN00346163);PubChem class - bio and metabolites	68739432474
10	1	N/A	-52.979227401878525	C27H30O15	[M + H]+	MUROHJLQQNVADP	InChI=1S/C27H30O15/c28-8-17-20(32)22(34)24(36)26(41-17)38-12-5-15-19(13(31)7-14(39-15)10-1-3-11(30)4-2-10)16(6-12)40-27-25(37)23(35)21(33)18(9-29)42-27/h1-7,17-18,20-30,32-37H,8-9H2	null	C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O	-1.5	68672504	COCONUT:(CNP0407553);Natural Products:(UNPD148449 UNPD184864);database;PubChem:(68672504);SuperNatural:(SN00350495 SN00373573);PubMed	68722655298
