structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.301417601776669	-76.01846103490853	C28H38O5	[M + H]+	ZTEVDTFJUUJBLP	InChI=1S/C28H38O5/c1-14-13-20(32-25(30)15(14)2)16(3)17-8-9-18-22-19(10-12-26(17,18)4)27(5)21(29)7-6-11-28(27,31)24-23(22)33-24/h6-7,16-20,22-24,31H,8-13H2,1-5H3	Withanolide B	CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)C	4.69999981	14236711;14236712	HMDB:(30020);SuperNatural:(SN00335379 SN00302523 SN00390525 SN00344172 SN00227821);additional;MeSH:(14236711);PubMed;COCONUT:(CNP0242592);KNApSAcK:(33134);Natural Products:(UNPD91035 UNPD111247 UNPD31661 UNPD49541 UNPD114508);database;PubChem:(14236711 14236712);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	68807082078
2	1	N/A	-101.58256748394953	C28H38O5	[M + H]+	PQCMITGKFWXOBO	InChI=1S/C28H38O5/c1-15-12-22(32-25(31)18(15)14-29)16(2)19-7-8-20-17-13-24-28(33-24)10-5-6-23(30)27(28,4)21(17)9-11-26(19,20)3/h5-6,16-17,19-22,24,29H,7-14H2,1-4H3	Jaborosalactone A	CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6)C)O5)C)CO	4.9000001	268945;12304656;10321754	COCONUT:(CNP0172372);Natural Products:(UNPD33839 UNPD34436 UNPD165983);database;PubChem:(268945 12304656 10321754);SuperNatural:(SN00365362 SN00258938 SN00275096);PubMed	68722655298
3	1	N/A	-101.77740241836052	C28H38O5	[M + H]+	VAPIOEVNHJBIKG	InChI=1S/C28H38O5/c1-15-13-21(32-24(30)16(15)2)17(3)27(31)12-9-19-18-14-23-28(33-23)10-6-7-22(29)26(28,5)20(18)8-11-25(19,27)4/h6-7,17-21,23,31H,8-14H2,1-5H3	null	CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6)C)O5)C)O)C	4.0	10095500	COCONUT:(CNP0179155);Natural Products:(UNPD121701);database;PubChem:(10095500);SuperNatural:(SN00335013)	68722655234
4	1	N/A	-102.99698364166171	C28H38O5	[M + H]+	HBFRBCZKKTVLPR	InChI=1S/C28H38O5/c1-14-12-21(32-25(31)15(14)2)16(3)18-6-7-19-17-13-24-28(33-24)23(30)9-8-22(29)27(28,5)20(17)10-11-26(18,19)4/h8-9,16-21,23-24,30H,6-7,10-13H2,1-5H3	null	CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)C	4.5	301758;5315323;10161347;23266155;66575620;99576032;99576033;99576034;99576035;102435651	COCONUT:(CNP0220590);Natural Products:(UNPD107878 UNPD141317);database;PubChem:(301758 5315323 10161347 23266155 66575620 99576032 99576033 99576034 99576035 102435651);SuperNatural:(SN00270070 SN00169143 SN00390663);PubMed	68722655298
5	1	N/A	-103.65918651101478	C28H38O5	[M + H]+	ZNHRHVYFSUPWQQ	InChI=1S/C28H38O5/c1-15-12-22(32-25(31)16(15)2)18(14-29)20-8-7-19-17-13-24-28(33-24)10-5-6-23(30)27(28,4)21(17)9-11-26(19,20)3/h5-6,17-22,24,29H,7-14H2,1-4H3	null	CC1=C(C(=O)OC(C1)C(CO)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6)C)O5)C)C	4.5131588	""	COCONUT:(CNP0321000);Natural Products:(UNPD82144);database;SuperNatural:(SN00294995)	68722655232
6	1	N/A	-109.47865380297307	C28H38O5	[M + H]+	LLPCLUINZWXSIT	InChI=1S/C28H38O5/c1-13-14(2)26(31)33-23(22(13)30)15(3)16-9-10-17-21-18(11-12-27(16,17)4)28(5)19(24-25(21)32-24)7-6-8-20(28)29/h6,8,15-19,21-25,30H,7,9-12H2,1-5H3	null	CC1=C(C(=O)OC(C1O)C(C)C2CCC3C2(CCC4C3C5C(O5)C6C4(C(=O)C=CC6)C)C)C	4.50524378	""	COCONUT:(CNP0339547);Natural Products:(UNPD195317);database;SuperNatural:(SN00371674)	68722655232
7	1	N/A	-119.10330489626413	C28H38O5	[M + H]+	KXKGHTHYZAZOPZ	InChI=1S/C28H38O5/c1-15-12-23(33-26(32)18(15)14-29)16(2)19-8-9-20-25-21(10-11-27(19,20)3)28(4)17(13-22(25)30)6-5-7-24(28)31/h5-6,13,16,19-23,25,29-30H,7-12,14H2,1-4H3	null	CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3C(C=C5C4(C(=O)CC=C5)C)O)C)CO	4.2615962	""	COCONUT:(CNP0122542);Natural Products:(UNPD219743);database	68721606656
8	1	N/A	-120.9923378337447	C28H38O5	[M + H]+	BBKBXXIHSPMKMK	InChI=1S/C28H38O5/c1-16-15-22(33-24(30)17(16)2)18(3)28(32)14-10-20-19-8-13-27(31)11-6-7-23(29)26(27,5)21(19)9-12-25(20,28)4/h6-8,13,18-22,31-32H,9-12,14-15H2,1-5H3	(2R)-2-[(1R)-1-[(5S,8S,9S,10R,13S,14S,17S)-5,17-dihydroxy-10,13-dimethyl-1-oxo-4,8,9,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]ethyl]-4,5-dimethyl-2,3-dihydropyran-6-one	CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3C=CC5(C4(C(=O)C=CC5)C)O)C)O)C	3.70000005	21679028	COCONUT:(CNP0240065);Natural Products:(UNPD6847 UNPD103793);database;PubChem:(21679028);SuperNatural:(SN00231548 SN00392465)	68722655234
9	1	N/A	-123.55797303272871	C28H38O5	[M + H]+	RRKMTTQICCWOES	InChI=1S/C28H38O5/c1-14-13-20(32-25(30)15(14)2)16(3)28(31)12-10-17-22-18(9-11-26(17,28)4)27(5)19(23-24(22)33-23)7-6-8-21(27)29/h7,16-18,20,22-24,31H,6,8-13H2,1-5H3	null	CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3C5C(O5)C6=CCCC(=O)C46C)C)O)C	4.35358381	""	COCONUT:(CNP0294837);Natural Products:(UNPD27620);database;SuperNatural:(SN00337134)	68722655232
10	1	N/A	-126.45455369017493	C28H38O5	[M + H]+	KVGZFVWPWRXZRC	InChI=1S/C28H38O5/c1-16-15-22(33-24(30)17(16)2)18(3)27(31)13-14-28(32)21-10-9-19-7-6-8-23(29)26(19,5)20(21)11-12-25(27,28)4/h6,8-9,18,20-22,31-32H,7,10-15H2,1-5H3	(2R)-2-[(1R)-1-[(8R,9S,10R,13S,14R,17R)-14,17-dihydroxy-10,13-dimethyl-1-oxo-4,7,8,9,11,12,15,16-octahydrocyclopenta[a]phenanthren-17-yl]ethyl]-4,5-dimethyl-2,3-dihydropyran-6-one	CC1=C(C(=O)OC(C1)C(C)C2(CCC3(C2(CCC4C3CC=C5C4(C(=O)C=CC5)C)C)O)O)C	3.5999999	21679034;101503706	COCONUT:(CNP0285645);Natural Products:(UNPD6341 UNPD33227 UNPD137311);database;PubChem:(21679034 101503706);SuperNatural:(SN00358876 SN00384999)	68722655234
