structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1943659820286304	-156.45824767580473	C35H56O9	[M + CH2O2 - H]-	SPRWRZLWRVMFBX	InChI=1S/C35H56O9/c1-8-40-25-13-18(2)26-22(43-25)15-33(7)23-14-21(42-19(3)36)29-31(4,5)24(44-30-28(39)27(38)20(37)16-41-30)9-10-35(29)17-34(23,35)12-11-32(26,33)6/h18,20-30,37-39H,8-17H2,1-7H3	10-ethoxy-1,1,7a,8,12a-pentamethyl-2-(pentopyranosyloxy)octadecahydrocyclopropa[1'',8a'']naphtho[2'',1'':4,5]indeno[2,1-b]pyran-14-yl acetate	CCOC1CC(C2C(O1)CC3(C2(CCC45C3CC(C6C4(C5)CCC(C6(C)C)OC7C(C(C(CO7)O)O)O)OC(=O)C)C)C)C	4.69999981	183101;11969996	COCONUT:(CNP0233079);Natural Products:(UNPD2902 UNPD120022 UNPD150478 UNPD87577);database;PubChem:(183101 11969996);SuperNatural:(SN00255547 SN00344371 SN00367761 SN00341020)	68722655234
2	1	N/A	-157.58304167803718	C35H56O9	[M + CH2O2 - H]-	FCPRBNDLDDAHLC	InChI=1S/C35H56O9/c1-30(2)13-14-35(29(41)42)20(15-30)19-7-8-23-31(3)11-10-25(44-28-27(40)26(39)21(37)17-43-28)32(4,18-36)22(31)9-12-33(23,5)34(19,6)16-24(35)38/h7,20-28,36-40H,8-18H2,1-6H3,(H,41,42)	Cauloside B	CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(CO6)O)O)O)C)C(=O)O)C	4.0999999	6324902;10054631;23304291;45267537	COCONUT:(CNP0037606 CNP0405387);KNApSAcK:(33708);Natural Products:(UNPD178469 UNPD355 UNPD111999);database;PubChem:(6324902 10054631 23304291 45267537);SuperNatural:(SN00164786 SN00229492 SN00275085 SN00256088);PubMed;KEGG Mine	77312589906
3	1	N/A	-161.2924490945951	C35H56O9	[M + CH2O2 - H]-	XGWYBQCOZNQQHX	InChI=1S/C35H56O9/c1-30(2)11-13-35(29(41)42)14-12-33(5)19(20(35)15-30)7-8-24-31(3)16-21(37)27(44-28-26(40)25(39)22(38)17-43-28)32(4,18-36)23(31)9-10-34(24,33)6/h7,20-28,36-40H,8-18H2,1-6H3,(H,41,42)	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(CO6)O)O)O)O)C)C)C2C1)C)C(=O)O)C	3.79999995	75528878;101726447;133562218	COCONUT:(CNP0198217);Natural Products:(UNPD61865);database;PubChem:(75528878 101726447 133562218);SuperNatural:(SN00247740);KEGG Mine	77312589826
4	1	N/A	-163.31921275773874	C35H56O9	[M + CH2O2 - H]-	YRJUPRDNRGIERZ	InChI=1S/C35H56O9/c1-30(2)15-20-19-7-8-23-31(3)11-10-25(44-28-27(40)26(39)21(37)17-43-28)32(4,18-36)22(31)9-12-34(23,6)33(19,5)13-14-35(20,29(41)42)24(38)16-30/h7,20-28,36-40H,8-18H2,1-6H3,(H,41,42)	null	CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C(=O)O)C)C)(C)CO)OC6C(C(C(CO6)O)O)O)C)C	4.0999999	101833926	COCONUT:(CNP0301936);Natural Products:(UNPD58061);database;PubChem:(101833926);SuperNatural:(SN00314240);KEGG Mine	77312589826
5	1	N/A	-165.60914428424408	C35H56O9	[M + CH2O2 - H]-	CFCNCBJRNLKPKT	InChI=1S/C35H56O9/c1-30(2)13-15-35(29(41)42)16-14-33(5)19(24(35)27(30)40)7-8-22-31(3)11-10-23(44-28-26(39)25(38)20(37)17-43-28)32(4,18-36)21(31)9-12-34(22,33)6/h7,20-28,36-40H,8-18H2,1-6H3,(H,41,42)	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1O)C)C(=O)O)C	3.88474894	""	COCONUT:(CNP0277547);Natural Products:(UNPD211372);database;KEGG Mine	77311541248
6	1	N/A	-168.740234878701	C35H56O9	[M + CH2O2 - H]-	LIFSGPPJRHEFEY	InChI=1S/C35H56O9/c1-18(8-7-9-19(2)29(41)42)20-14-24(37)33(6)23-11-10-22-31(3,4)26(44-30-28(40)27(39)21(36)16-43-30)12-13-34(22)17-35(23,34)15-25(38)32(20,33)5/h9,18,20-28,30,36-40H,7-8,10-17H2,1-6H3,(H,41,42)	null	CC(CCC=C(C)C(=O)O)C1CC(C2(C1(C(CC34C2CCC5C3(C4)CCC(C5(C)C)OC6C(C(C(CO6)O)O)O)O)C)C)O	4.30000019	23902358;99567670;99567671;99567672;99567673;138394735	COCONUT:(CNP0069295 CNP0349054);database;PubChem:(23902358 99567670 99567671 99567672 99567673 138394735);SuperNatural:(SN00038568 SN00038570 SN00038569 SN00038567);ZINC bio:(ZINC38139506 ZINC38139507 ZINC38139508 ZINC38139509);additional;Training Set	68723171330
7	1	N/A	-170.54004829778896	C35H56O9	[M + CH2O2 - H]-	BTPYUWOBZFGKAI	InChI=1S/C35H56O9/c1-17-14-19-26(30(4,5)40)44-35(43-19)25(17)31(6)12-13-34-16-33(34)11-10-22(42-27-24(38)23(37)18(36)15-41-27)29(2,3)20(33)8-9-21(34)32(31,7)28(35)39/h17-28,36-40H,8-16H2,1-7H3	Ambap27994-11-2	CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)C)O2)C(C)(C)O	3.70000005	10651522;11758587;15541911;11856502;11331024;16088242;21606548;24721628;45359545;53325244;53467380;56654405;59595169;59595172;59595175;59595177;68221037;71051867;71098420;75368715;90335661;91884748;91885032;102011404;101794078;101403647;125121296;122361555;123443820;139070702;138107637;138114883	COCONUT:(CNP0404554);KNApSAcK:(32834);Natural Products:(UNPD90604 UNPD149220 UNPD186123 UNPD9972 UNPD74568 UNPD142798 UNPD80287 UNPD179926);database;PubChem:(10651522 11758587 15541911 11856502 11331024 16088242 21606548 24721628 45359545 53325244 53467380 56654405 59595169 59595172 59595175 59595177 68221037 71051867 71098420 75368715 90335661 91884748 91885032 102011404 101794078 101403647 125121296 122361555 123443820 139070702 138107637 138114883);SuperNatural:(SN00311277 SN00042345 SN00042347 SN00039628 SN00322735 SN00042348 SN00039626 SN00177372 SN00039629 SN00321362 SN00271527 SN00177371 SN00039627 SN00042346 SN00362743 SN00230075);CHEBI:(70246);ZINC bio:(ZINC67902627 ZINC67902629 ZINC67902631 ZINC67902632 ZINC77257354 ZINC77257356 ZINC77257357 ZINC77257358);additional;MeSH:(15541911 16088242);Training Set;PubMed	68723204214
8	1	N/A	-175.4289992893159	C35H56O9	[M + CH2O2 - H]-	KHRMPMJBSSDCST	InChI=1S/C35H56O9/c1-18(2)14-24(43-31-29(42)28(41)27(40)25(16-36)44-31)19(3)20-10-11-34(7)30-23(38)15-22-21(8-9-26(39)32(22,4)5)35(30,17-37)13-12-33(20,34)6/h14-15,17,19-21,23-31,36,38-42H,8-13,16H2,1-7H3	null	CC(C1CCC2(C1(CCC3(C2C(C=C4C3CCC(C4(C)C)O)O)C=O)C)C)C(C=C(C)C)OC5C(C(C(C(O5)CO)O)O)O	3.50405216	""	COCONUT:(CNP0197115);Natural Products:(UNPD230405);database	68721606656
9	1	N/A	-180.97274085168084	C35H56O9	[M + CH2O2 - H]-	UKDGPTZSBZPKIO	InChI=1S/C35H56O9/c1-30(18-36)12-14-35(29(41)42)15-13-33(4)20(21(35)16-30)6-7-24-31(2)10-9-25(44-28-27(40)26(39)22(38)17-43-28)32(3,19-37)23(31)8-11-34(24,33)5/h6,21-28,36-40H,7-19H2,1-5H3,(H,41,42)	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)O)CO	3.88144064	""	database;KEGG Mine	77309411328
10	1	N/A	-183.26478491076557	C35H56O9	[M + CH2O2 - H]-	LIZOAYORPILWQE	InChI=1S/C35H56O9/c1-17-23-19(43-35(26(17)39)28(44-35)30(4,5)40)14-32(7)21-9-8-20-29(2,3)22(42-27-25(38)24(37)18(36)15-41-27)10-11-33(20)16-34(21,33)13-12-31(23,32)6/h17-28,36-40H,8-16H2,1-7H3	null	CC1C2C(CC3(C2(CCC45C3CCC6C4(C5)CCC(C6(C)C)OC7C(C(C(CO7)O)O)O)C)C)OC8(C1O)C(O8)C(C)(C)O	3.19801927	""	COCONUT:(CNP0280158);Natural Products:(UNPD150439);database;SuperNatural:(SN00394901)	68722655232
