structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.23384127946718564	-18.54168491695901	C17H14O8	[M + H]+	RRYQDECFPVYHLR	InChI=1S/C17H14O8/c1-23-15-11(21)6-10(20)12-13(22)17(24-2)14(25-16(12)15)7-3-4-8(18)9(19)5-7/h3-6,18-21H,1-2H3	Gossypetin 3,8-dimethyl ether	COC1=C(C=C(C2=C1OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O)O	2.5	5748553	COCONUT:(CNP0248919);KNApSAcK:(4727);Natural Products:(UNPD130774);database;PubChem:(5748553);SuperNatural:(SN00321236);PubMed;KEGG Mine	77312589906
2	1	N/A	-23.590048556293567	C17H14O8	[M + H]+	IBXCKSUZOFKGSB	InChI=1S/C17H14O8/c1-23-11-5-7(3-4-8(11)18)15-14(22)13(21)12-9(19)6-10(20)16(24-2)17(12)25-15/h3-6,18-20,22H,1-2H3	Limocitrin	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC)O)O	2.5	5489485;90658707	HMDB:(29516);SuperNatural:(SN00302601);additional;Plantcyc:(CPD-16777);PubMed;COCONUT:(CNP0200886);KNApSAcK:(4731);Natural Products:(UNPD127355);database;PubChem:(5489485 90658707);PubChem class - bio and metabolites;Biocyc:(CPD-16777);KEGG Mine	77330024538
3	1	N/A	-30.197265781839917	C17H14O8	[M + H]+	SYFVLDHARWXXFR	InChI=1S/C17H14O8/c1-23-11-6-10(20)12-13(21)14(22)15(25-17(12)16(11)24-2)7-3-4-8(18)9(19)5-7/h3-6,18-20,22H,1-2H3	Zanthoxyl flavone	COC1=C(C2=C(C(=C1)O)C(=O)C(=C(O2)C3=CC(=C(C=C3)O)O)O)OC	2.5	10665235	COCONUT:(CNP0259398);KNApSAcK:(13368);Natural Products:(UNPD27355);database;PubChem:(10665235);SuperNatural:(SN00226289);KEGG Mine	77312589842
4	1	N/A	-30.838637859456437	C17H14O8	[M + H]+	KIGVXRGRNLQNNI	InChI=1S/C17H14O8/c1-23-16-10(20)6-11-12(13(16)21)14(22)17(24-2)15(25-11)7-3-4-8(18)9(19)5-7/h3-6,18-21H,1-2H3	Axillarin	COC1=C(C2=C(C=C1O)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O	2.5	5281603	HMDB:(130270);SuperNatural:(SN00014128);ZINC bio:(ZINC06483405);additional;MeSH:(5281603);PubMed;COCONUT:(CNP0254488 CNP0262108);KNApSAcK:(4684);Natural Products:(UNPD18132);database;PubChem:(5281603);CHEBI:(2941);PubChem class - bio and metabolites;KEGG:(C10021);Training Set	68739981694
5	1	N/A	-31.640857186913056	C17H14O8	[M + H]+	GZLICDZZLZMPPI	InChI=1S/C17H14O8/c1-23-11-6-10(20)12-14(22)17(24-2)15(25-16(12)13(11)21)7-3-4-8(18)9(19)5-7/h3-6,18-21H,1-2H3	Gossypetin 3,7-dimethyl ether	COC1=C(C2=C(C(=C1)O)C(=O)C(=C(O2)C3=CC(=C(C=C3)O)O)OC)O	2.5	13983744	COCONUT:(CNP0321509);KNApSAcK:(4726);Natural Products:(UNPD82838);database;PubChem:(13983744);SuperNatural:(SN00348713);KEGG Mine	77312589842
6	1	N/A	-32.033900353856886	C17H14O8	[M + H]+	HGANUTRTBCXELR	InChI=1S/C17H14O8/c1-23-16-10(19)9-11(20)17(24-2)14(7-3-5-8(18)6-4-7)25-15(9)12(21)13(16)22/h3-6,18-19,21-22H,1-2H3	5,7,8,4''-Tetrahydroxy-3,6-dimethoxyflavone	COC1=C(C(=C2C(=C1O)C(=O)C(=C(O2)C3=CC=C(C=C3)O)OC)O)O	2.5	44260054	COCONUT:(CNP0299611);KNApSAcK:(4666);Natural Products:(UNPD5544);database;PubChem:(44260054);SuperNatural:(SN00347693)	68722655250
7	1	N/A	-32.53946742375479	C17H14O8	[M + H]+	XWIDINOKCRFVHQ	InChI=1S/C17H14O8/c1-23-10-5-7(3-4-8(10)18)16-15(22)13(20)12-11(25-16)6-9(19)17(24-2)14(12)21/h3-6,18-19,21-22H,1-2H3	Spinacetin	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)O)O	2.5	5321435;90657630	COCONUT:(CNP0112748 CNP0222477);HMDB:(30587);KNApSAcK:(4689);Natural Products:(UNPD148521);database;PubChem:(5321435 90657630);SuperNatural:(SN00159114);PubChem class - bio and metabolites;Plantcyc:(CPD-16776);PubMed;Biocyc:(CPD-16776);KEGG Mine	77329500250
8	1	N/A	-35.367787834738316	C17H14O8	[M + H]+	GLMWHQIFJIURES	InChI=1S/C17H14O8/c1-23-16-13(21)12-10(20)6-11(7-3-4-8(18)9(19)5-7)25-15(12)17(24-2)14(16)22/h3-6,18-19,21-22H,1-2H3	5,7,3'',4''-Tetrahydroxy-6,8-dimethoxyflavone	COC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O)OC)O	2.29999995	5321859	COCONUT:(CNP0363875);HMDB:(130663);KNApSAcK:(3926);Natural Products:(UNPD67574);database;PubChem:(5321859);SuperNatural:(SN00036819);ZINC bio:(ZINC14437288);additional;PubChem class - bio and metabolites;Training Set;KEGG Mine	77329915930
9	1	N/A	-35.69810557231851	C17H14O8	[M + H]+	BBYWJFDEIJPQMI	InChI=1S/C17H14O8/c1-23-16-14(22)13(21)12-10(20)6-11(25-15(12)17(16)24-2)7-3-4-8(18)9(19)5-7/h3-6,18-19,21-22H,1-2H3	null	COC1=C(C(=C2C(=O)C=C(OC2=C1OC)C3=CC(=C(C=C3)O)O)O)O	2.29999995	44578735	COCONUT:(CNP0304696);Natural Products:(UNPD61441);database;PubChem:(44578735);SuperNatural:(SN00369594);PubMed;KEGG Mine	77312589890
10	1	N/A	-37.01441058737112	C17H14O8	[M + H]+	VZNIMRVJHRTTKA	InChI=1S/C17H14O8/c1-23-16-13(21)12-10(20)6-11(7-3-4-8(18)9(19)5-7)25-15(12)14(22)17(16)24-2/h3-6,18-19,21-22H,1-2H3	Leucanthogenin	COC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O)O)OC	2.29999995	15224752	COCONUT:(CNP0227500);KNApSAcK:(13336);Natural Products:(UNPD49307);database;PubChem:(15224752);SuperNatural:(SN00240800);KEGG Mine	77312589842
