structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.08356486453817139	-85.41458904879744	C37H40N2O6	[M + H]+	LHIFPLJVJKKRTD	InChI=1S/C37H40N2O6/c1-39-15-13-25-20-34(42-4)36(43-5)37-35(25)29(39)17-23-8-11-30(40-2)32(18-23)44-26-9-6-22(7-10-26)16-28-27-21-33(45-37)31(41-3)19-24(27)12-14-38-28/h6-11,18-21,28-29,38H,12-17H2,1-5H3	N-Nor-D-tetrandrine	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C4)OC)OC5=CC=C(CC6C7=CC(=C(C=C7CCN6)OC)O3)C=C5)OC)OC	5.9000001	319564;3082494;102148111	COCONUT:(CNP0179131);KNApSAcK:(27728);Natural Products:(UNPD79272 UNPD85982);database;PubChem:(319564 3082494 102148111);SuperNatural:(SN00163654 SN00401569);MeSH:(319564 3082494);KEGG Mine	77312589846
2	1	N/A	-85.41458904879744	C37H40N2O6	[M + H]+	BIQLCSCFEQRHME	InChI=1S/C37H40N2O6/c1-39-15-13-24-19-31(41-3)33-21-27(24)29(39)17-22-6-9-26(10-7-22)44-32-18-23(8-11-30(32)40-2)16-28-35-25(12-14-38-28)20-34(42-4)36(43-5)37(35)45-33/h6-11,18-21,28-29,38H,12-17H2,1-5H3	(+)-2-norisotetrandrine	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6)OC)OC)OC)OC	6.19999981	9960485;102148207	COCONUT:(CNP0194455);Natural Products:(UNPD114509);database;PubChem:(9960485 102148207);SuperNatural:(SN00366550);PubMed;KEGG Mine	77312589890
3	1	N/A	-86.58654611499765	C37H40N2O6	[M + H]+	IIQSJHUEZBTSAT	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-31(42-4)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-32-18-23(8-11-30(32)41-3)17-29-35-25(13-15-39(29)2)20-34(43-5)36(40)37(35)45-33/h6-11,18-21,28-29,40H,12-17H2,1-5H3	Limacine	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)O)OC)OC	6.0999999	73481;100257;321937;7656034;5317313;5458555;11902300;11911288	SuperNatural:(SN00168914 SN00135939 SN00135601 SN00404031);ZINC bio:(ZINC38148193 ZINC40163549);additional;MeSH:(73481 100257 321937 5458555 7656034);PubMed;COCONUT:(CNP0208359);KNApSAcK:(25276);Natural Products:(UNPD186493 UNPD103466 UNPD125404 UNPD55420);database;PubChem:(73481 100257 321937 7656034 5317313 5458555 11902300 11911288);CHEBI:(132893);PubChem class - safety and toxic;Training Set;KEGG Mine	77380247670
4	1	N/A	-86.58654611499765	C37H40N2O6	[M + H]+	YJRWQNIRFXVBRB	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-31(42-4)33-21-27(24)28(38)17-23-8-11-30(41-3)32(18-23)44-26-9-6-22(7-10-26)16-29-35-25(13-15-39(29)2)20-34(43-5)36(40)37(35)45-33/h6-11,18-21,28-29,40H,12-17H2,1-5H3	Cycleapeltin	CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)OC)O)OC	6.30000019	99620;3084718;4083684;9851833;12311233;10054445	COCONUT:(CNP0241532);KNApSAcK:(25265);Natural Products:(UNPD88783 UNPD110704 UNPD96920 UNPD123895);database;PubChem:(99620 3084718 4083684 9851833 12311233 10054445);SuperNatural:(SN00312456 SN00393724 SN00161095 SN00371720);MeSH:(99620);PubChem class - safety and toxic;PubMed;KEGG Mine	77379698774
5	1	N/A	-86.58654611499765	C37H40N2O6	[M + H]+	MYHQIVSWYXBWOC	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-31(42-4)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-37-35-25(20-34(43-5)36(37)40)13-15-39(2)29(35)17-23-8-11-30(41-3)32(18-23)45-33/h6-11,18-21,28-29,40H,12-17H2,1-5H3	(+)-Hayatinine	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)OC)O3)N(CCC6=CC(=C5O)OC)C)OC	6.30000019	628520;5317970;5317972;12310374;10393930;16637550	COCONUT:(CNP0151935);KNApSAcK:(25886);Natural Products:(UNPD156742 UNPD56346 UNPD92407 UNPD64640);database;PubChem:(628520 5317970 5317972 12310374 10393930 16637550);SuperNatural:(SN00276902 SN00317153 SN00162667 SN00166483);MeSH:(16637550);PubMed;KEGG Mine	77312589910
6	1	N/A	-87.35604350831788	C37H40N2O6	[M + H]+	CLRFYZIIRGIXMT	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(42-4)34-20-27(24)29(38)16-22-6-9-25(10-7-22)44-33-18-23(8-11-31(33)41-3)17-30-28-21-35(43-5)36(40)37(45-34)26(28)13-15-39(30)2/h6-11,18-21,29-30,40H,12-17H2,1-5H3	Panurensine	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C(=C7CCN6C)O3)O)OC)OC)OC	6.30000019	362570;494544;3085090	COCONUT:(CNP0170244);MeSH:(3085090);Natural Products:(UNPD187912);database;PubChem:(362570 494544 3085090);SuperNatural:(SN00366399)	68722655238
7	1	N/A	-87.35604350831788	C37H40N2O6	[M + H]+	CASHVZNATRNXDE	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(42-4)34-20-27(24)29(38)17-23-8-11-31(41-3)33(18-23)44-25-9-6-22(7-10-25)16-30-28-21-35(43-5)36(40)37(45-34)26(28)13-15-39(30)2/h6-11,18-21,29-30,40H,12-17H2,1-5H3	Thalmine	CN1CCC2=CC(=C3C=C2C1CC4=CC(=C(C=C4)OC)OC5=CC=C(CC6C7=CC(=C(C(=C7CCN6C)O3)O)OC)C=C5)OC	6.30000019	442366;3610937;3832193;16395648;118701375	COCONUT:(CNP0309045);KNApSAcK:(1922);Natural Products:(UNPD91089 UNPD66672);database;PubChem:(442366 3610937 3832193 16395648 118701375);SuperNatural:(SN00354742 SN00105766);CHEBI:(9514);ZINC bio:(ZINC70665313);KEGG:(C09659)	68722663730
8	1	N/A	-88.04336047974951	C37H40N2O6	[M + H]+	DGAIZFTYTKDOEN	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(41-3)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-37-35-25(20-34(42-4)36(37)43-5)13-15-39(2)29(35)17-23-8-11-30(40)31(18-23)45-33/h6-11,18-21,28-29,40H,12-17H2,1-5H3	(-)-Racemosidine C	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)N(CCC6=CC(=C5OC)OC)C)OC	6.30000019	11758407;21582961;23279816;46872238	COCONUT:(CNP0144844);KNApSAcK:(25796);Natural Products:(UNPD58489 UNPD191385 UNPD40770);database;PubChem:(11758407 21582961 23279816 46872238);SuperNatural:(SN00245411 SN00232364 SN00237014);MeSH:(46872238);PubMed;KEGG Mine	77312589910
9	1	N/A	-88.04336047974951	C37H40N2O6	[M + H]+	DFOCUWZXJBAUSQ	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(41-3)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-31-18-23(8-11-30(31)40)17-29-35-25(13-15-39(29)2)20-34(42-4)36(43-5)37(35)45-33/h6-11,18-21,28-29,40H,12-17H2,1-5H3	Berbenine	CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC	6.0999999	10170;275182;442341;7067486;7067487;6330552;12300053;118701373;138107474	SuperNatural:(SN00159852 SN00340567 SN00261237);ZINC bio:(ZINC30726840 ZINC30726949);additional;MeSH:(10170 275182 12300053);PubMed;NORMAN:(NS00043460);COCONUT:(CNP0402894);KNApSAcK:(1817);Natural Products:(UNPD18192 UNPD144220 UNPD151889 UNPD23687);database;PubChem:(10170 275182 442341 7067486 7067487 6330552 12300053 118701373 138107474);CHEBI:(8651 3063);KEGG:(C09615 C09357);PubChem class - safety and toxic	68790559094
10	1	N/A	-88.04336047974951	C37H40N2O6	[M + H]+	HGNHIFJNOKGSKI	InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(41-3)33-21-27(24)28(38)17-23-8-11-30(40)31(18-23)44-26-9-6-22(7-10-26)16-29-35-25(13-15-39(29)2)20-34(42-4)36(43-5)37(35)45-33/h6-11,18-21,28-29,40H,12-17H2,1-5H3	Oxyacanthine	CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)O)OC)OC	6.30000019	371257;442333;5320345;6712993;12313848;10031631;21582965;90662359	HMDB:(30172);SuperNatural:(SN00098408 SN00393734 SN00162591);ZINC bio:(ZINC30726947);additional;MeSH:(442333);PubMed;NORMAN:(NS00043913);COCONUT:(CNP0153582);KNApSAcK:(1897);Natural Products:(UNPD18575 UNPD25471 UNPD54018);database;PubChem:(371257 442333 5320345 6712993 12313848 10031631 21582965 90662359);CHEBI:(7853);PubChem class - bio and metabolites;KEGG:(C09598);Training Set	68740243838
