Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
1.0,"InChI=1S/C20H22O7/c1-4-5-6-7-12-8-13(11-27-20(12)24)18(21)17-15(19(22)23)9-14(25-2)10-16(17)26-3/h8-11H,4-7H2,1-3H3,(H,22,23)",348.0;348.0,2,374.136553,324479,C20H22O7,N,CCCCCc1cc(C(=O)c2c(OC)cc(OC)cc2C(=O)O)coc1=O,193.08555603027344:[C11H13O3]+;194.0941162109375:[C11H13O3]+H+,UHFFFAOYSA,KADMDYZCVRINBF,66.35803674603477,193.08555603027344_513.9;194.0941162109375_56.8,KADMDYZCVRINBF-UHFFFAOYSA-N,2,25
1.0,"InChI=1S/C20H22O7/c1-23-13-10-15(22)19(16(11-13)24-2)14(21)7-6-12-8-17(25-3)20(27-5)18(9-12)26-4/h6-11,22H,1-5H3",348.0;348.0,2,374.136553,466625,C20H22O7,N,COc1cc(O)c(C(=O)C=Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,193.08555603027344:[C11H13O3]+;194.0941162109375:[C11H13O3]+H+,UHFFFAOYSA,BEDDITQSLNWAOP,66.35803674603477,193.08555603027344_513.9;194.0941162109375_56.8,BEDDITQSLNWAOP-UHFFFAOYSA-N,2,25
1.0,"InChI=1S/C20H22O7/c1-23-13-9-15(22)20(19(10-13)27-5)14(21)7-6-12-8-17(25-3)18(26-4)11-16(12)24-2/h6-11,22H,1-5H3/b7-6+",348.0;348.0,2,374.136553,513052,C20H22O7,N,COc1cc(O)c(C(=O)/C=C/c2cc(OC)c(OC)cc2OC)c(OC)c1,193.08555603027344:[C11H13O3]+;194.0941162109375:[C11H13O3]+H+,VOTSOKGWSA,VHCQVGQULWFQTM,66.35803674603477,193.08555603027344_513.9;194.0941162109375_56.8,VHCQVGQULWFQTM-VOTSOKGWSA-N,2,25
0.9841925410350032,"InChI=1S/C20H22O7/c1-9-8-14(11(3)17(21)15(9)19(22)23)27-20(24)16-10(2)7-13(25-5)12(4)18(16)26-6/h7-8,21H,1-6H3,(H,22,23)",360.0;360.0,2,374.136553,46766,C20H22O7,N,COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(OC)c1C,193.08555603027344:[C11H13O3]+;194.0941162109375:[C11H13O3]+H+,UHFFFAOYSA,MIJKZXWOOXIEEU,65.30908480317407,193.08555603027344_513.9;194.0941162109375_56.8,MIJKZXWOOXIEEU-UHFFFAOYSA-N,2,25
0.9841925410350032,"InChI=1S/C20H22O7/c1-8-7-13(21)11(4)16(22)14(8)20(25)27-18-10(3)9(2)15(19(24)26-6)17(23)12(18)5/h7,21-23H,1-6H3",360.0;360.0,2,374.136553,333777,C20H22O7,N,COC(=O)c1c(C)c(C)c(OC(=O)c2c(C)cc(O)c(C)c2O)c(C)c1O,193.08555603027344:[C11H13O3]+;194.0941162109375:[C11H13O3]+H+,UHFFFAOYSA,LTMJJMNIPUQFPU,65.30908480317407,193.08555603027344_513.9;194.0941162109375_56.8,LTMJJMNIPUQFPU-UHFFFAOYSA-N,2,25
0.8426733922082483,"InChI=1S/C20H22O7/c1-25-18-11-14(6-7-15(18)22)20(24)16(23)12-27-17-8-5-13(4-3-9-21)10-19(17)26-2/h3-11,16,20,22-24H,12H2,1-2H3",448.0;796.0,2,374.136553,446728,C20H22O7,N,COc1cc(C(O)C(O)COc2ccc(C=CC=O)cc2OC)ccc1O,193.08555603027344:[C11H11O3+H]+H+;194.0941162109375:[C11H12O3+H]+H+,UHFFFAOYSA,FLBNSIKCFALSKN,55.91815192506071,193.08555603027344_513.9;194.0941162109375_56.8,FLBNSIKCFALSKN-UHFFFAOYSA-N,2,25
0.7134672759751512,"InChI=1S/C20H22O7/c1-25-17-11-14(12-18(26-2)20(17)24)4-3-9-27-19(23)8-6-13-5-7-15(21)16(22)10-13/h5-8,10-12,21-22,24H,3-4,9H2,1-2H3",820.0;460.0,2,374.136553,409358,C20H22O7,N,COc1cc(CCCOC(=O)C=Cc2ccc(O)c(O)c2)cc(OC)c1O,193.08555603027344:[C11H14O3-H]+;194.0941162109375:[C11H15O3-H]+,UHFFFAOYSA,WHBFQWYWOVTRCA,47.34428771625242,193.08555603027344_513.9;194.0941162109375_56.8,WHBFQWYWOVTRCA-UHFFFAOYSA-N,2,25
0.7124345690708468,"InChI=1S/C20H22O7/c1-24-17-7-11(3-5-15(17)21)19-13-9-27-20(23,14(13)10-26-19)12-4-6-16(22)18(8-12)25-2/h3-8,13-14,19,21-23H,9-10H2,1-2H3/t13-,14-,19+,20+/m0/s1",696.0;796.0,2,374.136553,43690,C20H22O7,N,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@]3(O)c2ccc(O)c(OC)c2)ccc1O,193.08555603027344:[C11H12O3]+H+;194.0941162109375:[C11H12O3+H]+H+,AFHBHXEDSA,JGWZMWCBIAYEIJ,47.2757593135487,193.08555603027344_513.9;194.0941162109375_56.8,JGWZMWCBIAYEIJ-AFHBHXEDSA-N,2,25
0.7124345690708468,"InChI=1S/C20H22O7/c1-18-7-11(9-4-6-24-8-9)25-16(21)10(18)3-5-19(2)14(18)12-13-15(26-13)20(19,23)17(22)27-12/h4,6,8,10-15,23H,3,5,7H2,1-2H3/t10-,11-,12-,13+,14+,15+,18-,19-,20+/m1/s1",696.0;796.0,2,374.136553,302752,C20H22O7,N,C[C@@]12C[C@H](c3ccoc3)OC(=O)[C@H]1CC[C@]1(C)[C@H]2[C@@H]2OC(=O)[C@@]1(O)[C@H]1O[C@@H]21,193.08555603027344:[C11H12O3]+H+;194.0941162109375:[C11H12O3+H]+H+,ZQTGRHRJSA,TXOMRNMZLZXJQP,47.2757593135487,193.08555603027344_513.9;194.0941162109375_56.8,TXOMRNMZLZXJQP-ZQTGRHRJSA-N,2,25
0.7124345690708468,"InChI=1S/C20H22O7/c1-26-17-10-13(4-3-9-21)5-7-15(17)20(25,12-22)19(24)14-6-8-16(23)18(11-14)27-2/h3-11,19,22-25H,12H2,1-2H3/b4-3+/t19?,20-/m0/s1",696.0;796.0,2,374.136553,308168,C20H22O7,N,COc1cc(C(O)[C@](O)(CO)c2ccc(/C=C/C=O)cc2OC)ccc1O,193.08555603027344:[C11H12O3]+H+;194.0941162109375:[C11H12O3+H]+H+,AARAPKBOSA,QBFAVXCSZOANGN,47.2757593135487,193.08555603027344_513.9;194.0941162109375_56.8,QBFAVXCSZOANGN-AARAPKBOSA-N,2,25
