structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.1545024814592259	-60.20770837185618	C20H24O5	[M - H]-	ROGUIJKVZZROIQ	InChI=1S/C20H24O5/c1-23-19-9-13(3-5-17(19)21)7-15-11-25-12-16(15)8-14-4-6-18(22)20(10-14)24-2/h3-6,9-10,15-16,21-22H,7-8,11-12H2,1-2H3	3,4-Divanilyltetrahydrofuran	COC1=C(C=CC(=C1)CC2COCC2CC3=CC(=C(C=C3)O)OC)O	3.5	182210;9906140;10043119;9974771	COCONUT:(CNP0287210);Natural Products:(UNPD46095 UNPD85705 UNPD187727);database;PubChem:(182210 9906140 10043119 9974771);SuperNatural:(SN00301714 SN00013818 SN00327113);ZINC bio:(ZINC05999108);MeSH:(182210);PubMed;KEGG Mine	77312598086
2	1	N/A	-66.97567366222098	C20H24O5	[M - H]-	GMXMKSFJQLFOSO	InChI=1S/C20H24O5/c1-11-12(2)20(14-6-8-16(22)18(10-14)24-4)25-19(11)13-5-7-15(21)17(9-13)23-3/h5-12,19-22H,1-4H3	Nectandrin B	CC1C(C(OC1C2=CC(=C(C=C2)O)OC)C3=CC(=C(C=C3)O)OC)C	3.70000005	156517;158325;5320041;10736226;11523033;13870570;13870571;13870572;13870573;15605805;16069561;40580526;58507652;118422069;135035786	HMDB:(34179);SuperNatural:(SN00036414 SN00020385 SN00261344 SN00036413 SN00020384 SN00013878 SN00024281);ZINC bio:(ZINC06066904 ZINC06066913 ZINC06067050 ZINC13484750 ZINC13484751 ZINC18061098);additional;MeSH:(156517);PubMed;COCONUT:(CNP0202297);KNApSAcK:(30885);Natural Products:(UNPD118100 UNPD195354 UNPD38536 UNPD119073 UNPD25219 UNPD128702 UNPD50105 UNPD70863);database;PubChem:(156517 158325 5320041 10736226 11523033 13870570 13870571 13870572 13870573 15605805 16069561 40580526 58507652 118422069 135035786);PubChem class - bio and metabolites;Training Set	68739981406
3	1	N/A	-73.01077477974067	C20H24O5	[M - H]-	QLZQNPQQNASFSL	InChI=1S/C20H24O5/c1-12-15(8-13-4-6-16(21)18(9-13)23-2)11-25-20(12)14-5-7-17(22)19(10-14)24-3/h4-7,9-10,12,15,20-22H,8,11H2,1-3H3	null	CC1C(COC1C2=CC(=C(C=C2)O)OC)CC3=CC(=C(C=C3)O)OC	3.5999999	46178441;101108944;101108945;102227824	COCONUT:(CNP0130646);Natural Products:(UNPD206221);database;PubChem:(46178441 101108944 101108945 102227824)	68721606658
4	1	N/A	-90.24238394129765	C20H24O5	[M - H]-	BTVZLULIATXDNP	InChI=1S/C20H24O5/c1-13(8-14-4-6-17(22)19(10-14)24-2)16(12-21)9-15-5-7-18(23)20(11-15)25-3/h4-7,10-11,16,21-23H,1,8-9,12H2,2-3H3	null	COC1=C(C=CC(=C1)CC(CO)C(=C)CC2=CC(=C(C=C2)O)OC)O	3.74435306	""	COCONUT:(CNP0217163);Natural Products:(UNPD204723);database	68721606656
5	1	N/A	-95.47153318959636	C20H24O5	[M - H]-	YHZDCZYZLPBRTC	InChI=1S/C20H24O5/c1-25-20-13-15(8-11-18(20)23)6-9-16(21)5-3-2-4-14-7-10-17(22)19(24)12-14/h7-8,10-13,22-24H,2-6,9H2,1H3	null	COC1=C(C=CC(=C1)CCC(=O)CCCCC2=CC(=C(C=C2)O)O)O	3.5	91333351	COCONUT:(CNP0343679);Natural Products:(UNPD229127);database;PubChem:(91333351);PubMed	68721606722
6	1	N/A	-143.37350615643135	C20H24O5	[M - H]-	PDALBPBLFWHDRD	InChI=1S/C20H24O5/c1-5-6-14-7-10-17(19(11-14)24-4)25-13(2)20(22)15-8-9-16(21)18(12-15)23-3/h5,7-13,20-22H,1,6H2,2-4H3	4-[1-hydroxy-2-(2-methoxy-4-prop-2-enylphenoxy)propyl]-2-methoxyphenol	CC(C(C1=CC(=C(C=C1)O)OC)O)OC2=C(C=C(C=C2)CC=C)OC	3.79999995	14015408;21770237	COCONUT:(CNP0396680);HMDB:(31753);Natural Products:(UNPD125780);database;PubChem:(14015408 21770237);SuperNatural:(SN00019876 SN00019874 SN00019873 SN00019875);ZINC bio:(ZINC13311489 ZINC13311491 ZINC13311493 ZINC13311497);PubChem class - bio and metabolites	68739440650
7	1	N/A	-166.25167241464104	C20H24O5	[M - H]-	WAHUIEHYVBLIER	InChI=1S/C20H24O5/c1-25-20-12-15(6-11-19(20)24)5-10-18(23)13-17(22)9-4-14-2-7-16(21)8-3-14/h2-3,6-8,11-12,18,21,23-24H,4-5,9-10,13H2,1H3	5-Hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)-3-heptanone	COC1=C(C=CC(=C1)CCC(CC(=O)CCC2=CC=C(C=C2)O)O)O	2.70000005	637003;10893307;21588208	COCONUT:(CNP0242698);Natural Products:(UNPD137845 UNPD149687);database;PubChem:(637003 10893307 21588208);SuperNatural:(SN00019960 SN00019961);ZINC bio:(ZINC13341042 ZINC13341044);Training Set;PubMed	68722679874
8	1	N/A	-166.25167241464104	C20H24O5	[M - H]-	IBRDIJPPEHZDQH	InChI=1S/C20H24O5/c1-25-20-12-15(6-11-19(20)24)5-10-18(23)13-17(22)9-4-14-2-7-16(21)8-3-14/h2-3,6-8,11-12,17,21-22,24H,4-5,9-10,13H2,1H3	5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)heptan-3-one	COC1=C(C=CC(=C1)CCC(=O)CC(CCC2=CC=C(C=C2)O)O)O	2.70000005	15118816;44575993;54577337	COCONUT:(CNP0218002);Natural Products:(UNPD202664 UNPD139652);database;PubChem:(15118816 44575993 54577337);SuperNatural:(SN00158222);PubMed	68722655298
9	1	N/A	-167.15579378593355	C20H24O5	[M - H]-	ROSZLESPLNBVCZ	InChI=1S/C20H24O5/c1-12(8-14-4-6-16(21)18(9-14)23-3)13(2)20(22)15-5-7-17-19(10-15)25-11-24-17/h4-7,9-10,12-13,20-22H,8,11H2,1-3H3	4-[(2R,3S,4R)-4-(1,3-benzodioxol-5-yl)-4-hydroxy-2,3-dimethylbutyl]-2-methoxyphenol	CC(CC1=CC(=C(C=C1)O)OC)C(C)C(C2=CC3=C(C=C2)OCO3)O	4.0	11791717	COCONUT:(CNP0420829);KNApSAcK:(49244);Natural Products:(UNPD152021);database;PubChem:(11791717);SuperNatural:(SN00259777)	68722655250
10	1	N/A	-169.8645306211891	C20H24O5	[M - H]-	WCFYXOLUODJLKB	InChI=1S/C20H24O5/c1-5-6-14-7-10-17(19(11-14)24-4)25-13(2)20(22)15-8-9-16(21)18(12-15)23-3/h5-13,20-22H,1-4H3	Machilin D	CC=CC1=CC(=C(C=C1)OC(C)C(C2=CC(=C(C=C2)O)OC)O)OC	3.79999995	904795;904797;3837952;5936610;6545141;13939327;16397289	COCONUT:(CNP0256057);KNApSAcK:(31993);Natural Products:(UNPD22947 UNPD201139 UNPD172824 UNPD230711 UNPD111582 UNPD184977);database;PubChem:(904795 904797 3837952 5936610 6545141 13939327 16397289);SuperNatural:(SN00021017 SN00001524 SN00001525 SN00021016 SN00287510);ZINC bio:(ZINC00485799 ZINC00485801 ZINC14762018 ZINC14762020);additional;MeSH:(904797 5936610);PubMed	68723187798
