structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.3298459281868812	-12.776683229095932	C48H82O19	[M + H]+	FBFMBWCLBGQEBU	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,67-42-38(61)35(58)32(55)26(19-50)64-42)22-11-15-46(6)30(22)23(52)16-28-45(5)14-12-29(53)44(3,4)40(45)24(17-47(28,46)7)62-43-39(36(59)33(56)27(20-51)65-43)66-41-37(60)34(57)31(54)25(18-49)63-41/h10,22-43,49-61H,9,11-20H2,1-8H3	gypenoside	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C	1.10000002	6325270;12855925;25060610;24721561;24779761;56776276;56840599;101216668;102186766;100935331;123134431;125038251;125038252;125038253;125038254;122173168;125463147;134688425;138107302	COCONUT:(CNP0237577);KNApSAcK:(29442);Natural Products:(UNPD1846 UNPD109240 UNPD13204 UNPD130379 UNPD138824 UNPD192439);database;PubChem:(6325270 12855925 25060610 24721561 24779761 56776276 56840599 101216668 102186766 100935331 123134431 125038251 125038252 125038253 125038254 122173168 125463147 134688425 138107302);SuperNatural:(SN00283067 SN00238500 SN00238048 SN00382348);additional;Training Set;PubMed;KEGG Mine	77313130578
2	1	N/A	-26.039464251987255	C48H82O19	[M + H]+	SXNNDEIXKBANEP	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,67-43-39(61)35(57)32(54)26(19-50)65-43)22-11-15-46(6)30(22)23(51)16-28-45(5)14-12-29(52)44(3,4)40(45)24(17-47(28,46)7)63-42-38(60)36(58)33(55)27(66-42)20-62-41-37(59)34(56)31(53)25(18-49)64-41/h10,22-43,49-61H,9,11-20H2,1-8H3	null	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)COC6C(C(C(C(O6)CO)O)O)O)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C	0.5	10920146;85316219;101130268	COCONUT:(CNP0229493);HMDB:(39944);KNApSAcK:(30851);Natural Products:(UNPD106021 UNPD163466);database;PubChem:(10920146 85316219 101130268);SuperNatural:(SN00348557 SN00332038);PubChem class - bio and metabolites	68739432474
3	1	N/A	-28.40154046478346	C48H82O19	[M + H]+	YPUHYSBFIMWSEC	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,67-43-39(61)36(58)33(55)27(66-43)20-62-41-37(59)34(56)31(53)25(18-49)64-41)22-11-15-46(6)30(22)23(51)16-28-45(5)14-12-29(52)44(3,4)40(45)24(17-47(28,46)7)63-42-38(60)35(57)32(54)26(19-50)65-42/h10,22-43,49-61H,9,11-20H2,1-8H3	notoginsenoside-R6	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)O)O)C	0.5	5320224;11968802;73157231;73351440;101170141	COCONUT:(CNP0287524);HMDB:(40492);KNApSAcK:(30859);Natural Products:(UNPD96790 UNPD156750 UNPD59100 UNPD157418 UNPD53581);database;PubChem:(5320224 11968802 73157231 73351440 101170141);SuperNatural:(SN00389613 SN00298148 SN00292258 SN00225107 SN00321285);PubChem class - bio and metabolites;PubMed	68739432538
4	1	N/A	-35.136243110015194	C48H82O19	[M + H]+	XYDGLABNHGXTRN	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,67-43-37(60)34(57)32(55)26(19-50)64-43)22-11-15-46(6)30(22)23(52)16-28-45(5)14-12-29(53)44(3,4)40(45)24(17-47(28,46)7)62-41-38(61)35(58)39(27(20-51)65-41)66-42-36(59)33(56)31(54)25(18-49)63-42/h10,22-43,49-61H,9,11-20H2,1-8H3	null	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)O)O)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C	0.5	10701113;10795973;10909207;85238297;101053443;101717750	COCONUT:(CNP0361023);HMDB:(39945);KNApSAcK:(30852);Natural Products:(UNPD166451 UNPD13982);database;PubChem:(10701113 10795973 10909207 85238297 101053443 101717750);SuperNatural:(SN00379467 SN00306637);CHEBI:(143055);PubChem class - bio and metabolites	68739432506
5	1	N/A	-44.32569197056838	C48H82O19	[M + H]+	UOJAEODBOCLNBU	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,67-42-38(61)35(58)32(55)26(19-50)63-42)22-11-15-46(6)30(22)23(52)16-28-45(5)14-12-29(44(3,4)40(45)24(53)17-47(28,46)7)65-43-39(36(59)33(56)27(20-51)64-43)66-41-37(60)34(57)31(54)25(18-49)62-41/h10,22-43,49-61H,9,11-20H2,1-8H3	2-[2-[[6,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[6-methyl-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C	1.10000002	5176390;10373712;15940177;20284220;125040353;125040354;125040355;125040356	COCONUT:(CNP0325601);HMDB:(40843);Natural Products:(UNPD41681 UNPD65752 UNPD50850 UNPD118911);database;PubChem:(5176390 10373712 15940177 20284220 125040353 125040354 125040355 125040356);SuperNatural:(SN00306590 SN00315382 SN00271751);PubChem class - bio and metabolites;PubMed	68739432522
6	1	N/A	-54.70629508733551	C48H82O19	[M + H]+	YPHHTIFQRNWYKW	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,61)22-11-15-46(6)30(22)24(62-41-37(59)34(56)31(53)25(18-49)63-41)16-28-45(5)14-12-29(44(3,4)40(45)23(52)17-47(28,46)7)66-43-39(36(58)33(55)27(20-51)65-43)67-42-38(60)35(57)32(54)26(19-50)64-42/h10,22-43,49-61H,9,11-20H2,1-8H3	null	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C)O)C	1.10000002	71552954;102197697	COCONUT:(CNP0127141);Natural Products:(UNPD212812);database;PubChem:(71552954 102197697)	68721606658
7	1	N/A	-55.02327520268718	C48H82O19	[M + H]+	VENRSYBHHVDBDC	InChI=1S/C48H82O19/c1-21(2)10-9-13-48(8,67-42-38(61)35(58)32(55)26(19-50)63-42)22-11-14-47(7)30(22)23(52)16-29-45(5)17-24(53)40(44(3,4)28(45)12-15-46(29,47)6)66-43-39(36(59)33(56)27(20-51)64-43)65-41-37(60)34(57)31(54)25(18-49)62-41/h10,22-43,49-61H,9,11-20H2,1-8H3	null	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CC(C(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C	1.39999998	45102066;75090527;76320987;125181830;122365757;138731314	COCONUT:(CNP0130165);KNApSAcK:(43565);Natural Products:(UNPD112680);database;PubChem:(45102066 75090527 76320987 125181830 122365757 138731314);SuperNatural:(SN00236592);MeSH:(75090527);PubMed	68722655318
8	1	N/A	-65.12523515416568	C48H82O19	[M + H]+	PISZAVBCMAQRIS	InChI=1S/C48H82O19/c1-21(2)11-10-14-47(8,66-40-35(58)32(55)30(53)25(19-49)63-40)22-12-16-45(6)29(22)23(51)17-27-44(5)15-13-28(52)43(3,4)38(44)24(18-46(27,45)7)62-42-37(33(56)31(54)26(20-50)64-42)65-41-36(59)34(57)39(60)48(9,61)67-41/h11,22-42,49-61H,10,12-20H2,1-9H3	null	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)(C)O)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C	0.864019632	""	COCONUT:(CNP0199890);Natural Products:(UNPD196649);database;SuperNatural:(SN00400348)	68722655232
9	1	N/A	-79.06256750431334	C48H82O19	[M + H]+	RSOHUXCZIQMEMQ	InChI=1S/C48H82O19/c1-21-30(53)33(56)36(59)40(62-21)66-38-35(58)32(55)26(20-50)65-42(38)63-24-18-47(8)27(45(6)15-12-28(52)44(4,5)39(24)45)17-23(51)29-22(11-16-46(29,47)7)48(9,14-10-13-43(2,3)61)67-41-37(60)34(57)31(54)25(19-49)64-41/h10,13,21-42,49-61H,11-12,14-20H2,1-9H3	(2S,5R)-2-[(2R,4S,6R)-2-[[3,12-dihydroxy-17-[(E)-6-hydroxy-6-methyl-2-[(2S,4S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-4-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-methyloxane-3,4,5-triol	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CC=CC(C)(C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)C)CO)O)O)O)O)O	-0.100000001	5319223;20839266;131751089	COCONUT:(CNP0328077);HMDB:(30886);Natural Products:(UNPD91668);database;PubChem:(5319223 20839266 131751089);SuperNatural:(SN00373511);PubChem class - bio and metabolites	68739432458
10	1	N/A	-81.87476998158563	C48H82O19	[M + H]+	RBKDQMRDZGCDOB	InChI=1S/C48H82O19/c1-20(2)23(51)11-15-48(9,67-42-38(61)35(58)32(55)26(18-49)64-42)22-10-14-46(7)30(22)24(52)16-28-45(6)13-12-29(53)44(4,5)40(45)25(17-47(28,46)8)63-43-39(36(59)33(56)27(19-50)65-43)66-41-37(60)34(57)31(54)21(3)62-41/h11,15,20-43,49-61H,10,12-14,16-19H2,1-9H3	(2S,5R)-2-[(2R,4S,6R)-2-[[3,12-dihydroxy-17-[(E)-5-hydroxy-6-methyl-2-[(2S,4S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-3-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-methyloxane-3,4,5-triol	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(C=CC(C(C)C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)C)CO)O)O)O)O)O	0.200000003	5319222;20839265	COCONUT:(CNP0105866);Natural Products:(UNPD43759);database;PubChem:(5319222 20839265);SuperNatural:(SN00393497)	68722655234
