structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.241942764215492	-27.457946431059074	C9H8N2	[M + H]+	WREVVZMUNPAPOV	InChI=1S/C9H8N2/c10-8-5-1-3-7-4-2-6-11-9(7)8/h1-6H,10H2	8-Quinolinamine	C1=CC2=C(C(=C1)N)N=CC=C2	1.47585893	11359;21572849;59070806;102413024	NORMAN:(NS00033804);database;PubChem:(11359 21572849 59070806 102413024);PubChem class - bio and metabolites;MeSH:(11359);PubChem class - safety and toxic;PubMed	68803625030
2	1	N/A	-29.876444468768934	C9H8N2	[M + H]+	SVNCRRZKBNSMIV	InChI=1S/C9H8N2/c10-8-5-7-3-1-2-4-9(7)11-6-8/h1-6H,10H2	3-Quinolinamine	C1=CC=C2C(=C1)C=C(C=N2)N	1.47585893	11375;11423666;19831797	NORMAN:(NS00015312);database;PubChem:(11375 11423666 19831797);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubMed	68804165698
3	1	N/A	-30.11581061262377	C9H8N2	[M + H]+	FQYRLEXKXQRZDH	InChI=1S/C9H8N2/c10-8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,(H2,10,11)	4-Quinolinamine	C1=CC=C2C(=C1)C(=CC=N2)N	1.47585893	68476;7128350	COCONUT:(CNP0117074);Natural Products:(UNPD22911);database;PubChem:(68476 7128350);PubChem class - bio and metabolites;MeSH:(68476);PubChem class - safety and toxic;PubMed	68805492806
4	1	N/A	-31.49013097577643	C9H8N2	[M + H]+	XMIAFAKRAAMSGX	InChI=1S/C9H8N2/c10-8-4-1-5-9-7(8)3-2-6-11-9/h1-6H,10H2	5-Quinolinamine	C1=CC(=C2C=CC=NC2=C1)N	1.47585893	11911;19831856	NORMAN:(NS00034580);MeSH:(11911);database;PubChem class - safety and toxic;PubChem:(11911 19831856);PubMed	68786847814
5	1	N/A	-37.01949223349477	C9H8N2	[M + H]+	RZAUIOKDXQWSQE	InChI=1S/C9H8N2/c10-8-4-3-7-2-1-5-11-9(7)6-8/h1-6H,10H2	7-aminequinolin	C1=CC2=C(C=C(C=C2)N)N=C1	1.47585893	11377	PubChem:(11377);database;PubChem class - safety and toxic	68786585602
6	1	N/A	-39.89127591016316	C9H8N2	[M + H]+	CQLOYHZZZCWHSG	InChI=1S/C9H8N2/c1-7-3-2-4-8-9(7)11-6-5-10-8/h2-6H,1H3	5-Methylquinoxaline	CC1=C2C(=CC=C1)N=CC=N2	1.78918922	61670	NORMAN:(NS00021004);COCONUT:(CNP0283701);HMDB:(33178);Natural Products:(UNPD146736);database;PubChem class - food;PubChem:(61670);CHEBI:(132799);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed;KEGG Mine	77529907306
7	1	N/A	-42.580267019208534	C9H8N2	[M + H]+	RJSRSRITMWVIQT	InChI=1S/C9H8N2/c10-8-3-4-9-7(6-8)2-1-5-11-9/h1-6H,10H2	6-Quinolinamine	C1=CC2=C(C=CC(=C2)N)N=C1	1.47585893	11373;21251934;117619021	NORMAN:(NS00033833);COCONUT:(CNP0060887);database;PubChem:(11373 21251934 117619021);SuperNatural:(SN00117554);ZINC bio:(ZINC00163693);PubChem class - bio and metabolites;MeSH:(11373);PubChem class - safety and toxic;PubMed	68806778950
8	1	N/A	-44.50748579978192	C9H8N2	[M + H]+	DTVYNUOOZIKEEX	InChI=1S/C9H8N2/c10-9-3-1-2-7-6-11-5-4-8(7)9/h1-6H,10H2	5-aminoisoquinolin	C1=CC2=C(C=CN=C2)C(=C1)N	1.39999998	70766;19831920	NORMAN:(NS00045338);COCONUT:(CNP0147968);database;PubChem:(70766 19831920);PubChem class - bio and metabolites;MeSH:(70766);PubChem class - safety and toxic;PubMed	68805722182
9	1	N/A	-47.41410374304172	C9H8N2	[M + H]+	GCMNJUJAKQGROZ	InChI=1S/C9H8N2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H2,10,11)	Fragment 19	C1=CC=C2C(=C1)C=CC(=N2)N	1.81323159	11379;6931827	NORMAN:(NS00033837);COCONUT:(CNP0246278);HMDB:(34175);Natural Products:(UNPD162363);database;PubChem:(11379 6931827);SuperNatural:(SN00375614);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed	68806803530
10	1	N/A	-54.04853091490184	C9H8N2	[M + H]+	NGFCTYXFMDWFRQ	InChI=1S/C9H8N2/c10-9-2-1-8-6-11-4-3-7(8)5-9/h1-6H,10H2	6-Isoquinolinamine	C1=CC2=C(C=CN=C2)C=C1N	1.32859945	588991;139509964	COCONUT:(CNP0423039);database;PubChem class - safety and toxic;PubChem:(588991 139509964);PubMed	68788682818
