structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.3235297859007329	-34.76490910314079	C42H66O15	[M - H]-	RZQHWSDMLZHIRN	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(53)57-34-30(49)27(46)26(45)22(18-43)54-34)16-14-40(5)20(21(42)17-37)7-8-24-38(3)11-10-25(39(4,19-44)23(38)9-12-41(24,40)6)55-35-31(50)28(47)29(48)32(56-35)33(51)52/h7,21-32,34-35,43-50H,8-19H2,1-6H3,(H,51,52)	Ilexoside XLVIII	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C	3.0999999	10079102;10259803;14564471;23955896;44566327;101641962;134765782	COCONUT:(CNP0186327 CNP0410673);KNApSAcK:(30509);Natural Products:(UNPD184861 UNPD102175 UNPD39584 UNPD135259 UNPD137267);database;PubChem:(10079102 10259803 14564471 23955896 44566327 101641962 134765782);SuperNatural:(SN00397591 SN00251463 SN00269772 SN00280967 SN00395643);additional;Training Set;PubMed	68723195986
2	1	N/A	-50.61183202454535	C42H66O15	[M - H]-	UHQNVKKALWJDQL	InChI=1S/C42H66O15/c1-19-9-14-42(37(53)57-35-31(49)28(46)27(45)22(17-43)54-35)16-15-40(5)21(26(42)20(19)2)7-8-24-38(3)12-11-25(39(4,18-44)23(38)10-13-41(24,40)6)55-36-32(50)29(47)30(48)33(56-36)34(51)52/h7,19-20,22-33,35-36,43-50H,8-18H2,1-6H3,(H,51,52)	Cynarasaponin C	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C)C2C1C)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O	3.0	44566329;75071998;101035882	COCONUT:(CNP0323149);HMDB:(39562);Natural Products:(UNPD134895 UNPD18621);database;PubChem:(44566329 75071998 101035882);SuperNatural:(SN00330359 SN00297875);PubChem class - bio and metabolites;PubMed	68739432522
3	1	N/A	-54.15909315407891	C42H66O15	[M - H]-	MCLUQKRKQOMREQ	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(52)53)16-14-40(5)20(21(42)17-37)7-8-24-38(3)11-10-25(39(4,19-44)23(38)9-12-41(24,40)6)55-35-32(29(48)28(47)31(56-35)33(50)51)57-34-30(49)27(46)26(45)22(18-43)54-34/h7,21-32,34-35,43-49H,8-19H2,1-6H3,(H,50,51)(H,52,53)	(2S,3S,4S,5R,6R)-6-[[(3S,4R,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-8a-carboxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4-dihydroxy-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)O)C	3.29999995	10509613;20056373;21606661;101731436	COCONUT:(CNP0421312);Natural Products:(UNPD19737);database;PubChem:(10509613 20056373 21606661 101731436);SuperNatural:(SN00280785)	68722655234
4	1	N/A	-56.56328491371151	C42H66O15	[M - H]-	JDGKHHCYVKBIIT	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(52)53)16-14-40(5)20(21(42)17-37)7-8-24-38(3)11-10-25(39(4,19-44)23(38)9-12-41(24,40)6)55-35-30(49)31(29(48)32(57-35)33(50)51)56-34-28(47)27(46)26(45)22(18-43)54-34/h7,21-32,34-35,43-49H,8-19H2,1-6H3,(H,50,51)(H,52,53)	(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,8aS,14bR)-8a-carboxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)C(=O)O)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)O)C	3.29999995	12442935;15981503;11968949;21550638;44566267	COCONUT:(CNP0421571);HMDB:(34540);KNApSAcK:(35066);Natural Products:(UNPD105995 UNPD195371 UNPD126035);database;PubChem:(12442935 15981503 11968949 21550638 44566267);SuperNatural:(SN00263366 SN00390253);PubChem class - bio and metabolites;PubMed;KEGG Mine	77329367130
5	1	N/A	-58.56946676748189	C42H66O15	[M - H]-	PJFATUBUMGTAKR	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(52)53)16-14-40(5)20(21(42)17-37)7-8-24-38(3)11-10-25(39(4,19-44)23(38)9-12-41(24,40)6)55-35-32(28(47)26(45)22(18-43)54-35)57-34-30(49)27(46)29(48)31(56-34)33(50)51/h7,21-32,34-35,43-49H,8-19H2,1-6H3,(H,50,51)(H,52,53)	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)C(=O)O)O)O)O)C)C)C2C1)C)C(=O)O)C	3.29999995	10652957;15628279	COCONUT:(CNP0319812);KNApSAcK:(24126);Natural Products:(UNPD157750 UNPD75680);database;PubChem:(10652957 15628279);SuperNatural:(SN00257034 SN00259687)	68722655250
6	1	N/A	-60.77814324657369	C42H66O15	[M - H]-	YYXPXYDYZRXSJH	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(53)57-34-32(50)30(48)28(46)23(19-44)55-34)16-14-39(4)20(21(42)17-37)7-8-24-38(3)11-10-26(41(6,35(51)52)25(38)9-12-40(24,39)5)56-33-31(49)29(47)27(45)22(18-43)54-33/h7,21-34,43-50H,8-19H2,1-6H3,(H,51,52)	Dianoside A	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C(=O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C	2.79999995	441919;4483441;10350436;11968413;71430880;118701264	COCONUT:(CNP0199138);KNApSAcK:(3515);Natural Products:(UNPD12506 UNPD109321);database;PubChem:(441919 4483441 10350436 11968413 71430880 118701264);SuperNatural:(SN00391687 SN00248508);CHEBI:(4490);KEGG:(C08941)	68722655538
7	1	N/A	-61.7665258978177	C42H66O15	[M - H]-	MJGCCTLYJFMRQV	InChI=1S/C42H66O15/c1-37-13-14-38(2,36(53)57-34-30(49)27(46)26(45)22(18-43)54-34)17-21(37)20-7-8-24-39(3)11-10-25(55-35-31(50)28(47)29(48)32(56-35)33(51)52)40(4,19-44)23(39)9-12-42(24,6)41(20,5)16-15-37/h7,21-32,34-35,43-50H,8-19H2,1-6H3,(H,51,52)	null	CC12CCC(CC1C3=CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O	3.0999999	10898114;101188265	COCONUT:(CNP0246984);KNApSAcK:(33238);Natural Products:(UNPD193591 UNPD110393);database;PubChem:(10898114 101188265);SuperNatural:(SN00399236 SN00318428)	68722655250
8	1	N/A	-63.69312445702249	C42H66O15	[M - H]-	GZNCPAASLBFTKY	InChI=1S/C42H66O15/c1-37(2)12-14-42(36(53)57-34-29(49)26(46)25(45)22(18-43)54-34)15-13-40(6)19(20(42)16-37)8-9-24-39(5)17-21(44)32(38(3,4)23(39)10-11-41(24,40)7)56-35-30(50)27(47)28(48)31(55-35)33(51)52/h8,20-32,34-35,43-50H,9-18H2,1-7H3,(H,51,52)	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C	3.4000001	23815414	COCONUT:(CNP0305938);KNApSAcK:(37738);Natural Products:(UNPD6303);database;PubChem:(23815414);SuperNatural:(SN00376091);additional;Training Set	68723195922
9	1	N/A	-66.21773225354652	C42H66O15	[M - H]-	IDUNGWJLADYQNW	InChI=1S/C42H66O15/c1-37(2)23-9-12-41(6)24(39(23,4)11-10-25(37)55-35-31(50)28(47)29(48)32(56-35)33(51)52)8-7-20-21-17-38(3,19-44)13-15-42(21,16-14-40(20,41)5)36(53)57-34-30(49)27(46)26(45)22(18-43)54-34/h7,21-32,34-35,43-50H,8-19H2,1-6H3,(H,51,52)	null	CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)O)C)CC=C5C3(CCC6(C5CC(CC6)(C)CO)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C	2.70000005	45360000;102316823;133556483	COCONUT:(CNP0104649);KNApSAcK:(44391);Natural Products:(UNPD52972);database;PubChem:(45360000 102316823 133556483);SuperNatural:(SN00344221);additional;Training Set	68723195922
10	1	N/A	-69.58883571687036	C42H66O15	[M - H]-	LUKOBZAEANPCPQ	InChI=1S/C42H66O15/c1-37(2)14-15-42(36(53)57-34-30(49)27(46)26(45)21(18-43)54-34)20(16-37)19-8-9-23-39(5)12-11-25(55-35-31(50)28(47)29(48)32(56-35)33(51)52)38(3,4)22(39)10-13-40(23,6)41(19,7)17-24(42)44/h8,20-32,34-35,43-50H,9-18H2,1-7H3,(H,51,52)	(2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,8R,8aR,12aS,14aR,14bR)-8-hydroxy-4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid	CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C	3.70000005	17752302;45359992	COCONUT:(CNP0224259);KNApSAcK:(29616);Natural Products:(UNPD161128);database;PubChem:(17752302 45359992);SuperNatural:(SN00368826);MeSH:(17752302);PubMed	68722655318
